day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
1,497.69,499,495,0.9918353561642093,2.24,5,0,0.9961542211541506,0.07,1,0,0.2564323999762428,0.01,4
2,495.14,499,488,2.5146841478874706,4.6,12,0,2.5025239784318276,0.26,2,0,0.48450745582237914,0.01,4
3,489.34,499,469,6.4152910764796545,9.89,30,0,6.185507663119093,0.77,5,0,0.9195409482755815,0.01,4
4,477.57,499,437,13.52831299627756,20.76,60,0,12.62522727068165,1.67,6,0,1.5894538799108444,0.01,4
5,454.81,499,378,25.67854703400832,41.85,117,0,23.96309241270413,3.34,9,0,2.4953289696283862,0.01,4
6,413.18,499,292,46.02467059121991,80.31,197,0,42.295902086766425,6.51,20,0,4.452884662573446,0.01,4
7,346.66,499,190,70.87850181967748,140.96,282,0,64.24446995027603,12.38,33,1,7.554221510272425,0.01,4
8,257.74,499,91,89.37941145431196,221.29,364,0,80.01253626523759,20.97,46,1,10.78481442687922,0.01,4
9,166.44,499,39,93.34570480777681,299.71,401,0,81.22960287874353,33.85,68,1,14.595817167527095,0.01,4
10,94.35,499,9,88.4723748472432,356.91,429,0,75.47681361808668,48.74,87,1,16.561254527213553,0.01,4
11,51.48,499,5,84.33428913100722,383.42,426,0,70.81291042478257,65.1,101,1,18.61600267392427,0.01,4
12,30.91,499,1,83.87317205101397,388.13,424,0,69.45628012271354,80.96,118,1,20.42523691491247,0.01,4
13,21.42,499,0,84.57274437375845,381.66,427,0,68.53019978686974,96.92,131,1,22.3166740217699,0.01,4
14,18.02,499,0,85.01621711013242,369.73,414,0,66.72207621578823,112.25,145,1,24.535019293189315,0.01,4
15,16.4,499,0,85.25718666944081,356.18,401,0,64.47133573389908,127.42,161,1,26.63451850057695,0.01,4
16,15.76,499,0,85.36009523533733,341.95,382,0,62.078050415862315,142.29,182,1,28.83085293237231,0.01,4
17,15.43,499,0,85.41488231691315,328.78,372,0,59.68157592633178,155.79,193,1,30.58166579551027,0.01,4
18,15.17,499,0,85.4589576015495,315.76,361,0,57.47922242081054,169.07,208,1,32.71216837196763,0.01,4
19,15.03,499,0,85.48275920448592,302.9,345,0,55.17273151684901,182.07,220,1,34.6206731607144,0.01,4
20,15.0,499,0,85.48790451392418,291.43,335,0,53.188108149142224,193.57,233,1,36.477267031687155,0.01,4
21,15.0,499,0,85.48790451392418,279.69,321,0,51.16929615195884,205.31,244,1,38.40104559813837,0.01,4
22,14.98,499,0,85.49132864055437,268.77,315,0,49.307703211157545,216.25,260,1,40.22044683285286,0.01,4
23,14.98,499,0,85.49132864055437,258.0,301,0,47.4988569772096,227.02,272,1,42.04734704995541,0.01,4
24,14.98,499,0,85.49132864055437,246.94,292,0,45.55135186320662,238.08,283,1,43.82994686768673,0.01,4
25,14.97,499,0,85.49303888019011,238.08,287,0,43.89258698139348,246.95,289,1,45.16935025014419,0.01,4
26,14.97,499,0,85.49303888019011,228.66,274,0,42.43336308885148,256.37,298,1,46.893529738260604,0.01,4
27,14.96,499,0,85.49474790413687,219.6,265,0,40.722267008395185,265.44,308,1,48.278928628284085,0.01,4
28,14.96,499,0,85.49474790413687,210.89,251,0,39.26622292284123,274.15,314,1,49.77573442324823,0.01,4
29,14.96,499,0,85.49474790413687,202.31,241,0,37.79147865042937,282.73,321,1,51.21806321992272,0.01,4
30,14.96,499,0,85.49474790413687,194.02,237,0,36.59137724777368,291.02,332,1,52.768980021649575,0.01,4
31,14.96,499,0,85.49474790413687,186.34,228,0,35.09330132631864,298.7,338,1,53.93776810624285,0.01,4
32,14.96,499,0,85.49474790413687,179.28,224,0,34.009232258136585,305.76,343,1,55.206338385911806,0.01,4
33,14.96,499,0,85.49474790413687,172.03,214,0,32.72643110590113,313.01,347,1,56.402502810002346,0.01,4
34,14.96,499,0,85.49474790413687,165.74,211,0,31.665747993053884,319.3,355,1,57.47208369321929,0.01,4
35,14.96,499,0,85.49474790413687,159.05,201,0,30.449618929131002,325.99,362,1,58.56352762322953,0.01,4
36,14.96,499,0,85.49474790413687,152.87,193,0,29.51413118141781,332.17,372,1,59.668792073199775,0.01,4
37,14.96,499,0,85.49474790413687,146.49,183,0,28.325487327197614,338.55,377,1,60.699520740956594,0.01,4
38,14.96,499,0,85.49474790413687,140.73,172,0,27.257416746213636,344.31,384,1,61.63720754167367,0.01,4
39,14.96,499,0,85.49474790413687,134.95,163,0,26.305652885594267,350.09,390,1,62.632662437744145,0.01,4
40,14.96,499,0,85.49474790413687,129.58,160,0,25.384788254926896,355.46,394,1,63.5416700943864,0.01,4
41,14.96,499,0,85.49474790413687,124.36,152,0,24.56100218400764,360.68,402,1,64.45276713934935,0.01,4
42,14.96,499,0,85.49474790413687,118.99,147,0,23.699931807428637,366.05,404,1,65.38269239367912,0.01,4
43,14.96,499,0,85.49474790413687,114.02,144,0,22.900743228202014,371.02,409,1,66.24091018259172,0.01,4
44,14.96,499,0,85.49474790413687,109.4,138,0,22.012852077040286,375.64,413,1,66.98959967522171,0.01,4
45,14.96,499,0,85.49474790413687,105.0,133,0,21.21558413292007,380.04,416,1,67.72089482544952,0.01,4
46,14.96,499,0,85.49474790413687,100.77,125,0,20.18042605991251,384.27,416,1,68.34550593724641,0.01,4
47,14.96,499,0,85.49474790413687,96.97,120,0,19.42998567766697,388.07,419,1,68.96540708019765,0.01,4
48,14.96,499,0,85.49474790413687,93.04,115,0,18.69095822027108,392.0,421,1,69.6191660595578,0.01,4
49,14.96,499,0,85.49474790413687,89.22,111,0,18.072010838796437,395.82,427,1,70.28173893895077,0.01,4
50,14.96,499,0,85.49474790413687,85.5,106,0,17.46135704631773,399.54,430,1,70.92426178037323,0.01,4
51,14.96,499,0,85.49474790413687,82.31,104,0,17.000115864132788,402.73,432,1,71.48961286421088,0.01,4
52,14.96,499,0,85.49474790413687,78.8,100,0,16.30826771792749,406.24,437,1,72.06802622550728,0.01,4
53,14.96,499,0,85.49474790413687,75.6,97,0,15.737107919073493,409.44,439,1,72.609975105687,0.01,4
54,14.96,499,0,85.49474790413687,72.74,96,0,15.206072683788094,412.3,443,1,73.09043796018821,0.01,4
55,14.96,499,0,85.49474790413687,69.89,93,0,14.61968715551918,415.15,446,1,73.55852133237903,0.01,4
56,14.96,499,0,85.49474790413687,67.2,90,0,14.154986272110492,417.84,448,1,74.01879641160224,0.01,4
57,14.96,499,0,85.49474790413687,64.55,87,0,13.665835155783585,420.49,453,1,74.46651949200073,0.01,4
58,14.96,499,0,85.49474790413687,61.94,81,0,13.157031380500497,423.1,455,1,74.90323724309216,0.01,4
