day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.79,493,499,1.1368209221531904,2.12,0,6,1.1098462929477437,0.09,0,1,0.2868999090082545,0.9996399478657543,0.996415770609319,1.0,0.000581731013008858,0.9999438712927224,0.9986875742122325,1.0,0.00017413643588770524
2,495.31,485,499,2.784360486105007,4.405,0,14,2.7106666279421363,0.285,0,2,0.505025000625,0.9981182795698925,0.9863147605083089,1.0,0.002446697393398474,0.9991957312128408,0.9948282261829283,1.0,0.0010887635435636483
3,490.565,475,499,5.549754397209553,8.73,0,23,5.281721586241825,0.705,0,4,0.901129943947818,0.9929708374063213,0.9683936135549038,1.0,0.007552826326469812,0.996613188094369,0.9844443024115885,1.0,0.003717963672857703
4,482.43,451,499,9.909900637910876,16.2,0,45,9.292023920692067,1.37,0,6,1.237236343163351,0.9802305311176279,0.9187031606386445,1.0,0.01741559406425402,0.989953877755725,0.9577436485514802,1.0,0.009162580658487499
5,470.08,426,499,15.72322163211033,27.34,0,70,14.522704456251182,2.58,0,10,2.0529669668151436,0.9577044639947866,0.8620071684587813,1.0,0.03019133629849364,0.9774909293866371,0.9198542912056221,1.0,0.01695328451230069
6,453.355,392,499,21.87054132593538,42.185,0,100,20.058727220051676,4.46,0,12,2.851148054053078,0.9258219289670904,0.8053111762789182,1.0,0.042332522434404406,0.9584839203158155,0.8746420249662777,1.0,0.02563483560129512
7,431.73,359,499,29.015973767363764,61.36,0,129,26.33511136206303,6.91,0,19,3.8738785052408184,0.8856215379602476,0.762137504072988,1.0,0.0533345675635751,0.9320521717406054,0.8324746852785816,1.0,0.03543270465798979
8,406.06,325,499,35.763269667165964,83.51,0,159,31.815894703416635,10.43,1,29,5.261512861139815,0.842851091560769,0.7119582926034539,1.0,0.060043943089605485,0.8998356058435458,0.7799616978147165,1.0,0.04480787628869647
9,376.42,284,499,42.29512962445851,108.43,0,193,36.90521745467548,15.15,1,33,6.841897236070177,0.8014923427826653,0.6889866405995438,1.0,0.062262205972567417,0.8623881780085613,0.7259360567062637,1.0,0.05368422621864588
10,344.295,250,499,48.561394338512386,135.025,0,223,41.79291343117068,20.68,1,41,8.408394943604764,0.766751384815901,0.6847507331378299,1.0,0.060600544666226525,0.8215104149950808,0.6807080936205707,1.0,0.06155324654364767
11,310.965,215,499,53.60795499919746,161.61,0,249,45.14229762845351,27.425,1,53,10.450379281905436,0.7436844248941022,0.6857282502443792,1.0,0.05572544183619892,0.7808548104727787,0.6455675291676068,1.0,0.06602915316186814
12,276.955,176,499,57.930151798844676,187.785,0,275,47.61295772915809,35.26,1,65,12.442931031847621,0.7333740632127729,0.6940371456500489,1.0,0.05104565384317361,0.741688068106636,0.6128450808217566,1.0,0.06845622856990206
13,243.585,146,499,62.057136705462035,212.625,0,297,50.17691690358973,43.79,1,74,14.274618160150217,0.7360084718149235,0.6914304333659173,1.0,0.04978433669727871,0.7055933951134348,0.5928918726591174,1.0,0.07085197255708274
14,211.125,121,499,65.37475558915467,234.665,0,319,51.91704607705291,54.21,1,93,16.32077628954785,0.7508805799934832,0.6865428478331704,1.0,0.050120706335940186,0.6742335284497617,0.5688451649103275,1.0,0.07255625988199435
15,181.615,88,499,68.02125573051248,253.81,0,332,52.85748260498871,64.575,1,106,18.465896176683117,0.7721709025741283,0.6901270772238515,1.0,0.050787848782508103,0.6476645969950436,0.5488347165171017,1.0,0.07345394579881147
16,154.51,68,499,70.39665007447829,269.535,0,336,53.50929825740567,75.955,1,119,20.843349083221373,0.7991251221896383,0.7005539263603779,1.0,0.05082563838964491,0.6270931586196076,0.5471159362399344,1.0,0.07380757859184445
17,130.6,56,499,72.13492383153188,281.905,0,340,54.17843193963059,87.495,1,130,22.324918475206648,0.8277020202020202,0.7033235581622679,1.0,0.04782274897420451,0.61134288353321,0.5430725716768652,1.0,0.07449976832356232
18,110.11,42,499,73.95182392143234,289.89,0,343,54.33108903915791,100.0,1,144,24.465954192977314,0.8553722710980776,0.7153796024763767,1.0,0.04467402986370353,0.6003467487364662,0.5324471733490678,1.0,0.07486375627534429
19,93.33,33,499,75.48450604770711,294.595,0,342,54.43387002620842,112.075,1,155,26.195042973469405,0.8797572499185402,0.742098403388726,1.0,0.040225464103095965,0.5937746697277154,0.5321688290128821,1.0,0.0750636096635684
20,78.61,28,499,76.96287625607583,296.81,0,340,54.37321151682385,124.58,1,171,28.22083766283276,0.9022393287715869,0.7748452264581297,1.0,0.0353902619135539,0.5910424974732945,0.5351944079716303,1.0,0.07524350170832665
21,67.055,23,499,78.11158089778851,296.61,0,342,54.06480291809879,136.335,1,184,30.145422663112367,0.9205009775171065,0.80514825676116,1.0,0.030304854157542273,0.590623794961077,0.5355683308479932,1.0,0.07515800791106707
22,57.425,17,499,79.10615204557284,293.86,0,340,53.543861698873975,148.715,1,198,31.824167912399265,0.9362536656891496,0.8424568263277941,1.0,0.024789665468489517,0.5942099802192556,0.5345413212407965,1.0,0.07480985447383807
23,49.77,12,499,80.03276401938717,289.73,0,338,52.92962142430838,160.5,1,215,33.413805710518844,0.948954871293581,0.876018246985989,1.0,0.020169375442122005,0.6007211226343664,0.5342390259864982,1.0,0.07428319059477624
24,43.73,10,499,80.8258696583597,283.57,0,338,51.96273403741583,172.7,1,222,35.128050038359476,0.959114532420984,0.897523623330075,1.0,0.016402674342452198,0.6098893949224169,0.5280594014907845,1.0,0.07332085257375902
25,38.88,7,499,81.52698230782926,276.955,0,330,50.91981059030722,184.165,1,234,36.657422277626125,0.9670478983382209,0.9196806777451939,1.0,0.013686918095237175,0.6200226231295387,0.541742501522912,1.0,0.07201093095739179
26,34.945,4,499,82.11789523966725,269.76,0,330,49.819093835122736,195.295,1,245,38.32547698241536,0.9735508308895406,0.9301075268817204,1.0,0.011466227148961833,0.6323148754757216,0.5409518295350445,1.0,0.07105535023527457
27,31.87,4,499,82.58099785077769,261.745,0,323,48.44340815807501,206.385,1,254,39.864680341042074,0.9784612251547736,0.9406972955360052,1.0,0.009465695881153825,0.6433860513526471,0.5518527527223178,1.0,0.07002039159441599
28,29.4,3,499,82.96278756528746,253.96,0,315,47.1761203540339,216.64,1,268,41.459072268525674,0.9822898338220919,0.9530791788856305,1.0,0.008001485678720745,0.6551022985292952,0.5512525708646399,1.0,0.06910405366772787
29,27.325,2,499,83.30297897754114,245.745,0,304,45.849874919684936,226.93,1,280,42.9453912913345,0.9855514825676116,0.9615509938090583,1.0,0.00683994049345307,0.6697412261749035,0.5533129980593748,1.0,0.06746971579361874
30,25.45,1,499,83.59694820233403,237.73,0,297,44.529444834698225,236.82,1,290,44.49208161721775,0.9883479960899315,0.9657869012707723,1.0,0.0056602395939611,0.6847327220555088,0.5599796647260415,1.0,0.06695566928845222
31,23.98,0,499,83.83424421149488,229.67,0,283,43.14555358284153,246.35,1,297,45.964892654980915,0.9904227761485827,0.9701857282502444,1.0,0.004740206244695077,0.6956869329958111,0.5831844327635402,1.0,0.0654212359993794
32,22.915,0,499,84.00513130414794,221.035,0,274,41.721302838631054,256.05,1,306,47.5614122971395,0.99198110133594,0.9758879113717823,1.0,0.004087947756487927,0.7097870978301231,0.5747207425190699,1.0,0.06431579867802474
