day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.8,499,494,1.1474244700950333,2.11,6,0,1.1508790610074229,0.09,1,0,0.28689990900825446
2,495.3,499,485,3.004184686090501,4.43,15,0,2.918507913679704,0.27,3,0,0.5371617201251772
3,490.025,499,460,6.959637762767882,9.315,38,0,6.638230602173912,0.66,5,0,0.9157472166619567
4,479.065,499,417,14.924963910800363,19.535,79,0,14.166588727739102,1.4,6,0,1.3927305886144352
5,456.835,499,324,30.633147465092296,39.955,160,0,28.47890826700353,3.21,16,0,2.870032304197232
6,416.84,499,221,52.683700148210285,76.77,257,0,48.49552743196555,6.39,24,0,4.903890364141268
7,352.85,499,121,79.71183969106893,135.075,346,0,72.69271302983671,12.075,35,0,7.907719973284295
8,266.815,499,49,101.77772003971407,212.485,392,0,91.35286808599764,20.7,59,0,11.653713795444379
9,178.485,499,19,108.69717176980166,288.58,412,0,94.90409652743364,32.935,79,0,15.619237429831436
10,106.645,499,8,100.97658306079269,346.165,434,0,85.44478822123004,47.19,91,0,18.80109854590054
11,59.555,499,3,88.17756739647447,377.69,431,0,72.43242492768363,62.755,115,1,21.289225694075075
12,33.525,499,1,77.75343954970126,387.48,426,0,62.84342511672968,78.995,134,1,23.01725319675694
13,20.64,499,0,72.27085013263972,384.26,421,0,57.99906774506363,95.1,151,1,24.058972772216844
14,14.62,499,0,70.1921669526418,374.86,433,0,56.06340990029274,110.52,164,1,25.534282797641875
15,12.025,499,0,69.79088920539989,362.13,421,0,54.782191839260754,125.845,178,1,26.761574774704695
16,10.925,499,0,69.8279247174922,348.76,411,0,53.235349271516014,140.315,187,1,27.89185459527241
17,10.4,499,0,69.87526575133072,335.475,402,0,51.475216020154846,154.125,200,1,28.93762786637259
18,10.21,499,0,69.89817360537279,322.135,390,0,49.49135019090298,167.655,218,1,29.93285576538525
19,10.075,499,0,69.91559430222391,309.115,375,0,47.55723106038296,180.81,232,1,31.036595355423273
20,10.025,499,0,69.92217047992085,296.89,365,0,45.834724936997844,193.085,252,1,32.32790189922678
21,9.99,499,0,69.92688140993128,285.21,351,0,44.1845819990657,204.8,266,1,33.60949255715934
22,9.975,499,0,69.92892569059822,273.805,335,0,42.47809929361235,216.22,279,1,34.78969985614134
23,9.975,499,0,69.92892569059822,263.04,324,0,40.84913289522138,226.985,288,1,35.91831569004942
24,9.97,499,0,69.92960638560916,252.35,312,0,39.37766502108222,237.68,300,1,37.231283112606455
25,9.97,499,0,69.92960638560916,242.245,301,0,37.97638746675525,247.785,304,1,38.472580786344565
26,9.97,499,0,69.92960638560916,232.425,290,0,36.67779544072898,257.605,315,1,39.74806306712239
27,9.97,499,0,69.92960638560916,223.155,281,0,35.254152255532695,266.875,320,1,40.78192247804197
28,9.97,499,0,69.92960638560916,214.315,274,0,34.05679228145999,275.715,321,1,41.91992576185455
29,9.965,499,0,69.93028671469895,205.835,265,0,32.927021101110334,284.2,334,1,43.02938110397307
30,9.965,499,0,69.93028671469895,197.35,257,0,31.699713867738346,292.685,338,1,44.070019378713695
31,9.965,499,0,69.93028671469895,189.28,243,0,30.53791777627533,300.755,345,1,45.07219195287917
32,9.965,499,0,69.93028671469895,181.88,235,0,29.505226519377867,308.155,349,1,46.01868721361269
33,9.965,499,0,69.93028671469895,174.35,227,0,28.33286530306115,315.685,355,1,46.912039737809415
34,9.965,499,0,69.93028671469895,166.825,219,0,27.26077998935724,323.21,359,1,47.873429228859834
35,9.965,499,0,69.93028671469895,160.115,209,0,26.474635153910317,329.92,365,1,48.8264653501865
36,9.965,499,0,69.93028671469895,153.965,202,0,25.61374817314692,336.07,374,1,49.62224233822334
37,9.965,499,0,69.93028671469895,147.83,196,0,24.865691485766625,342.205,383,1,50.47267010111194
38,9.965,499,0,69.93028671469895,142.07,193,0,24.116240696398616,347.965,389,1,51.24601982338427
39,9.965,499,0,69.93028671469895,135.915,181,0,23.15791918773205,354.12,394,1,52.001310381634
40,9.965,499,0,69.93028671469895,130.365,178,0,22.467883834934266,359.67,396,1,52.76191998975231
41,9.965,499,0,69.93028671469895,125.16,167,0,21.642467093876995,364.875,404,1,53.401008544481996
42,9.965,499,0,69.93028671469895,120.1,160,0,20.915960100714322,369.935,411,1,54.05646382632731
43,9.965,499,0,69.93028671469895,115.155,152,0,20.086770940949446,374.88,415,1,54.65483836572861
44,9.965,499,0,69.93028671469895,110.235,145,0,19.390195289548636,379.8,419,1,55.30100365296388
45,9.965,499,0,69.93028671469895,105.935,140,0,18.719317273767757,384.1,423,1,55.84589348461958
46,9.965,499,0,69.93028671469895,101.845,137,0,18.166758947409036,388.19,427,1,56.394196750513956
47,9.965,499,0,69.93028671469895,97.75,132,0,17.36042689885686,392.285,429,1,56.8654744632422
48,9.965,499,0,69.93028671469895,93.71,129,0,16.890302293262508,396.325,434,1,57.43258556274573
49,9.965,499,0,69.93028671469895,89.83,125,0,16.22830519331073,400.205,438,1,57.91627100596325
50,9.965,499,0,69.93028671469895,86.35,123,0,15.83861764944233,403.685,440,1,58.4080755671447
51,9.965,499,0,69.93028671469895,82.815,118,0,15.332193443173566,407.22,443,1,58.87719610431127
52,9.965,499,0,69.93028671469895,79.48,115,0,14.826622802195821,410.555,446,1,59.313382653571914
53,9.965,499,0,69.93028671469895,76.155,112,0,14.417011692117521,413.88,446,1,59.77205948833776
54,9.965,499,0,69.93028671469895,73.115,111,0,14.083804269925366,416.92,449,1,60.20044908762525
55,9.965,499,0,69.93028671469895,70.14,108,0,13.77567589017526,419.895,451,1,60.62259869357143
56,9.965,499,0,69.93028671469895,67.295,104,0,13.180157730048027,422.74,453,1,60.95926970374619
57,9.965,499,0,69.93028671469895,64.54,101,0,12.719170037080275,425.495,456,1,61.312937923279456
58,9.965,499,0,69.93028671469895,61.85,97,0,12.37713485975989,428.185,460,1,61.681226019073904
59,9.965,499,0,69.93028671469895,59.47,95,0,12.020464125354929,430.565,462,1,61.99631837829012
60,9.965,499,0,69.93028671469895,57.015,89,0,11.520345777543785,433.02,463,1,62.297225633314035
61,9.965,499,0,69.93028671469895,54.78,84,0,11.07587354904216,435.255,465,1,62.57530117053303
62,9.965,499,0,69.93028671469895,52.69,80,0,10.65794817478873,437.345,466,1,62.83667890715105
63,9.965,499,0,69.93028671469895,50.605,77,0,10.3262837302871,439.43,468,1,63.11300465659929
64,9.965,499,0,69.93028671469895,48.545,76,0,9.958606540129278,441.49,470,1,63.38024278810705
65,9.965,499,0,69.93028671469895,46.605,74,0,9.648546379438764,443.43,471,1,63.63830820627451
66,9.965,499,0,69.93028671469895,44.625,72,0,9.285768816450409,445.41,473,1,63.8954225678618
67,9.965,499,0,69.93028671469895,42.875,68,0,8.973964295442643,447.16,473,1,64.12475591850652
