day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,d
1,497.49,494,499,1.15027445122081,2.43,0,6,1.1569290594002937,0.08,0,1,0.2726599243442907,0.9995016025641026,0.9961538461538462,1.0,0.0006652127965573063,0.9999066259959654,0.9982067940903693,1.0,0.000256313883949278,1
2,494.48,484,499,3.0566370905016362,5.23,0,14,2.9502781926695336,0.29,0,2,0.5373898759633259,0.9973541666666667,0.9863782051282052,1.0,0.002993576415722858,0.9988452424686135,0.9932723291280248,1.0,0.0013902036057796023,1
3,489.24,472,499,6.00861334614188,10.06,0,26,5.706314064439512,0.7,0,3,0.8226589066968623,0.9912147435897435,0.9604166666666667,1.0,0.00896618576002039,0.9957317796980857,0.9797000690489166,1.0,0.004491529241754724,1
4,480.63,447,499,10.545385318477065,18.08,0,51,9.903249135225439,1.29,0,5,1.2414963275471784,0.9769230769230769,0.9052884615384615,1.0,0.01938663043293917,0.9881810025992102,0.9477491232617022,1.0,0.010284949651240945,1
5,467.25,423,499,16.127882249650327,30.14,0,73,14.991593604012845,2.61,0,9,1.927446628327359,0.951599358974359,0.8514423076923077,1.0,0.03209754479793224,0.9740578637702073,0.912736344124768,1.0,0.018138790857314162,1
6,448.3,397,499,21.979099346442933,46.89,0,93,20.056936632265334,4.81,0,15,2.966802856935255,0.9153573717948719,0.8115384615384615,1.0,0.04314805073368741,0.9521599377312242,0.8831529665735293,1.0,0.02653757742714342,1
7,425.06,364,499,27.729144497179387,67.43,0,124,25.312293894908503,7.51,0,19,3.8178078219911176,0.8726266025641025,0.7568910256410256,1.0,0.051954072236080964,0.92338858428969,0.8368659119101982,1.0,0.03545666243956594,1
8,396.42,325,499,33.537008052163934,92.13,0,156,30.246013177463784,11.45,1,27,5.109656138977051,0.8253717948717949,0.7145833333333333,1.0,0.05647089885567776,0.8865167838486603,0.7846542074034483,1.0,0.04412715411985102,1
9,364.68,293,499,39.01459970189353,119.24,0,186,34.554047841348805,16.08,1,36,6.4505578805012656,0.7824919871794872,0.6955128205128205,1.0,0.0565034203761243,0.8452450049933324,0.7392278925168074,1.0,0.05151286948816011,1
10,330.46,255,499,43.49141793898463,147.11,0,219,37.42059471856252,22.43,1,49,8.398238150969764,0.7501169871794872,0.6921474358974359,1.0,0.05071974978345204,0.802761131928009,0.6933511495886491,1.0,0.0553699118139168,1
11,295.64,214,499,48.36133358230091,174.5,0,256,41.14706317686366,29.86,1,58,9.678696798493675,0.7325448717948718,0.6924679487179487,1.0,0.04582938069216087,0.7616501506112132,0.641761527183664,1.0,0.059768542183861614,1
12,261.26,163,499,52.042643742192496,200.35,0,286,43.09828443467468,38.39,1,68,11.259021074478703,0.728136217948718,0.6983974358974359,1.0,0.0419540824649469,0.7236220153922869,0.6081224593614203,1.0,0.0609485955626329,1
13,226.81,133,499,55.66379869222442,225.23,0,301,45.149998042439854,47.96,1,81,13.249676954323805,0.7364342948717949,0.6918269230769231,1.0,0.042239885704321134,0.6875123427445375,0.5886792579334721,1.0,0.06290451384764788,1
14,194.72,108,499,57.871519137419625,246.46,0,312,45.97768892395395,58.82,1,96,15.148010503766564,0.7557660256410256,0.6924679487179487,1.0,0.04408761811622377,0.6586049753477057,0.5767705368678039,1.0,0.06295062721847534,1
15,165.4,79,499,59.80827955250262,265.11,0,325,46.77690334843348,69.49,1,112,16.697241652077714,0.7810224358974359,0.7060897435897436,1.0,0.045157285346103984,0.6334995920571954,0.5574402774297988,1.0,0.06407323863521501,1
16,139.03,66,499,61.11397780236763,279.92,0,340,46.704244610596845,81.05,1,130,18.402555268332723,0.8097179487179487,0.71875,1.0,0.04513007792058594,0.6139047903489948,0.5350538796582036,1.0,0.06388197791538262,1
17,114.79,51,499,62.20985907118392,291.82,0,348,46.32785666346225,93.39,1,138,20.650969111703336,0.8404903846153846,0.7264423076923077,1.0,0.04343680212611509,0.5986885253864542,0.527111482803422,1.0,0.06316504443745664,1
18,95.1,34,499,63.25665214350219,298.98,0,343,46.118858300147565,105.92,1,147,22.23278132975192,0.8685592948717948,0.7455128205128205,1.0,0.04040083622568199,0.5895336454919871,0.530211208191584,1.0,0.0630664567367831,1
19,79.09,29,499,63.89465683229836,302.0,0,352,45.874224183570064,118.91,1,161,23.75382797433592,0.8930288461538461,0.7815705128205128,1.0,0.03493252982469373,0.5845549253852895,0.5114762163769679,1.0,0.06307945118434116,1
20,66.12,24,499,64.61498715976477,302.8,0,346,45.65173390004819,131.08,1,179,25.309669968993948,0.9132724358974359,0.8192307692307692,1.0,0.03008137458355606,0.5823132904185488,0.5101613081805811,1.0,0.06321599938146878,1
21,55.41,19,499,65.41894437262255,301.44,0,335,45.205103850576585,143.15,1,189,26.71298061492452,0.9305192307692307,0.8479166666666667,1.0,0.02541871094731295,0.5837676736853257,0.527399754881895,1.0,0.0630506415031534,1
22,46.93,11,499,66.1021943736371,296.83,0,334,44.6732367397761,156.24,1,198,28.210292555388463,0.9446682692307692,0.8825320512820513,1.0,0.021321931441687137,0.5908546574008818,0.5297468737780735,1.0,0.06265486314176508,1
23,40.46,10,499,66.60897807049706,290.85,0,332,43.92610300553106,168.69,1,212,29.34183588893737,0.9558445512820514,0.907051282051282,1.0,0.017030958486080237,0.6010905184985311,0.5318967131911575,1.0,0.06140880416556892,1
24,35.09,8,499,67.17910554794716,284.82,0,328,43.3641801630346,180.09,1,221,30.728230365807626,0.9646121794871795,0.9197115384615384,1.0,0.014581730147455074,0.6077655026066984,0.5262317177813037,1.0,0.0613675504230011,1
25,30.78,5,499,67.5961836230718,278.36,0,323,42.584561151723165,190.86,1,228,31.867788746569158,0.9718060897435897,0.9386217948717949,1.0,0.011744833655636404,0.6207581031833659,0.5616145928935335,1.0,0.05972655124035358,1
26,27.42,5,499,67.96288054013849,270.74,0,317,41.408684981766704,201.84,1,241,32.965154544479454,0.9770977564102564,0.95,1.0,0.009727479831109881,0.6307996042773061,0.5546322283854253,1.0,0.05939124100836177,1
27,24.61,4,499,68.28518555042936,262.67,0,309,40.393282519835815,212.72,1,251,34.34379952271684,0.9814711538461539,0.9584935897435898,1.0,0.008081445964397386,0.6428481100391902,0.5506411734450304,1.0,0.05854459684828713,1
28,22.24,3,499,68.5687916760912,254.51,0,299,39.170308018996096,223.25,1,259,35.464130406010874,0.9850689102564103,0.9681089743589744,1.0,0.006871594117991265,0.6557537874273025,0.5505382729291356,1.0,0.05919139480264136,1
29,20.56,3,499,68.7694611573974,245.91,0,290,37.99284754590611,233.53,1,271,36.69020043663987,0.9877147435897435,0.9727564102564102,1.0,0.005833542344220984,0.6700411215231538,0.5644539760504225,1.0,0.057697496178946525,1
30,18.98,2,499,68.95218369539603,237.1,0,280,36.82075062743394,243.92,1,285,37.84809617191309,0.9900448717948719,0.9775641025641025,1.0,0.004749675845396591,0.6841826909875958,0.573670773909422,1.0,0.058297437107979855,1
31,17.66,2,499,69.11755759339856,228.57,0,275,35.701697608394085,253.77,1,292,39.05832339287782,0.9919198717948718,0.98125,1.0,0.0039569387985868764,0.6972116578869435,0.5726890880399653,1.0,0.05904155229108299,1
