day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.885,499,495,1.0232350904123908,2.015,5,0,1.0489405998003638,0.1,2,0,0.34727944810393957
2,495.62,499,487,2.471058609840392,4.105,13,0,2.517072360169977,0.275,2,0,0.5485247460096259
3,490.8,499,465,5.744125248840929,8.55,33,0,5.601283054738127,0.65,4,0,0.80669310697701
4,481.185,499,432,12.134952010680044,17.49,63,0,11.626944101771915,1.325,7,0,1.2796729324598344
5,462.115,499,379,24.21494565273324,35.085,112,0,22.877382897552025,2.8,11,0,2.154812307464855
6,426.475,499,296,44.21065806377643,68.03,188,0,41.165178972026766,5.495,17,0,3.8462897347467324
7,367.845,499,193,71.62009610318283,121.685,281,0,66.04898269903853,10.47,30,0,6.48842030003835
8,287.04,499,98,99.53544556901888,194.105,369,0,90.40908687709296,18.855,45,1,10.264050304008459
9,199.74,499,47,115.22838322873206,270.18,405,0,102.35816317147939,30.08,64,1,14.230464878325877
10,126.52,499,17,116.79367884044679,329.93,424,0,100.70877013403329,43.55,83,1,18.3143269836574
11,77.59,499,5,109.84334162111266,363.705,424,0,91.75939684603284,58.705,103,1,21.544577487049434
12,49.14,499,2,104.05067570937678,376.8,423,0,85.21789983484284,74.06,118,1,24.17433333020373
13,34.165,499,0,102.63203421561994,376.255,423,0,82.85544701769771,89.58,131,1,26.8880724896943
14,27.44,499,0,102.80716397617495,367.86,418,0,81.3462751600346,104.7,151,1,29.38395966215472
15,24.725,499,0,103.17146471119459,355.515,417,0,79.13216331781143,119.76,170,1,31.772311829562774
16,23.515,499,0,103.39153166045793,342.505,406,0,76.64563091718578,133.98,180,1,34.39118152716145
17,22.945,499,0,103.50443378942927,329.75,396,0,74.00928571374878,147.305,196,1,36.70802871115933
18,22.72,499,0,103.55156315167714,316.745,383,0,71.20266196113568,160.535,208,1,39.02606750267849
19,22.575,499,0,103.58219310597369,304.15,374,0,68.54993045090652,173.275,220,1,41.454211283847
20,22.505,499,0,103.59711281652399,292.05,356,0,65.93637484452863,185.445,231,1,43.726732219007204
21,22.48,499,0,103.6024465670255,280.505,347,0,63.34249230696794,197.015,242,1,45.79959376397049
22,22.47,499,0,103.60457829273803,269.36,330,0,60.94185712421917,208.17,255,1,47.97781208289209
23,22.46,499,0,103.6067090045513,258.735,318,0,58.65686587751569,218.805,267,1,50.07719643725153
24,22.46,499,0,103.6067090045513,248.175,308,0,56.39678503078918,229.365,274,1,52.19023739548408
25,22.45,499,0,103.60883870252785,238.535,297,0,54.24899577608391,239.015,283,1,54.04636735360299
26,22.445,499,0,103.6099031713469,229.055,284,0,52.14149646170822,248.5,291,1,55.89635059688827
27,22.44,499,0,103.61096738673021,219.8,276,0,50.083447952332214,257.76,305,1,57.718537297290304
28,22.44,499,0,103.61096738673021,211.025,267,0,48.17883743807462,266.535,315,1,59.49763539915224
29,22.44,499,0,103.61096738673021,202.485,254,0,46.28597772185806,275.075,319,1,61.207197125007255
30,22.44,499,0,103.61096738673021,194.475,240,0,44.51716822004359,283.085,325,1,62.82437653038957
31,22.44,499,0,103.61096738673021,186.785,231,0,42.836709648003264,290.775,336,1,64.3963416592548
32,22.435,499,0,103.61203134868559,179.165,220,0,41.1944497286007,298.4,343,1,65.97654524611809
33,22.435,499,0,103.61203134868559,171.83,212,0,39.618039391496026,305.735,346,1,67.50026819228312
34,22.435,499,0,103.61203134868559,164.88,206,0,38.12180425686849,312.685,356,1,68.94477999415335
35,22.435,499,0,103.61203134868559,158.255,198,0,36.5580693853755,319.31,364,1,70.25212241290355
36,22.435,499,0,103.61203134868559,152.13,192,0,35.23978308045877,325.435,368,1,71.53265252235808
37,22.435,499,0,103.61203134868559,146.16,186,0,33.90652832887176,331.405,375,1,72.75954046476114
38,22.435,499,0,103.61203134868559,140.165,181,0,32.586610916989756,337.4,380,1,74.003598988945
39,22.435,499,0,103.61203134868559,134.475,171,0,31.393744775914787,343.09,386,1,75.21174063700589
40,22.435,499,0,103.61203134868559,129.12,166,0,30.283677212776503,348.445,391,1,76.35329793484784
41,22.435,499,0,103.61203134868559,123.845,156,0,29.14891544048911,353.72,396,1,77.46136401182761
42,22.435,499,0,103.61203134868559,118.735,154,0,28.079835483920135,358.83,403,1,78.54628376611673
43,22.435,499,0,103.61203134868559,113.785,146,0,26.966362351872046,363.78,405,1,79.57040181010215
44,22.435,499,0,103.61203134868559,109.02,142,0,25.916169454531282,368.545,409,1,80.56545124725216
45,22.435,499,0,103.61203134868559,104.64,136,0,24.97014096272771,372.925,416,1,81.48723965217286
46,22.435,499,0,103.61203134868559,100.37,133,0,23.961717793138078,377.195,419,1,82.36130095179631
47,22.435,499,0,103.61203134868559,96.4,129,0,22.983717198952103,381.165,425,1,83.16549931541269
48,22.435,499,0,103.61203134868559,92.65,124,0,22.284760549842556,384.915,430,1,83.98790158746276
49,22.435,499,0,103.61203134868559,88.925,118,0,21.485050897316988,388.64,435,1,84.77585225539252
50,22.435,499,0,103.61203134868559,85.57,115,0,20.628445501760314,391.995,438,1,85.45271092259213
51,22.435,499,0,103.61203134868559,82.04,109,0,19.786508778666366,395.525,440,1,86.18193549129147
52,22.435,499,0,103.61203134868559,78.77,107,0,19.00693076447186,398.795,442,1,86.85934436499963
53,22.435,499,0,103.61203134868559,75.505,106,0,18.313571731034298,402.06,444,1,87.55515935482182
54,22.435,499,0,103.61203134868559,72.685,100,0,17.729564639650853,404.88,444,1,88.15909328392175
55,22.435,499,0,103.61203134868559,69.7,97,0,17.0491456335551,407.865,449,1,88.78610045027222
56,22.435,499,0,103.61203134868559,66.755,94,0,16.452000382412912,410.81,451,1,89.41908500884526
57,22.435,499,0,103.61203134868559,64.095,89,0,15.806174450314309,413.47,451,1,89.97162645989677
58,22.435,499,0,103.61203134868559,61.655,85,0,15.330397268238354,415.91,454,1,90.49924012007816
59,22.435,499,0,103.61203134868559,59.245,83,0,14.846449417335698,418.32,455,1,91.01751777934604
60,22.435,499,0,103.61203134868559,56.835,80,0,14.278204038070188,420.73,458,1,91.52223059709226
61,22.435,499,0,103.61203134868559,54.6,78,0,13.714607258733537,422.965,460,1,91.98549030763319
62,22.435,499,0,103.61203134868559,52.535,74,0,13.21559817699825,425.03,461,1,92.41760747203031
