day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T,network
1,497.8233333333333,494,499,1.0306939355850142,2.1,1,6,1.0231435590741491,0.07666666666666666,0,2,0.3018153916846323,0.9996817769234876,0.9966362325804902,1.0,0.00047937130376082327,0.9998498685554473,0.9984703863625174,1.0,0.00023077209221217192,0.01,3,Erdos-Renyi
2,495.4266666666667,484,499,2.6836471630740024,4.336666666666667,0,14,2.657101714391886,0.23666666666666666,0,2,0.4705247432412344,0.998165411928026,0.9860643921191735,1.0,0.002314043570016361,0.999099240007938,0.9932566267067134,1.0,0.00114309513637805,0.01,3,Erdos-Renyi
3,490.83,471,499,5.430722095165281,8.58,0,28,5.244229190198606,0.59,0,3,0.7096327186071155,0.9929665225052058,0.9489027711036361,1.0,0.007814767584277278,0.9964822257116756,0.9738584701535736,1.0,0.003973974862429817,0.01,3,Erdos-Renyi
4,482.9433333333333,454,499,9.872436658400812,15.793333333333333,0,44,9.37605051713612,1.2633333333333334,0,6,1.1423684056100332,0.9794334988520477,0.9026109242351433,1.0,0.01949519255792485,0.9894130729591417,0.9460520909736592,1.0,0.010341033939359581,0.01,3,Erdos-Renyi
5,471.12666666666667,432,499,14.949322046648257,26.463333333333335,0,64,13.92029348798103,2.41,0,9,1.8366120474147583,0.954013027924609,0.8510331571359923,1.0,0.034875148258152085,0.9754797165189593,0.9163528572309505,1.0,0.019427950450487667,0.01,3,Erdos-Renyi
6,455.64,404,499,19.708334824090578,40.28666666666667,0,87,17.97427990256098,4.073333333333333,0,12,2.62123223254739,0.9168935874846494,0.7965721608201185,1.0,0.04877983573844017,0.9539112119894647,0.8765567685876032,1.0,0.028795152908280285,0.01,3,Erdos-Renyi
7,437.83666666666664,387,499,23.254229425550598,55.76,0,100,20.696623737066687,6.403333333333333,0,16,3.5986789970722284,0.8737172299642266,0.7493192375460516,1.0,0.05757382562396898,0.9269401604731405,0.8407722011618001,1.0,0.03620646149957361,0.01,3,Erdos-Renyi
8,418.5,362,499,25.361796777554098,71.81666666666666,0,123,21.846753940758546,9.683333333333334,0,23,4.85816096709061,0.8301740616156763,0.7079929521063592,1.0,0.05921731533714592,0.8971839110517722,0.8043933197805397,1.0,0.040131239518071724,0.01,3,Erdos-Renyi
9,398.5966666666667,344,499,26.73780762786479,87.86,0,134,22.385802356788343,13.543333333333333,0,31,6.042889258530095,0.7898323455603609,0.6740349191094025,1.0,0.05766463585007534,0.8664481876418271,0.7665677165059913,1.0,0.042485888243015815,0.01,3,Erdos-Renyi
10,379.1533333333333,318,499,27.55723424838367,103.16,0,153,22.48822211245843,17.686666666666667,0,37,6.913354501042106,0.7551919483154467,0.6516098029793369,1.0,0.05375539471547298,0.8365171709813256,0.7366632322920593,1.0,0.043351745400313994,0.01,3,Erdos-Renyi
11,360.49,297,499,27.50986262790165,116.86666666666666,0,171,21.941901597352842,22.643333333333334,1,43,7.859731131986169,0.7283448128570665,0.6370334774947942,1.0,0.04783687052776709,0.8094709007121544,0.7043453146597991,1.0,0.04252666660081157,0.01,3,Erdos-Renyi
12,342.82666666666665,284,499,27.554930645867188,129.28666666666666,0,178,21.560318023314125,27.886666666666667,1,52,8.66896719316722,0.7073725238934273,0.6282236104436969,1.0,0.04272256698587996,0.7843703482883542,0.6849154883676123,1.0,0.04175500031841658,0.01,3,Erdos-Renyi
13,326.20666666666665,270,499,27.508660033007683,140.51333333333332,0,188,21.12448742064143,33.28,1,62,9.449120926711936,0.6921170377489454,0.6211757168028191,1.0,0.03843345245876504,0.76167187151322,0.6636040542616374,1.0,0.04096835066585741,0.01,3,Erdos-Renyi
14,309.68333333333334,256,499,27.621480944864533,150.57666666666665,0,195,20.626738229512974,39.74,1,70,10.198321063212374,0.6827273212664852,0.624539484222329,1.0,0.03466324274620167,0.741363302576808,0.6495686578210975,1.0,0.03981491703291027,0.01,3,Erdos-Renyi
15,294.61,241,499,27.759801667676985,159.02,0,203,20.4162273972721,46.37,1,80,10.908854677182802,0.6784991190132948,0.6154092583693737,1.0,0.03289004297074359,0.7244993448077718,0.6247083550756746,1.0,0.03936299887871269,0.01,3,Erdos-Renyi
16,279.97,225,499,27.95928298466759,166.68,0,210,20.407330311306836,53.35,1,82,11.551867908434247,0.677439265310481,0.6267819958353356,1.0,0.031984985137110344,0.7090209919658936,0.6135837082057514,1.0,0.039340592631535304,0.01,3,Erdos-Renyi
17,266.33,215,499,28.36352231288122,173.23666666666668,0,214,20.306200897060844,60.43333333333333,1,90,12.1442922809678,0.679132361578301,0.632548454268781,1.0,0.031021008276825107,0.6957329779497108,0.609283039691119,1.0,0.03885948919029041,0.01,3,Erdos-Renyi
