day,s,i,r,edgecount1,suscedgecount1,edgecount2,suscedgecount2
1,499,1,0,1.0,1.0,1.0,1.0
2,499,1,0,1.0,1.0,1.0,1.0
3,499,1,0,1.0,1.0,1.0,1.0
4,499,1,0,1.0,1.0,1.0,1.0
5,498,2,0,1.0,1.0,1.0,1.0
6,498,2,0,1.0,1.0,1.0,1.0
7,497,3,0,1.0,1.0,0.9996039603960396,0.9998323272971159
8,495,5,0,1.0,1.0,0.9992079207920792,0.9996762496762496
9,492,8,0,0.9996851881001102,0.9998693379790942,0.9972277227722772,0.9988684531367458
10,490,9,1,0.9995277821501652,0.999795918367347,0.9968316831683168,0.9987180619833681
11,486,13,1,0.9990555643003306,0.9995622606733718,0.9952475247524752,0.9979218255452823
12,480,19,1,0.994805603651818,0.9973286919071062,0.9920792079207921,0.9965002705627707
13,473,25,2,0.9877223359042971,0.9935993917851058,0.9853465346534653,0.9929780746205943
14,468,30,2,0.9830001574059499,0.9910811168441573,0.9786138613861386,0.989798466330329
15,460,35,5,0.976074295608374,0.9872645185087695,0.9702970297029703,0.9857924343346338
16,449,45,6,0.9563985518652605,0.9764658608538621,0.9497029702970297,0.9753781732918376
17,441,51,8,0.9458523532189517,0.9697168275488147,0.9386138613861386,0.9692752179983914
18,437,55,8,0.9392413033212655,0.9657501249181073,0.9275247524752476,0.9632304826429382
19,428,64,8,0.9217692428773807,0.9547524561630808,0.9140594059405941,0.9548422465963191
20,411,79,10,0.9003620336848733,0.9399863005972765,0.8871287128712871,0.9364008153764318
21,402,87,11,0.8852510624901622,0.928901589442416,0.8653465346534653,0.9213889071465546
22,395,92,13,0.8784826066425311,0.9233557386998844,0.8582178217821782,0.914667409930666
23,387,98,15,0.870140091295451,0.915854567805834,0.8495049504950495,0.9085282414310782
24,374,109,17,0.856445773650244,0.903703223888389,0.8300990099009901,0.8923719699329788
25,357,126,17,0.8372422477569652,0.8852921736947971,0.7992079207920793,0.8659764612121715
26,347,135,18,0.8288997324098851,0.8759207100207566,0.7916831683168317,0.8582823941280102
27,336,144,20,0.8192979694632457,0.8644970328626849,0.7821782178217822,0.844750453012146
28,324,154,22,0.8133165433653392,0.8544500104992957,0.765940594059406,0.8262527383198752
29,312,163,25,0.8071777113174878,0.8432671498065133,0.7611881188118812,0.8154793009955698
30,300,171,29,0.80339996851881,0.8336444405651431,0.7548514851485149,0.8021941554031338
31,289,178,33,0.8010388792696364,0.824120230013644,0.7473267326732673,0.7883975545619734
32,269,194,37,0.794900047221785,0.8044591790522517,0.7417821782178218,0.7690273614187721
33,250,210,40,0.7933259877223359,0.7868920950747534,0.7299009900990099,0.7404704630594723
34,229,228,43,0.7963167007712891,0.770143767978931,0.7235643564356435,0.7066463873979387
35,218,235,47,0.8015110971194711,0.764678315096935,0.7306930693069307,0.6989626302742303
36,204,243,53,0.8074925232173776,0.7555673524664779,0.7318811881188119,0.6805201901051928
37,188,258,54,0.8120572957657799,0.7383143410795692,0.7386138613861386,0.6604233465476549
38,173,265,62,0.822288682512199,0.7309708471949702,0.7528712871287129,0.6532766264279892
39,154,280,66,0.8350385644577365,0.7162176744731381,0.76,0.6157500882207869
40,148,279,73,0.8438532976546513,0.7203643917309226,0.7683168316831683,0.6096961329933467
41,132,286,82,0.856288367700299,0.7060487749217312,0.7928712871287129,0.6077516849478923
42,117,298,85,0.8691956555957815,0.6981001977413013,0.8110891089108911,0.5951685491496558
43,106,303,91,0.8797418542420904,0.6914019354081182,0.8209900990099009,0.5704469052408476
44,98,305,97,0.8899732409885094,0.6965257466469572,0.8352475247524752,0.5675487963820403
45,92,304,104,0.8980009444356997,0.6944247468633583,0.8483168316831683,0.5777415265258515
46,85,308,107,0.9055564300330553,0.6895929006676774,0.8518811881188119,0.5514401233441482
47,79,306,115,0.9132693215803558,0.6917789827438576,0.862970297029703,0.5466174306114348
48,76,303,121,0.9167322524791437,0.6936734982527146,0.8724752475247525,0.559830722140279
49,69,306,125,0.9244451440264442,0.6898756577854395,0.8776237623762376,0.5343214565754613
50,62,312,126,0.9315284117739651,0.6885534192162823,0.8922772277227723,0.5368805713245443
51,61,307,132,0.9326302534235794,0.6891285427297126,0.8974257425742574,0.5503473997002902
52,59,303,138,0.9360931843223674,0.6980295899805188,0.9053465346534654,0.5663100008327485
53,54,300,146,0.9428616401699984,0.7038513316451402,0.9108910891089109,0.5719581263440913
54,52,292,156,0.9460097591688966,0.7104421516678537,0.9172277227722773,0.5872816370539043
55,47,294,159,0.9508893436171887,0.7033165217493985,0.9227722772277228,0.576858611713035
56,45,294,161,0.9535652447662522,0.706779612027151,0.9255445544554456,0.5778935976304397
57,39,296,165,0.9604911065638281,0.7046625589738806,0.9386138613861386,0.5790590089173084
58,36,291,173,0.9645836612623957,0.7107939097208291,0.9465346534653465,0.5912435152566732
59,33,290,177,0.9683614040610735,0.7183719865195349,0.9516831683168316,0.5987206794623061
60,30,285,185,0.9727687706595309,0.7290195716449185,0.956039603960396,0.6001395339553234
61,28,280,192,0.9763891075082638,0.7423451366805647,0.9623762376237623,0.6539648321603208
62,28,273,199,0.9765465134582088,0.7440458169526736,0.9631683168316831,0.6620430634528379
63,26,269,205,0.9785927908074925,0.751385903893895,0.9643564356435643,0.6453165929886577
64,25,263,212,0.9793798205572171,0.7519676558391245,0.9663366336633663,0.6519011865327654
65,21,260,219,0.9828427514560051,0.7519586852269969,0.9687128712871287,0.6194023951542749
66,20,254,226,0.9847316228553439,0.7641262165579439,0.9702970297029703,0.6194964465359203
67,19,250,231,0.9856760585550134,0.7683323055180573,0.9714851485148515,0.6130037783084874
68,19,244,237,0.986305682354793,0.7790380471448516,0.9722772277227723,0.62457115829692
69,17,243,240,0.9885093656540217,0.7932736157165148,0.973069306930693,0.5986103421861937
70,17,236,247,0.9889815835038565,0.8017135134147244,0.9742574257425742,0.6164405511928731
71,16,234,250,0.9902408311034158,0.810153941336478,0.975049504950495,0.609283561832904
72,15,233,252,0.9910278608531402,0.8137294214835477,0.9766336633663366,0.6074782235308551
73,15,224,261,0.991500078702975,0.8248085305465278,0.9778217821782178,0.623290189342821
74,15,222,263,0.991500078702975,0.8248085305465278,0.9782178217821782,0.6284183944710261
75,14,219,267,0.9919722965528097,0.8236043779665179,0.9798019801980198,0.6311808805229858
76,13,216,271,0.9927593263025343,0.8285836025120609,0.9813861386138614,0.6269719147249512
77,12,215,273,0.9935463560522588,0.8330736062787115,0.982970297029703,0.6223819674477569
78,12,211,277,0.9935463560522588,0.8330736062787115,0.9833663366336634,0.6279375230033124
79,11,207,282,0.9938611679521486,0.825210732541203,0.9865346534653465,0.6517287736187257
80,11,202,287,0.9940185739020935,0.828143283860851,0.9869306930693069,0.6820318039217561
81,10,200,290,0.9946481977018732,0.8242909455802694,0.9873267326732673,0.664520698599646
82,10,197,293,0.994805603651818,0.8292909455802695,0.9873267326732673,0.664520698599646
83,9,194,297,0.9955926334015426,0.8420226192721948,0.9885148514851485,0.6550229984440511
84,7,191,302,0.9962222572013222,0.8290290819213934,0.9912871287128713,0.6599796193781156
85,7,188,305,0.9962222572013222,0.8290290819213934,0.9912871287128713,0.6599796193781156
86,7,186,307,0.9962222572013222,0.8290290819213934,0.9912871287128713,0.6599796193781156
87,7,182,311,0.9962222572013222,0.8290290819213934,0.9916831683168317,0.6674984163705968
88,7,180,313,0.9962222572013222,0.8290290819213934,0.9916831683168317,0.6674984163705968
89,7,178,315,0.9962222572013222,0.8290290819213934,0.9916831683168317,0.6674984163705968
90,7,175,318,0.9962222572013222,0.8290290819213934,0.9916831683168317,0.6674984163705968
91,6,173,321,0.996537069101212,0.8213672622416254,0.9936633663366337,0.7009703746545851
92,6,171,323,0.996537069101212,0.8213672622416254,0.994059405940594,0.7565259302101407
93,6,167,327,0.9968518810011019,0.838648368232409,0.994059405940594,0.7565259302101407
94,6,165,329,0.9968518810011019,0.838648368232409,0.9944554455445545,0.7652978600347021
95,6,163,331,0.9968518810011019,0.838648368232409,0.9944554455445545,0.7652978600347021
96,6,160,334,0.9970092869510467,0.8469817015657424,0.9948514851485148,0.7986311933680353
97,6,159,335,0.9970092869510467,0.8469817015657424,0.9948514851485148,0.7986311933680353
98,6,157,337,0.9973240988509365,0.864086964723637,0.9948514851485148,0.7986311933680353
99,6,156,338,0.9973240988509365,0.864086964723637,0.9948514851485148,0.7986311933680353
100,6,154,340,0.9973240988509365,0.864086964723637,0.9948514851485148,0.7986311933680353
101,6,149,345,0.9976389107508263,0.8833521976985476,0.9948514851485148,0.7986311933680353
102,5,144,351,0.9981111286006611,0.8966893039049235,0.9964356435643564,0.7824175824175824
103,5,141,354,0.9981111286006611,0.8966893039049235,0.9968316831683168,0.7978021978021979
104,5,137,358,0.9981111286006611,0.8966893039049235,0.9968316831683168,0.7978021978021979
105,5,133,362,0.9981111286006611,0.8966893039049235,0.9976237623762376,0.8417582417582418
106,5,129,366,0.9981111286006611,0.8966893039049235,0.9976237623762376,0.8417582417582418
107,5,123,372,0.9984259405005509,0.9166893039049236,0.9976237623762376,0.8417582417582418
108,5,119,376,0.9984259405005509,0.9166893039049236,0.9976237623762376,0.8417582417582418
109,5,118,377,0.9984259405005509,0.9166893039049236,0.9976237623762376,0.8417582417582418
110,5,116,379,0.9984259405005509,0.9166893039049236,0.9976237623762376,0.8417582417582418
111,5,115,380,0.9984259405005509,0.9166893039049236,0.9976237623762376,0.8417582417582418
112,4,114,382,0.9992129702502754,0.9361842105263158,0.9988118811881188,0.9093406593406594
113,4,114,382,0.9992129702502754,0.9361842105263158,0.9988118811881188,0.9093406593406594
114,4,113,383,0.9992129702502754,0.9361842105263158,0.9988118811881188,0.9093406593406594
115,4,111,385,0.9992129702502754,0.9361842105263158,0.9992079207920792,0.945054945054945
116,4,109,387,0.9992129702502754,0.9361842105263158,0.9992079207920792,0.945054945054945
117,4,108,388,0.9992129702502754,0.9361842105263158,0.9992079207920792,0.945054945054945
118,4,107,389,0.9992129702502754,0.9361842105263158,0.9992079207920792,0.945054945054945
119,4,105,391,0.9992129702502754,0.9361842105263158,0.9992079207920792,0.945054945054945
120,4,103,393,0.9992129702502754,0.9361842105263158,0.9996039603960396,0.9807692307692308
121,3,103,394,0.9993703762002204,0.9315789473684211,0.9996039603960396,0.9743589743589745
122,3,101,396,0.9993703762002204,0.9315789473684211,0.9996039603960396,0.9743589743589745
123,3,98,399,0.9993703762002204,0.9315789473684211,1.0,1.0
124,3,97,400,0.9995277821501652,0.9491228070175438,1.0,1.0
125,2,96,402,0.9996851881001102,0.95,1.0,1.0
126,2,93,405,0.9996851881001102,0.95,1.0,1.0
127,2,93,405,0.9996851881001102,0.95,1.0,1.0
128,2,91,407,0.9996851881001102,0.95,1.0,1.0
129,2,90,408,0.9996851881001102,0.95,1.0,1.0
130,2,87,411,0.9996851881001102,0.95,1.0,1.0
131,2,86,412,0.9996851881001102,0.95,1.0,1.0
132,2,84,414,0.9996851881001102,0.95,1.0,1.0
133,2,81,417,0.9996851881001102,0.95,1.0,1.0
134,2,80,418,0.9996851881001102,0.95,1.0,1.0
135,2,80,418,0.9996851881001102,0.95,1.0,1.0
136,2,80,418,0.9996851881001102,0.95,1.0,1.0
137,2,77,421,0.9996851881001102,0.95,1.0,1.0
138,2,74,424,1.0,1.0,1.0,1.0
139,2,74,424,1.0,1.0,1.0,1.0
140,2,73,425,1.0,1.0,1.0,1.0
141,2,73,425,1.0,1.0,1.0,1.0
142,2,71,427,1.0,1.0,1.0,1.0
143,2,68,430,1.0,1.0,1.0,1.0
144,2,66,432,1.0,1.0,1.0,1.0
145,2,64,434,1.0,1.0,1.0,1.0
146,2,63,435,1.0,1.0,1.0,1.0
147,2,62,436,1.0,1.0,1.0,1.0
148,2,59,439,1.0,1.0,1.0,1.0
149,2,56,442,1.0,1.0,1.0,1.0
150,2,55,443,1.0,1.0,1.0,1.0
151,2,54,444,1.0,1.0,1.0,1.0
152,2,52,446,1.0,1.0,1.0,1.0
153,2,52,446,1.0,1.0,1.0,1.0
154,2,51,447,1.0,1.0,1.0,1.0
155,2,49,449,1.0,1.0,1.0,1.0
156,1,49,450,1.0,1.0,1.0,1.0
157,1,48,451,1.0,1.0,1.0,1.0
158,1,46,453,1.0,1.0,1.0,1.0
159,1,44,455,1.0,1.0,1.0,1.0
160,1,44,455,1.0,1.0,1.0,1.0
161,1,43,456,1.0,1.0,1.0,1.0
162,1,43,456,1.0,1.0,1.0,1.0
163,1,43,456,1.0,1.0,1.0,1.0
164,1,42,457,1.0,1.0,1.0,1.0
165,1,41,458,1.0,1.0,1.0,1.0
166,1,41,458,1.0,1.0,1.0,1.0
167,1,40,459,1.0,1.0,1.0,1.0
168,1,39,460,1.0,1.0,1.0,1.0
169,1,38,461,1.0,1.0,1.0,1.0
170,1,38,461,1.0,1.0,1.0,1.0
171,1,38,461,1.0,1.0,1.0,1.0
172,1,38,461,1.0,1.0,1.0,1.0
173,1,38,461,1.0,1.0,1.0,1.0
174,1,38,461,1.0,1.0,1.0,1.0
175,1,37,462,1.0,1.0,1.0,1.0
176,1,37,462,1.0,1.0,1.0,1.0
177,1,36,463,1.0,1.0,1.0,1.0
178,1,35,464,1.0,1.0,1.0,1.0
179,1,34,465,1.0,1.0,1.0,1.0
180,1,32,467,1.0,1.0,1.0,1.0
181,1,31,468,1.0,1.0,1.0,1.0
182,1,29,470,1.0,1.0,1.0,1.0
183,1,28,471,1.0,1.0,1.0,1.0
184,1,28,471,1.0,1.0,1.0,1.0
185,1,27,472,1.0,1.0,1.0,1.0
186,1,27,472,1.0,1.0,1.0,1.0
187,1,26,473,1.0,1.0,1.0,1.0
188,1,25,474,1.0,1.0,1.0,1.0
189,1,24,475,1.0,1.0,1.0,1.0
190,1,23,476,1.0,1.0,1.0,1.0
191,1,22,477,1.0,1.0,1.0,1.0
192,1,22,477,1.0,1.0,1.0,1.0
193,1,22,477,1.0,1.0,1.0,1.0
194,1,22,477,1.0,1.0,1.0,1.0
195,1,22,477,1.0,1.0,1.0,1.0
196,1,22,477,1.0,1.0,1.0,1.0
197,1,22,477,1.0,1.0,1.0,1.0
198,1,22,477,1.0,1.0,1.0,1.0
199,1,22,477,1.0,1.0,1.0,1.0
200,1,22,477,1.0,1.0,1.0,1.0
