,v,T,max_infected_,max_infected_b_,min_avg_contact_,min_avg_contact_sus_,min_avg_contact_day_,min_avg_contact_sus_day_
0,0.01,7,0.7852,0.36560000000000004,0.7022520364159079,0.4753729578567848,15,27
0,0.01,14,0.7992,0.3638,0.7055826030509575,0.5628568600442699,15,26
0,0.01,21,0.7173999999999999,0.43760000000000004,0.6802924451665313,0.5480753498074631,14,26
0,0.01,28,0.719,0.7664,0.8452890964728621,0.5192307692307693,8,22
0,0.01,35,0.7878,0.7992,0.9617269923713684,0.7496930004093327,5,16
0,0.01,42,0.7824,0.7936,0.9854472843450479,0.6785714285714286,4,19
0,0.01,49,0.7062,0.71,1.0,0.7948220765856036,0,16
0,0.01,56,0.8022,0.7867999999999999,1.0,0.6666666666666666,0,17
0,0.01,63,0.7864,0.7258,1.0,0.8118475719555052,0,12
0,0.02,7,0.8054,0.4044,0.6776920604307297,0.5831125968901036,15,30
0,0.02,14,0.7218,0.5317999999999999,0.6953393959077623,0.5294432525437578,13,25
0,0.02,21,0.7984,0.7958,0.9097181729834791,0.7307692307692307,6,24
0,0.02,28,0.7203999999999999,0.7737999999999999,0.9795573953192166,0.5617283950617283,6,19
0,0.02,35,0.787,0.7086,1.0,0.763417482584216,0,13
0,0.02,42,0.71,0.7816000000000001,1.0,0.7516894745734076,0,15
0,0.02,49,0.8018,0.7746000000000001,1.0,0.5492424242424243,0,17
0,0.02,56,0.7998,0.7914,1.0,0.6742442563482466,0,19
0,0.02,63,0.7156,0.7774,1.0,0.6687898089171975,0,16
0,0.03,7,0.7886,0.407,0.6750489875898106,0.5226379342595351,14,24
0,0.03,14,0.797,0.6898,0.8781918340894361,0.6436826402295426,7,20
0,0.03,21,0.7854,0.7882,0.9743863563914568,0.6373380259158534,5,18
0,0.03,28,0.7916,0.7876000000000001,1.0,0.6206896551724138,0,18
0,0.03,35,0.7866000000000001,0.7946,1.0,0.751899881729562,0,13
0,0.03,42,0.7926,0.7894,1.0,0.48148148148148145,0,21
0,0.03,49,0.7978,0.7784,1.0,0.6359156636238792,0,23
0,0.03,56,0.8032,0.8014,1.0,0.5777777777777778,0,16
0,0.03,63,0.785,0.7916,1.0,0.5769230769230769,0,17
0,0.04,7,0.8086,0.5134,0.6927328391878828,0.5395076492418891,14,22
0,0.04,14,0.7992,0.7916,0.956976556184317,0.48,6,21
0,0.04,21,0.789,0.7892,1.0,0.5503685503685504,0,22
0,0.04,28,0.8052,0.8006,1.0,0.5185185185185185,0,18
0,0.04,35,0.6842,0.7908,1.0,0.4004232115243754,0,17
0,0.04,42,0.794,0.8034,1.0,0.6285714285714286,0,18
0,0.04,49,0.7996,0.7894,1.0,0.6304968589377499,0,18
0,0.04,56,0.7956,0.7906,1.0,0.707961954695167,0,12
0,0.04,63,0.7888,0.7567999999999999,1.0,0.5939524838012958,0,19
0,0.05,7,0.7938,0.6113999999999999,0.7410407383831954,0.5325436209706372,10,20
0,0.05,14,0.7974,0.7772,0.9671670702179176,0.48,5,20
0,0.05,21,0.7784,0.7938,1.0,0.6904761904761906,0,17
0,0.05,28,0.6962,0.7988,1.0,0.4827586206896552,0,19
0,0.05,35,0.7942,0.7092,1.0,0.7481344939654986,0,17
0,0.05,42,0.7962,0.8072,1.0,0.5542090806269188,0,18
0,0.05,49,0.7727999999999999,0.801,1.0,0.6790123456790124,0,15
0,0.05,56,0.6906,0.8038,1.0,0.6721931853882843,0,15
0,0.05,63,0.7986,0.8082,1.0,0.64,0,17
0,0.06,7,0.797,0.716,0.7968374446552815,0.47760623905777494,9,27
0,0.06,14,0.758,0.7682,0.9905639218199296,0.788872180451128,5,15
0,0.06,21,0.8096,0.8142,1.0,0.7160493827160493,0,15
0,0.06,28,0.8004,0.785,1.0,0.5196633759508011,0,19
0,0.06,35,0.799,0.7872,1.0,0.4482758620689655,0,18
0,0.06,42,0.6406000000000001,0.7884,1.0,0.7956402116402116,0,13
0,0.06,49,0.7006,0.7774,1.0,0.6551724137931034,0,20
0,0.06,56,0.7906,0.7922,1.0,0.72,0,19
0,0.06,63,0.7754,0.7484,1.0,0.7536809284600728,0,19
0,0.07,7,0.8142,0.77,0.8672835532668168,0.4807692307692307,8,19
0,0.07,14,0.7644,0.7948,1.0,0.5925925925925926,0,20
0,0.07,21,0.7156,0.802,1.0,0.6285714285714286,0,16
0,0.07,28,0.7726000000000001,0.7836000000000001,1.0,0.42857142857142855,0,22
0,0.07,35,0.72,0.7772,1.0,0.5047619047619047,0,16
0,0.07,42,0.788,0.699,1.0,0.8068638364536923,0,17
0,0.07,49,0.7123999999999999,0.7924,1.0,0.5555555555555556,0,16
0,0.07,56,0.795,0.7153999999999999,1.0,0.7597419191382961,0,15
0,0.07,63,0.8028,0.7822,1.0,0.6592195286764084,0,18
0,0.08,7,0.7677999999999999,0.7777999999999999,0.9140695428203477,0.6513157894736843,7,20
0,0.08,14,0.7122,0.7857999999999999,1.0,0.7278846153846154,0,16
0,0.08,21,0.8006,0.773,1.0,0.5,0,17
0,0.08,28,0.756,0.8002,1.0,0.4666666666666667,0,18
0,0.08,35,0.796,0.728,1.0,0.531199455180046,0,20
0,0.08,42,0.7252000000000001,0.7182000000000001,1.0,0.6487301876480233,0,16
0,0.08,49,0.779,0.7946,1.0,0.5384615384615384,0,19
0,0.08,56,0.7158,0.789,1.0,0.5185185185185185,0,17
0,0.08,63,0.7872,0.792,1.0,0.5413311421528348,0,16
0,0.09,7,0.7716000000000001,0.7092,0.9492608488316643,0.7058066750785521,6,20
0,0.09,14,0.7787999999999999,0.801,1.0,0.5185185185185185,0,19
0,0.09,21,0.781,0.7298,1.0,0.5964488162720908,0,23
0,0.09,28,0.7826000000000001,0.7092,1.0,0.6920093556385007,0,15
0,0.09,35,0.8066,0.7968,1.0,0.53125,0,20
0,0.09,42,0.7846000000000001,0.792,1.0,0.7704425204425205,0,13
0,0.09,49,0.7273999999999999,0.7794,1.0,0.5769230769230769,0,18
0,0.09,56,0.7837999999999999,0.805,1.0,0.6496921284739556,0,16
0,0.09,63,0.8018,0.7814,1.0,0.4039177594301441,0,20
0,0.1,7,0.8132,0.7908,0.9602580645161289,0.5836939658691924,6,18
0,0.1,14,0.8026,0.7346,1.0,0.5172413793103449,0,21
0,0.1,21,0.8096,0.7894,1.0,0.75,0,19
0,0.1,28,0.726,0.8046,1.0,0.5328282828282828,0,15
0,0.1,35,0.794,0.7824,1.0,0.45161290322580644,0,17
0,0.1,42,0.8,0.8016,1.0,0.5925925925925926,0,15
0,0.1,49,0.7874,0.7296,1.0,0.7318501946421578,0,13
0,0.1,56,0.8028,0.792,1.0,0.644620811287478,0,13
0,0.1,63,0.7524,0.803,1.0,0.5666666666666667,0,18
