day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.82,499,494,1.1373079564282926,2.02,5,0,1.0783585409580354,0.16,2,0,0.42185208743524,0.9998911128903125,1.0,0.9990392313851081,0.00019794860027711454,0.9999848027308,1.0,0.9998632740081572,3.422618732200198e-05
2,495.8,499,490,2.2587697572631305,3.94,10,0,2.235246413846188,0.26,3,0,0.5646020812962715,0.999413931144916,1.0,0.9955164131305044,0.0008738359423309672,0.9997532216636329,1.0,0.9977599756703899,0.0003912746009027842
3,491.04,499,477,5.420896830689506,8.34,21,0,5.117437177465506,0.62,3,0,0.8053393251117374,0.9973899119295436,1.0,0.988630904723779,0.002800770843163311,0.9987463093180463,1.0,0.9943546529180812,0.0013749601656083655
4,482.16,499,455,10.979312643442164,16.44,42,0,10.361151933436508,1.4,4,0,1.2453996981544784,0.9914843875100077,1.0,0.9676541232986389,0.008357879947102718,0.9956464698039924,1.0,0.9828937621592462,0.004418641364931773
5,466.72,499,420,20.73254367768072,30.6,74,0,19.36860493538079,2.68,8,0,1.9213090775376493,0.9784531625300239,1.0,0.9305044035228183,0.018322363523995085,0.9883050855076156,1.0,0.95969709651012,0.01047180940138025
6,441.14,499,371,33.87492601091401,54.24,117,0,31.202145399812174,4.62,14,0,3.392007412390823,0.9557373899119296,1.0,0.8912730184147318,0.02996052767257802,0.9739567216638249,1.0,0.9283360674428944,0.01934824536540258
7,402.26,499,302,51.72723200222727,89.72,178,0,47.502970906017644,8.02,22,0,5.192184078998363,0.9230424339471577,1.0,0.8518815052041633,0.04252476598420783,0.9485801465277377,1.0,0.8787952131429623,0.03366894069705444
8,350.18,499,226,68.88934931453186,136.44,240,0,62.28052403014434,13.38,34,1,7.891845442594267,0.8866228983186546,1.0,0.8116893514811849,0.04806567703876345,0.9099955970621306,1.0,0.8007290241640938,0.05124573319647557
9,290.0,499,168,82.245277762834,188.76,294,0,72.77433950092517,21.24,46,1,11.064855191468313,0.8542097678142513,1.0,0.7972778222578062,0.047145552687886554,0.8546663682714309,1.0,0.7126128350311403,0.07364810026172015
10,228.96,499,121,87.00034248114619,240.18,328,0,75.09196810225036,30.86,56,1,13.590227581401487,0.8349975980784631,1.0,0.799679743795036,0.03913830114081158,0.7865113426575284,1.0,0.642528058512283,0.09100474436635082
11,176.0,499,84,86.44049504528228,281.2,354,0,72.7542691082069,42.8,72,1,15.897631706564065,0.8324387510008004,1.0,0.7923138510808647,0.03678973107968585,0.7120191070399013,1.0,0.5550590157669988,0.10501841196551251
12,135.24,499,63,85.56190264173343,308.3,375,0,70.3884991765454,56.46,87,1,17.988896802285165,0.8425556445156124,1.0,0.799679743795036,0.037918012842444906,0.6400170156759334,1.0,0.48024734698101446,0.11226721993409022
13,106.02,499,44,85.54590365793713,325.14,383,0,69.19714810685805,68.84,99,1,20.94829397369063,0.8583923138510811,1.0,0.811369095276221,0.03790528737583817,0.577586732947366,1.0,0.44457760421242415,0.11111371027109088
14,86.3,499,40,87.18412371854997,331.18,385,0,69.42495287454398,82.52,113,1,22.80103828641967,0.8779087269815851,1.0,0.8325060048038431,0.034607864981576815,0.5356503876219099,1.0,0.3943428920508342,0.10926263224475338
15,72.78,499,34,88.92195385590118,331.1,377,0,69.12964749848871,96.12,126,1,25.28259867810996,0.8952025620496395,1.0,0.8496397117694156,0.030102157391671963,0.5044110877270644,1.0,0.3954875166477687,0.10886957390141483
16,63.74,499,27,90.34080823555355,326.72,366,0,68.35831167831898,109.54,140,1,27.96149685053447,0.9107029623698962,1.0,0.8646917534027222,0.02639972057796241,0.49372448124888485,1.0,0.3684973590003891,0.10829132181306433
17,57.02,499,23,91.51658486920525,319.88,360,0,67.04389058897256,123.1,155,1,29.834406927818993,0.9240864691753404,1.0,0.8883907125700561,0.022879030714915625,0.49202289651015113,1.0,0.3861013297537106,0.10836000768505796
18,51.7,499,19,92.5573732716026,312.8,357,0,65.76705955452911,135.5,170,1,32.0371276961654,0.9356541232986387,1.0,0.9045636509207365,0.020615391050989137,0.4962311142101712,1.0,0.39686281384712385,0.10761375268541022
19,47.04,499,17,93.40737199416941,305.52,353,0,64.59299260660983,147.44,182,1,34.20834126707838,0.9456781425140113,1.0,0.9164131305044035,0.017389175879579565,0.5016001217692054,1.0,0.41617020936405796,0.10753532548296706
20,43.8,499,15,94.04102448247939,296.3,340,0,62.7028137896766,159.9,196,1,36.26447634942436,0.9534955964771815,1.0,0.9245796637309848,0.0150438031762134,0.5133226269108685,1.0,0.4246533522129804,0.10496599925613252
21,40.86,499,14,94.60875612063546,287.2,335,0,61.08942926028151,171.94,205,1,38.59597631560967,0.9603586869495594,1.0,0.9317854283426742,0.012994828765373438,0.5261833707642788,1.0,0.4340753588588199,0.10314103316871892
22,38.82,499,13,95.00175938220451,279.06,329,0,59.54432751132144,182.12,216,1,40.561688971798226,0.9649223378702962,1.0,0.9383506805444356,0.01167716473843109,0.5365649889288941,1.0,0.43053342150054613,0.10186982965786079
23,37.02,499,10,95.35529479215069,270.34,317,0,57.67877620485542,192.64,226,1,42.422443039850826,0.969393114491593,1.0,0.9503602882305845,0.010261109434839513,0.5530686538470598,1.0,0.45411986163157875,0.09922209341435304
