day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.86,499,496,0.9478224237370536,2.06,4,1,0.9348141799418791,0.08,1,0,0.27404751561786966
2,495.46,499,489,2.5651510676761404,4.32,9,1,2.4862068477493815,0.22,2,0,0.464670170494017
3,490.44,499,474,5.873357347430195,8.98,23,1,5.464131650489174,0.58,3,0,0.835195198985341
4,480.38,499,444,13.139580336851374,18.18,45,1,12.158292710436488,1.44,11,0,1.8312480410242364
5,461.06,497,389,26.704283841927015,36.08,94,3,24.44973185446217,2.86,17,0,3.057343117606447
6,424.74,493,314,47.93184361834063,69.68,164,5,44.2739339170329,5.58,28,0,5.055165069268364
7,366.34,487,215,76.32278660467031,123.16,257,11,70.42911040071948,10.5,37,0,7.301802964378883
8,285.86,477,119,102.49022053894923,195.62,350,20,93.23612552031973,18.52,49,2,10.644994991419534
9,199.86,455,44,111.04843767565612,270.1,399,39,98.76693861442352,30.04,62,5,13.976598517609673
10,121.4,420,14,100.72877302084899,334.42,416,72,85.32174161277261,44.18,82,7,17.52629511357615
11,67.84,353,6,78.49486139427295,372.18,419,133,61.856215763425325,59.98,111,14,20.745779014989424
12,34.38,253,3,52.02624533907509,389.6,421,224,36.65559511263219,76.02,123,23,21.850596592051474
13,16.88,156,0,29.36723149556808,391.04,417,301,19.346422967377027,92.08,136,42,21.788257462801063
14,7.8,80,0,14.338474002999549,383.4,406,345,14.689993817811732,108.8,154,60,21.085830429412997
15,3.56,41,0,6.999008676161187,372.74,406,328,16.745160738651194,123.7,172,72,20.73668739412427
16,1.8,22,0,3.45820526768863,359.18,404,318,18.20034760825255,139.02,182,87,20.081964697769212
17,0.92,8,0,1.5758379695014486,346.12,395,307,18.22942228197849,152.96,193,98,19.19498233754789
18,0.46,3,0,0.7059513771774762,332.96,378,297,18.434616948578466,166.58,203,120,18.7062032710095
19,0.26,2,0,0.5272183453498838,319.72,366,289,17.720091214580727,180.02,211,134,17.814795501927886
20,0.14,1,0,0.35050983275386566,307.88,350,278,17.06247822754087,191.98,222,150,17.063494868955104
21,0.12,1,0,0.3282607226593159,296.04,338,263,16.978930520873597,203.84,237,162,17.013032219628652
22,0.12,1,0,0.3282607226593159,283.56,328,245,17.38420582727028,216.32,255,172,17.420888236217333
23,0.08,1,0,0.27404751561786966,272.14,316,234,17.32287622816507,227.78,266,184,17.36321469341999
24,0.04,1,0,0.1979486637221574,261.5,310,226,17.07277340787765,238.46,274,190,17.067943457767576
25,0.02,1,0,0.14142135623730948,251.12,303,218,16.833688283453807,248.86,282,197,16.835349108106925
26,0.0,0,0,0.0,241.36,287,207,15.912721133657532,258.64,293,213,15.912721133657534
27,0.0,0,0,0.0,232.04,279,198,15.161659485931843,267.96,302,221,15.161659485931835
28,0.0,0,0,0.0,223.38,270,194,15.024999575537365,276.62,306,230,15.024999575537372
29,0.0,0,0,0.0,213.86,262,187,15.042809659401389,286.14,313,238,15.042809659401373
30,0.0,0,0,0.0,205.66,250,179,14.551260552731144,294.34,321,250,14.55126055273113
31,0.0,0,0,0.0,197.54,241,172,14.045421942790481,302.46,328,259,14.045421942790489
32,0.0,0,0,0.0,189.34,235,166,14.265142330670448,310.66,334,265,14.265142330670448
33,0.0,0,0,0.0,181.94,230,156,14.204641380010042,318.06,344,270,14.204641380010065
34,0.0,0,0,0.0,174.5,214,151,13.546970442252592,325.5,349,286,13.546970442252588
35,0.0,0,0,0.0,166.98,205,141,13.324046085241243,333.02,359,295,13.324046085241255
36,0.0,0,0,0.0,160.16,196,134,12.819564130257927,339.84,366,304,12.819564130257923
37,0.0,0,0,0.0,153.78,181,127,12.693064151378913,346.22,373,319,12.693064151378907
38,0.0,0,0,0.0,148.26,174,125,11.945129653920866,351.74,375,326,11.945129653920858
39,0.0,0,0,0.0,143.32,166,121,11.278370123961228,356.68,379,334,11.27837012396123
40,0.0,0,0,0.0,137.76,160,115,11.000111316690937,362.24,385,340,11.000111316690928
41,0.0,0,0,0.0,132.48,153,112,10.240455984745509,367.52,388,347,10.240455984745514
42,0.0,0,0,0.0,127.52,146,102,9.959591828371035,372.48,398,354,9.959591828371034
43,0.0,0,0,0.0,122.66,140,96,9.366919647006128,377.34,404,360,9.366919647006126
44,0.0,0,0,0.0,117.76,138,92,9.74273146127566,382.24,408,362,9.742731461275662
45,0.0,0,0,0.0,113.4,135,89,9.330660453033103,386.6,411,365,9.330660453033113
46,0.0,0,0,0.0,108.58,128,85,9.32866987478135,391.42,415,372,9.328669874781362
47,0.0,0,0,0.0,104.06,122,80,8.883394276826344,395.94,420,378,8.883394276826339
48,0.0,0,0,0.0,99.78,116,75,8.692689868093602,400.22,425,384,8.692689868093598
49,0.0,0,0,0.0,95.94,111,72,8.200074663672028,404.06,428,389,8.200074663672028
50,0.0,0,0,0.0,92.12,108,70,7.901536921022753,407.88,430,392,7.901536921022757
51,0.0,0,0,0.0,88.48,102,65,7.53831031790146,411.52,435,398,7.538310317901458
52,0.0,0,0,0.0,85.32,99,65,7.440759232711651,414.68,435,401,7.440759232711647
53,0.0,0,0,0.0,82.14,97,64,7.047969746744123,417.86,436,403,7.047969746744119
54,0.0,0,0,0.0,78.84,96,62,7.0315905246339865,421.16,438,404,7.0315905246339865
55,0.0,0,0,0.0,75.64,95,57,7.099180751814872,424.36,443,405,7.09918075181487
56,0.0,0,0,0.0,72.82,91,55,7.064397659087028,427.18,445,409,7.064397659087029
57,0.0,0,0,0.0,69.58,89,54,6.951992813692535,430.42,446,411,6.951992813692534
58,0.0,0,0,0.0,66.8,88,50,7.315066922566918,433.2,450,412,7.315066922566926
59,0.0,0,0,0.0,64.26,83,50,6.76669515090684,435.74,450,417,6.766695150906833
60,0.0,0,0,0.0,61.52,80,46,7.114916782108312,438.48,454,420,7.114916782108311
61,0.0,0,0,0.0,59.08,77,44,7.070606012765461,440.92,456,423,7.070606012765459
62,0.0,0,0,0.0,56.62,72,41,6.751840263126454,443.38,459,428,6.751840263126452
63,0.0,0,0,0.0,54.46,71,38,6.713404197452091,445.54,462,429,6.7134041974521015
64,0.0,0,0,0.0,52.02,66,38,6.494864533315722,447.98,462,434,6.494864533315726
65,0.0,0,0,0.0,49.9,65,37,6.424601949076816,450.1,463,435,6.424601949076813
66,0.0,0,0,0.0,48.12,61,34,6.212692735071338,451.88,466,439,6.2126927350713395
67,0.0,0,0,0.0,45.94,60,32,6.1458796550773656,454.06,468,440,6.145879655077365
68,0.0,0,0,0.0,44.38,57,29,5.713892843637464,455.62,471,443,5.7138928436374625
69,0.0,0,0,0.0,42.36,56,28,6.039867548216602,457.64,472,444,6.039867548216609
70,0.0,0,0,0.0,40.74,54,27,5.968659645111594,459.26,473,446,5.968659645111599
71,0.0,0,0,0.0,39.32,52,26,5.881274330882896,460.68,474,448,5.881274330882893
72,0.0,0,0,0.0,37.86,52,26,5.97959114021031,462.14,474,448,5.979591140210304
73,0.0,0,0,0.0,36.28,51,26,5.5697433348697984,463.72,474,449,5.569743334869807
74,0.0,0,0,0.0,34.72,47,25,5.469917732470937,465.28,475,453,5.469917732470947
75,0.0,0,0,0.0,33.3,45,25,5.183372159007639,466.7,475,455,5.183372159007645
76,0.0,0,0,0.0,32.12,45,24,5.328552278785966,467.88,476,455,5.328552278785957
77,0.0,0,0,0.0,30.74,43,22,5.275317961207337,469.26,478,457,5.275317961207338
78,0.0,0,0,0.0,29.44,41,21,5.4815460354516325,470.56,479,459,5.481546035451627
79,0.0,0,0,0.0,28.42,40,20,5.345568448800961,471.58,480,460,5.345568448800965
80,0.0,0,0,0.0,27.58,39,19,5.357009522150222,472.42,481,461,5.357009522150231
81,0.0,0,0,0.0,26.46,38,18,5.414304560841679,473.54,482,462,5.414304560841681
82,0.0,0,0,0.0,25.24,37,18,5.109255307372923,474.76,482,463,5.109255307372921
83,0.0,0,0,0.0,24.2,36,18,4.668609896676627,475.8,482,464,4.668609896676621
84,0.0,0,0,0.0,23.4,36,17,4.47213595499958,476.6,483,464,4.472135954999582
85,0.0,0,0,0.0,22.5,35,16,4.432026302139591,477.5,484,465,4.4320263021396
86,0.0,0,0,0.0,21.32,34,15,4.278279265006873,478.68,485,466,4.278279265006871
87,0.0,0,0,0.0,20.48,32,14,4.175927124237057,479.52,486,468,4.1759271242370595
88,0.0,0,0,0.0,19.56,30,13,4.136250890428605,480.44,487,470,4.136250890428608
89,0.0,0,0,0.0,18.9,30,12,4.0970372570571385,481.1,488,470,4.0970372570571385
90,0.0,0,0,0.0,18.02,28,11,3.9973971123056296,481.98,489,472,3.997397112305633
91,0.0,0,0,0.0,17.3,28,11,3.9756914428787846,482.7,489,472,3.975691442878782
92,0.0,0,0,0.0,16.7,27,11,3.887447092625079,483.3,489,473,3.8874470926250866
93,0.0,0,0,0.0,16.14,27,9,4.025480070242351,483.86,491,473,4.025480070242347
94,0.0,0,0,0.0,15.44,24,8,3.8234507333303096,484.56,492,476,3.823450733330311
95,0.0,0,0,0.0,14.72,23,6,3.8863444867108425,485.28,494,477,3.886344486710844
96,0.0,0,0,0.0,14.12,23,5,3.628908870698841,485.88,495,477,3.6289088706988393
97,0.0,0,0,0.0,13.5,21,5,3.430059201012277,486.5,495,479,3.430059201012277
98,0.0,0,0,0.0,12.96,21,5,3.4164069919571753,487.04,495,479,3.4164069919571682
99,0.0,0,0,0.0,12.38,20,5,3.3678552492041334,487.62,495,480,3.367855249204131
100,0.0,0,0,0.0,11.86,20,5,3.270211876054167,488.14,495,480,3.270211876054168
101,0.0,0,0,0.0,11.38,20,5,3.1872834060064505,488.62,495,480,3.187283406006447
102,0.0,0,0,0.0,11.0,18,5,3.0838618778461293,489.0,495,482,3.0838618778461186
103,0.0,0,0,0.0,10.56,17,4,3.111269837220809,489.44,496,483,3.111269837220819
104,0.0,0,0,0.0,10.24,17,4,3.10075698460086,489.76,496,483,3.10075698460086
105,0.0,0,0,0.0,9.84,17,3,3.0058446468199795,490.16,497,483,3.00584464681997
106,0.0,0,0,0.0,9.56,17,3,3.0382594372705016,490.44,497,483,3.038259437270497
107,0.0,0,0,0.0,9.1,17,3,2.8873404187725344,490.9,497,483,2.8873404187725313
108,0.0,0,0,0.0,8.68,17,3,2.817148652558513,491.32,497,483,2.8171486525585334
109,0.0,0,0,0.0,8.3,17,3,2.887340418772534,491.7,497,483,2.8873404187725282
110,0.0,0,0,0.0,8.14,17,3,2.857214284821451,491.86,497,483,2.8572142848214495
111,0.0,0,0,0.0,7.7,17,3,2.801238793018225,492.3,497,483,2.801238793018224
112,0.0,0,0,0.0,7.38,17,3,2.6564515229677257,492.62,497,483,2.656451522967717
113,0.0,0,0,0.0,7.1,14,3,2.418044411401537,492.9,497,486,2.4180444114015343
114,0.0,0,0,0.0,6.78,14,1,2.451904715663698,493.22,499,486,2.451904715663684
115,0.0,0,0,0.0,6.52,13,1,2.323263011457843,493.48,499,487,2.3232630114578496
116,0.0,0,0,0.0,6.22,11,1,2.206576441421583,493.78,499,489,2.2065764414215723
117,0.0,0,0,0.0,5.96,11,1,2.2127644543900837,494.04,499,489,2.212764454390073
118,0.0,0,0,0.0,5.82,11,1,2.210272861537457,494.18,499,489,2.2102728615374483
119,0.0,0,0,0.0,5.7,11,1,2.187627547301936,494.3,499,489,2.18762754730193
120,0.0,0,0,0.0,5.5,10,1,2.1594594939758536,494.5,499,490,2.159459493975852
121,0.0,0,0,0.0,5.38,10,1,2.1274685541693894,494.62,499,490,2.1274685541693876
122,0.0,0,0,0.0,5.2,10,0,2.1189138534559038,494.8,500,490,2.118913853455912
123,0.0,0,0,0.0,4.94,9,0,2.0742345526945205,495.06,500,491,2.0742345526945205
124,0.0,0,0,0.0,4.76,9,0,2.005706145689628,495.24,500,491,2.005706145689626
125,0.0,0,0,0.0,4.66,9,0,1.9442222095223585,495.34,500,491,1.944222209522361
126,0.0,0,0,0.0,4.4,9,0,1.9272482233188633,495.6,500,491,1.9272482233188672
127,0.0,0,0,0.0,4.24,9,0,1.901234829670186,495.76,500,491,1.9012348296701884
128,0.0,0,0,0.0,4.04,9,0,1.8178255680670703,495.96,500,491,1.8178255680670634
129,0.0,0,0,0.0,3.9,9,0,1.7641555764612096,496.1,500,491,1.7641555764612085
130,0.0,0,0,0.0,3.72,9,0,1.8520810137876402,496.28,500,491,1.8520810137876444
131,0.0,0,0,0.0,3.62,9,0,1.8282365764834254,496.38,500,491,1.8282365764834188
132,0.0,0,0,0.0,3.52,9,0,1.8321393762150169,496.48,500,491,1.8321393762150227
133,0.0,0,0,0.0,3.28,8,0,1.818723481467377,496.72,500,492,1.818723481467365
134,0.0,0,0,0.0,3.08,8,0,1.8498758921415595,496.92,500,492,1.8498758921415468
135,0.0,0,0,0.0,3.0,8,0,1.840585532389304,497.0,500,492,1.840585532389306
136,0.0,0,0,0.0,2.86,8,0,1.7958000888694916,497.14,500,492,1.7958000888694885
137,0.0,0,0,0.0,2.72,8,0,1.7961409880573387,497.28,500,492,1.796140988057344
138,0.0,0,0,0.0,2.56,8,0,1.7398099825872377,497.44,500,492,1.7398099825872448
139,0.0,0,0,0.0,2.48,8,0,1.7407481384831793,497.52,500,492,1.7407481384831784
140,0.0,0,0,0.0,2.42,8,0,1.7389886810019963,497.58,500,492,1.7389886810019843
