day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,499,499,499,,1,1,1,,0,0,0,,1.0,1.0,1.0,,1.0,1.0,1.0,
2,497,497,497,,2,2,2,,1,1,1,,1.0,1.0,1.0,,1.0,1.0,1.0,
3,496,496,496,,3,3,3,,1,1,1,,0.9998368412465328,0.9998368412465328,0.9998368412465328,,0.9999039938556068,0.9999039938556068,0.9999039938556068,
4,492,492,492,,7,7,7,,1,1,1,,0.997389459944526,0.997389459944526,0.997389459944526,,0.9987740862322936,0.9987740862322936,0.9987740862322936,
5,488,488,488,,9,9,9,,3,3,3,,0.9937999673682493,0.9937999673682493,0.9937999673682493,,0.9969578963665429,0.9969578963665429,0.9969578963665429,
6,479,479,479,,17,17,17,,4,4,4,,0.9807472670908794,0.9807472670908794,0.9807472670908794,,0.9903250685959698,0.9903250685959698,0.9903250685959698,
7,465,465,465,,31,31,31,,4,4,4,,0.9525208027410671,0.9525208027410671,0.9525208027410671,,0.9748242668196339,0.9748242668196339,0.9748242668196339,
8,447,447,447,,48,48,48,,5,5,5,,0.9127100668950889,0.9127100668950889,0.9127100668950889,,0.9518897880049959,0.9518897880049959,0.9518897880049959,
9,426,426,426,,65,65,65,,9,9,9,,0.877141458639256,0.877141458639256,0.877141458639256,,0.9291491459178799,0.9291491459178799,0.9291491459178799,
10,401,401,401,,87,87,87,,12,12,12,,0.8324359601892641,0.8324359601892641,0.8324359601892641,,0.8963723843373649,0.8963723843373649,0.8963723843373649,
11,367,367,367,,115,115,115,,18,18,18,,0.7810409528471203,0.7810409528471203,0.7810409528471203,,0.8525957094972271,0.8525957094972271,0.8525957094972271,
12,335,335,335,,142,142,142,,23,23,23,,0.7467776146190244,0.7467776146190244,0.7467776146190244,,0.813695458674464,0.813695458674464,0.813695458674464,
13,302,302,302,,165,165,165,,33,33,33,,0.7285038342307065,0.7285038342307065,0.7285038342307065,,0.7740192130198874,0.7740192130198874,0.7740192130198874,
14,263,263,263,,197,197,197,,40,40,40,,0.7105563713493229,0.7105563713493229,0.7105563713493229,,0.7230101488294989,0.7230101488294989,0.7230101488294989,
15,228,228,228,,221,221,221,,51,51,51,,0.7240985478870942,0.7240985478870942,0.7240985478870942,,0.6899734278805464,0.6899734278805464,0.6899734278805464,
16,186,186,186,,252,252,252,,62,62,62,,0.7475934083863599,0.7475934083863599,0.7475934083863599,,0.6450126672500008,0.6450126672500008,0.6450126672500008,
17,160,160,160,,267,267,267,,73,73,73,,0.7730461739272312,0.7730461739272312,0.7730461739272312,,0.6250252278912694,0.6250252278912694,0.6250252278912694,
18,132,132,132,,281,281,281,,87,87,87,,0.8011094795235765,0.8011094795235765,0.8011094795235765,,0.597493459487094,0.597493459487094,0.597493459487094,
19,107,107,107,,293,293,293,,100,100,100,,0.8356991352586066,0.8356991352586066,0.8356991352586066,,0.5812120836047847,0.5812120836047847,0.5812120836047847,
20,72,72,72,,319,319,319,,109,109,109,,0.8821993799967368,0.8821993799967368,0.8821993799967368,,0.5499695462902676,0.5499695462902676,0.5499695462902676,
21,62,62,62,,314,314,314,,124,124,124,,0.8976994615761136,0.8976994615761136,0.8976994615761136,,0.5488923975827046,0.5488923975827046,0.5488923975827046,
22,50,50,50,,312,312,312,,138,138,138,,0.9176048294991026,0.9176048294991026,0.9176048294991026,,0.5419013186217521,0.5419013186217521,0.5419013186217521,
23,41,41,41,,305,305,305,,154,154,154,,0.9350628161200848,0.9350628161200848,0.9350628161200848,,0.550624077785794,0.550624077785794,0.550624077785794,
24,33,33,33,,306,306,306,,161,161,161,,0.9500734214390602,0.9500734214390602,0.9500734214390602,,0.5620225053565322,0.5620225053565322,0.5620225053565322,
25,26,26,26,,305,305,305,,169,169,169,,0.9626366454560287,0.9626366454560287,0.9626366454560287,,0.5725456270749792,0.5725456270749792,0.5725456270749792,
26,21,21,21,,297,297,297,,182,182,182,,0.9707945831293849,0.9707945831293849,0.9707945831293849,,0.5773243078421785,0.5773243078421785,0.5773243078421785,
27,15,15,15,,295,295,295,,190,190,190,,0.9820525371186164,0.9820525371186164,0.9820525371186164,,0.6233236192008121,0.6233236192008121,0.6233236192008121,
28,15,15,15,,286,286,286,,199,199,199,,0.9827051721324849,0.9827051721324849,0.9827051721324849,,0.634655188865715,0.634655188865715,0.634655188865715,
29,12,12,12,,282,282,282,,206,206,206,,0.9862946647087616,0.9862946647087616,0.9862946647087616,,0.6464755517387096,0.6464755517387096,0.6464755517387096,
30,12,12,12,,273,273,273,,215,215,215,,0.986784140969163,0.986784140969163,0.986784140969163,,0.6576708379339958,0.6576708379339958,0.6576708379339958,
31,10,10,10,,264,264,264,,226,226,226,,0.9908631098058411,0.9908631098058411,0.9908631098058411,,0.7178107078107078,0.7178107078107078,0.7178107078107078,
