day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.54,499,493,1.2650723944760158,2.32,6,0,1.2525891552447415,0.14,1,0,0.3505098327538656
2,494.54,499,486,3.4417010507086507,5.22,14,0,3.4183777033044462,0.24,1,0,0.4314191105869001
3,488.9,499,466,8.023562240078169,10.4,33,0,7.690439333539868,0.7,3,0,0.8390957231764808
4,477.18,499,429,16.593199984158737,21.18,65,0,15.361879668151797,1.64,8,0,1.7584780061061847
5,454.28,499,364,32.46476268705087,42.5,122,0,29.996768533443397,3.22,14,0,3.012152257853145
6,412.3,499,279,57.179720252579656,80.84,199,0,52.55331986251134,6.86,22,0,5.206001246599143
7,346.4,499,163,89.1787931229008,140.74,297,0,81.28554104927561,12.86,40,1,8.727180155662412
8,264.18,499,79,114.4590988350094,214.28,371,0,103.07675760899579,21.54,50,1,12.44778482055243
9,183.96,499,32,120.42864938143555,282.76,411,0,105.90283571389814,33.28,63,1,15.883555865698822
10,114.64,499,13,111.44757347135497,337.56,420,0,93.85728636649173,47.8,82,1,19.852517446903096
11,66.1,499,4,94.11114792236519,371.48,421,0,76.22850717495686,62.42,97,1,21.970378945762587
12,38.6,499,1,81.3999949857091,383.16,420,0,64.2566156365337,78.24,114,1,24.339905924390163
13,23.3,499,0,73.9029286100548,382.44,423,0,58.15993431206463,94.26,130,1,25.339982120703063
14,15.88,499,0,71.08019041468414,374.52,418,0,56.0893019738913,109.6,150,1,26.401917060883967
15,12.34,499,0,70.47871584922005,362.32,416,0,55.443090881827764,125.34,167,1,28.40854283701382
16,11.08,499,0,70.47096377015059,349.66,420,0,54.41586278328204,139.26,181,1,29.79234938088389
17,10.54,499,0,70.49944564842119,336.4,416,0,53.06830408029997,153.06,193,1,31.156229108236086
18,10.26,499,0,70.53203353868396,322.9,407,0,51.303120802555775,166.84,201,1,32.35918315863176
19,10.16,499,0,70.5452120187863,310.98,391,0,49.7838142699543,178.86,211,1,33.66158714290803
20,10.02,499,0,70.56376187389614,298.94,379,0,48.0452210454497,191.04,227,1,34.66278366531706
21,10.0,499,0,70.56651226368797,286.46,363,0,46.344851991590694,203.54,243,1,36.00238654220987
22,10.0,499,0,70.56651226368797,274.96,340,0,44.3556866565665,215.04,253,1,36.735658037233684
23,9.98,499,0,70.56925676241745,263.48,326,0,42.46931184961198,226.54,263,1,37.646698096260984
24,9.98,499,0,70.56925676241745,253.1,311,0,40.66249839237875,236.92,273,1,38.45105024971519
25,9.98,499,0,70.56925676241745,242.64,300,0,38.760257365249885,247.38,282,1,39.24849665650799
26,9.98,499,0,70.56925676241745,233.2,286,0,37.26682608608643,256.82,296,1,40.23892419546234
27,9.98,499,0,70.56925676241745,223.56,272,0,35.958116224977346,266.46,301,1,41.469049191129585
28,9.98,499,0,70.56925676241745,214.66,264,0,34.84286007145773,275.36,316,1,42.684777193768184
29,9.98,499,0,70.56925676241745,206.58,254,0,33.759104592052545,283.44,325,1,43.72883044679902
30,9.98,499,0,70.56925676241745,198.24,244,0,32.36876801574542,291.78,334,1,44.6109211484619
31,9.98,499,0,70.56925676241745,190.74,238,0,31.244793852050666,299.28,340,1,45.51251902229872
32,9.98,499,0,70.56925676241745,183.14,230,0,30.373867661769605,306.88,345,1,46.610255506351244
33,9.98,499,0,70.56925676241745,175.84,221,0,29.32252738501403,314.18,350,1,47.52300839099534
34,9.98,499,0,70.56925676241745,168.38,214,0,28.211945653411075,321.64,360,1,48.44047894065458
35,9.98,499,0,70.56925676241745,160.82,208,0,27.177188814090663,329.2,365,1,49.42815854493122
36,9.98,499,0,70.56925676241745,154.3,199,0,26.123919760890963,335.72,369,1,50.19758511144144
37,9.98,499,0,70.56925676241745,147.92,191,0,25.24883509133417,342.1,373,1,51.03710135074007
38,9.98,499,0,70.56925676241745,142.02,180,0,24.732437594943097,348.0,379,1,51.953275711381835
39,9.98,499,0,70.56925676241745,136.18,175,0,23.882954386006805,353.84,385,1,52.69525788988638
40,9.98,499,0,70.56925676241745,130.92,168,0,22.821257544630786,359.1,391,1,53.238489222496504
41,9.98,499,0,70.56925676241745,125.58,164,0,22.239962193478362,364.44,398,1,54.0083742561829
42,9.98,499,0,70.56925676241745,120.76,158,0,21.495666388120828,369.26,403,1,54.6124789507202
43,9.98,499,0,70.56925676241745,115.76,154,0,20.888977661798148,374.26,407,1,55.30502062310843
44,9.98,499,0,70.56925676241745,111.14,147,0,20.18588110334467,378.88,410,1,55.8915275971489
45,9.98,499,0,70.56925676241745,106.58,138,0,19.619950279743108,383.44,415,1,56.51734788757252
46,9.98,499,0,70.56925676241745,102.14,130,0,18.864727911731816,387.88,418,1,57.057665066642386
47,9.98,499,0,70.56925676241745,97.98,123,0,18.11357592119958,392.04,421,1,57.55457392416205
48,9.98,499,0,70.56925676241745,93.98,121,0,17.706784125911533,396.04,427,1,58.132838729718934
49,9.98,499,0,70.56925676241745,90.12,119,0,16.950877407908983,399.9,431,1,58.58196769293014
50,9.98,499,0,70.56925676241745,86.86,115,0,16.28948577883217,403.16,434,1,58.95981336331329
51,9.98,499,0,70.56925676241745,83.24,110,0,15.779811436756523,406.78,438,1,59.444465594333664
52,9.98,499,0,70.56925676241745,79.86,104,0,14.910631736298438,410.16,441,1,59.79808201142323
53,9.98,499,0,70.56925676241745,76.5,96,0,14.317464716854285,413.52,442,1,60.22381385384059
54,9.98,499,0,70.56925676241745,73.3,92,0,13.735474702613027,416.72,442,1,60.6280193862036
55,9.98,499,0,70.56925676241745,70.28,89,0,13.292686342650292,419.74,445,1,61.03522235027032
56,9.98,499,0,70.56925676241745,67.5,88,0,12.990184677639638,422.52,446,1,61.4326377391679
57,9.98,499,0,70.56925676241745,64.8,85,0,12.555184310125611,425.22,450,1,61.788741461762854
58,9.98,499,0,70.56925676241745,62.22,79,0,11.990285183243568,427.8,452,1,62.100971105489954
59,9.98,499,0,70.56925676241745,59.8,76,0,11.524596588627828,430.22,454,1,62.408885421803824
60,9.98,499,0,70.56925676241745,57.6,73,0,11.224972160321826,432.42,457,1,62.71252519494435
61,9.98,499,0,70.56925676241745,55.28,71,0,10.967558841363719,434.74,459,1,63.04284581269526
62,9.98,499,0,70.56925676241745,52.94,68,0,10.683594136500572,437.08,460,1,63.3712224652065
63,9.98,499,0,70.56925676241745,50.92,66,0,10.405728406674346,439.1,462,1,63.648989603535895
64,9.98,499,0,70.56925676241745,49.22,62,0,9.914512142329958,440.8,463,1,63.84228014955196
65,9.98,499,0,70.56925676241745,47.04,60,0,9.583063291078501,442.98,464,1,64.13871765198316
66,9.98,499,0,70.56925676241745,45.32,58,0,9.425194200348644,444.7,466,1,64.38793460306813
67,9.98,499,0,70.56925676241745,43.82,56,0,9.191144806668147,446.2,467,1,64.59102104782056
68,9.98,499,0,70.56925676241745,42.4,55,0,8.817885349720552,447.62,467,1,64.76264040198434
69,9.98,499,0,70.56925676241745,40.8,54,0,8.320125587749164,449.22,468,1,64.94810801473648
70,9.98,499,0,70.56925676241745,39.12,52,0,7.836700680198295,450.9,471,1,65.15108030805109
71,9.98,499,0,70.56925676241745,37.46,51,0,7.521967827636595,452.56,472,1,65.37307690229571
72,9.98,499,0,70.56925676241745,35.78,51,0,7.578945056092259,454.24,474,1,65.6408160727293
73,9.98,499,0,70.56925676241745,34.14,49,0,7.211130851902861,455.88,474,1,65.8534675144253
74,9.98,499,0,70.56925676241745,33.2,48,0,6.937034595530847,456.82,475,1,65.96928475140719
75,9.98,499,0,70.56925676241745,31.82,48,0,6.956688163492857,458.2,477,1,66.18403531526499
76,9.98,499,0,70.56925676241745,30.52,44,0,6.559741159652007,459.5,479,1,66.34334009914033
77,9.98,499,0,70.56925676241745,29.22,42,0,6.412010414138487,460.8,480,1,66.5281895139196
78,9.98,499,0,70.56925676241745,27.98,42,0,6.3002753422176,462.04,482,1,66.707084346723
79,9.98,499,0,70.56925676241745,26.8,39,0,6.1974319895668195,463.22,483,1,66.87737483862627
80,9.98,499,0,70.56925676241745,25.64,36,0,6.053368096037317,464.38,483,1,67.04061820863467
81,9.98,499,0,70.56925676241745,24.58,35,0,5.990093863187447,465.44,484,1,67.1957724617754
82,9.98,499,0,70.56925676241745,23.42,34,0,5.848739616536269,466.6,485,1,67.35892286695147
83,9.98,499,0,70.56925676241745,22.62,34,0,5.660064180785606,467.4,487,1,67.46367125183383
84,9.98,499,0,70.56925676241745,21.64,32,0,5.554038795217002,468.38,487,1,67.60264757525162
85,9.98,499,0,70.56925676241745,20.76,32,0,5.251083464488106,469.26,488,1,67.71091311673503
86,9.98,499,0,70.56925676241745,19.86,32,0,5.119032115148173,470.16,489,1,67.83604484042266
87,9.98,499,0,70.56925676241745,19.26,31,0,4.835286961494633,470.76,489,1,67.90526414026516
88,9.98,499,0,70.56925676241745,18.32,30,0,4.8589912449362735,471.7,490,1,68.04777733328253
89,9.98,499,0,70.56925676241745,17.52,30,0,4.669658904643282,472.5,490,1,68.15416198529893
90,9.98,499,0,70.56925676241745,16.9,29,0,4.581462203092736,473.12,490,1,68.24076225140705
91,9.98,499,0,70.56925676241745,16.26,28,0,4.341588160466402,473.76,491,1,68.32054102925864
92,9.98,499,0,70.56925676241745,15.5,28,0,4.243843079289414,474.52,492,1,68.42759915801966
93,9.98,499,0,70.56925676241745,14.74,27,0,4.05980797776527,475.28,492,1,68.52946334926881
94,9.98,499,0,70.56925676241745,14.18,27,0,4.1042039174386025,475.84,492,1,68.61527169810002
95,9.98,499,0,70.56925676241745,13.5,23,0,3.897932471326358,476.52,494,1,68.70410973062346
96,9.98,499,0,70.56925676241745,12.78,22,0,3.737782819822905,477.24,495,1,68.80186281293999
97,9.98,499,0,70.56925676241745,12.3,22,0,3.7046578513971262,477.72,495,1,68.87108335469235
98,9.98,499,0,70.56925676241745,11.72,22,0,3.5573436546882875,478.3,495,1,68.94903471227936
99,9.98,499,0,70.56925676241745,11.34,22,0,3.6567522112790027,478.68,495,1,69.01033344687576
100,9.98,499,0,70.56925676241745,10.98,22,0,3.7388746533508437,479.04,495,1,69.06783415082388
101,9.98,499,0,70.56925676241745,10.5,21,0,3.721147507894602,479.52,496,1,69.13761491343455
102,9.98,499,0,70.56925676241745,10.18,21,0,3.623562346867051,479.84,496,1,69.17955342617425
103,9.98,499,0,70.56925676241745,9.86,20,0,3.464160527929574,480.16,496,1,69.21848284487994
104,9.98,499,0,70.56925676241745,9.34,19,0,3.408333125426204,480.68,497,1,69.29217642913025
105,9.98,499,0,70.56925676241745,9.06,19,0,3.419094043987773,480.96,497,1,69.33384484374372
106,9.98,499,0,70.56925676241745,8.72,19,0,3.470223188728908,481.3,498,1,69.38630400643537
107,9.98,499,0,70.56925676241745,8.44,19,0,3.363428765593897,481.58,498,1,69.42213080061687
108,9.98,499,0,70.56925676241745,8.22,19,0,3.2719587842322047,481.8,498,1,69.45002607954137
109,9.98,499,0,70.56925676241745,7.9,19,0,3.277941115881075,482.12,498,1,69.49721474377844
110,9.98,499,0,70.56925676241745,7.6,18,0,3.1167748898959173,482.42,498,1,69.53375043084898
111,9.98,499,0,70.56925676241745,7.32,18,0,3.247856435954555,482.7,498,1,69.58074152979927
112,9.98,499,0,70.56925676241745,6.82,15,0,2.9944847262108722,483.2,498,1,69.64252747174719
113,9.98,499,0,70.56925676241745,6.5,15,0,2.991484513053132,483.52,498,1,69.68917580578633
114,9.98,499,0,70.56925676241745,6.28,15,0,2.934940808776287,483.74,498,1,69.71891378080635
115,9.98,499,0,70.56925676241745,6.04,14,0,2.784505232129238,483.98,498,1,69.74779346959696
116,9.98,499,0,70.56925676241745,5.86,14,0,2.7479862756987288,484.16,498,1,69.77262196241591
117,9.98,499,0,70.56925676241745,5.72,13,0,2.7630211208540763,484.3,499,1,69.79364628119446
118,9.98,499,0,70.56925676241745,5.62,13,0,2.6487578914175867,484.4,499,1,69.80380669112128
119,9.98,499,0,70.56925676241745,5.36,12,0,2.497018630450387,484.66,499,1,69.8361376541471
120,9.98,499,0,70.56925676241745,5.12,12,0,2.4878480168816663,484.9,499,1,69.87079913260311
121,9.98,499,0,70.56925676241745,4.92,11,0,2.3805332964506514,485.1,499,1,69.89620584721844
122,9.98,499,0,70.56925676241745,4.7,11,0,2.366863075111556,485.32,499,1,69.92778782575695
123,9.98,499,0,70.56925676241745,4.4,11,0,2.3123448651769496,485.62,499,1,69.96964064681839
124,9.98,499,0,70.56925676241745,4.16,10,0,2.16992429097686,485.86,499,1,70.00000291545184
125,9.98,499,0,70.56925676241745,3.92,10,0,2.0980068286498077,486.1,499,1,70.03271830118447
126,9.98,499,0,70.56925676241745,3.74,9,0,2.018384886739991,486.28,499,1,70.05654858755176
127,9.98,499,0,70.56925676241745,3.58,9,0,1.9906926289252045,486.44,499,1,70.079010802822
128,9.98,499,0,70.56925676241745,3.38,9,0,1.988641213882238,486.64,500,1,70.10800996479993
129,9.98,499,0,70.56925676241745,3.24,8,0,1.9119388599224698,486.78,500,1,70.12620983713899
130,9.98,499,0,70.56925676241745,3.08,7,0,1.7594062078103605,486.94,500,1,70.14544947202671
131,9.98,499,0,70.56925676241745,2.94,7,0,1.6710011663548243,487.08,500,1,70.16361054633633
132,9.98,499,0,70.56925676241745,2.9,7,0,1.656773357820457,487.12,500,1,70.16907860187942
133,9.98,499,0,70.56925676241745,2.78,7,0,1.6572660052764305,487.24,500,1,70.18650373200283
134,9.98,499,0,70.56925676241745,2.7,7,0,1.6812288994199742,487.32,500,1,70.19868014341546
135,9.98,499,0,70.56925676241745,2.58,7,0,1.6670883820209974,487.44,500,1,70.2157491491149
136,9.98,499,0,70.56925676241745,2.42,7,0,1.579072318722326,487.6,500,1,70.2369168585575
137,9.98,499,0,70.56925676241745,2.32,7,0,1.504279609267221,487.7,500,1,70.24977304052231
138,9.98,499,0,70.56925676241745,2.28,7,0,1.5123977448989767,487.74,500,1,70.25574564345872
139,9.98,499,0,70.56925676241745,2.18,7,0,1.4803474495633013,487.84,500,1,70.2695567955633
140,9.98,499,0,70.56925676241745,2.06,6,0,1.3910794516548386,487.96,500,1,70.28512194872353
141,9.98,499,0,70.56925676241745,2.06,6,0,1.3910794516548386,487.96,500,1,70.28512194872353
142,9.98,499,0,70.56925676241745,1.9,5,0,1.3887301496588271,488.12,500,1,70.30825422555233
143,9.98,499,0,70.56925676241745,1.86,5,0,1.3554124306434765,488.16,500,1,70.31339756796723
144,9.98,499,0,70.56925676241745,1.78,5,0,1.2823766201543008,488.24,500,1,70.32361347545289
145,9.98,499,0,70.56925676241745,1.7,4,0,1.164964745021435,488.32,500,1,70.33315472137748
146,9.98,499,0,70.56925676241745,1.64,4,0,1.1385633625812155,488.38,500,1,70.34140940833514
147,9.98,499,0,70.56925676241745,1.58,4,0,1.126489943069504,488.44,500,1,70.34990100510853
148,9.98,499,0,70.56925676241745,1.52,4,0,1.1471348514219846,488.5,500,1,70.35891948445776
149,9.98,499,0,70.56925676241745,1.48,4,0,1.182180620890126,488.54,500,1,70.36528886852537
150,9.98,499,0,70.56925676241745,1.36,4,0,1.1563489339913178,488.66,500,1,70.38222468081274
151,9.98,499,0,70.56925676241745,1.26,4,0,1.1919800025716085,488.76,500,1,70.39728658963834
152,9.98,499,0,70.56925676241745,1.22,4,0,1.1480240344493964,488.8,500,1,70.40234226159218
153,9.98,499,0,70.56925676241745,1.18,4,0,1.1192198449029083,488.84,500,1,70.40766423958027
154,9.98,499,0,70.56925676241745,1.16,4,0,1.1131862707873232,488.86,500,1,70.41046130529531
155,9.98,499,0,70.56925676241745,1.14,4,0,1.0881551510024023,488.88,500,1,70.41296262849937
