,day,s,s,s,i,i,i,r,r,r,edgecount,edgecount,edgecount,suscedgecount,suscedgecount,suscedgecount,V,T
,,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,,
0,1,497.1,498,496,2.9,4,2,0.0,0,0,0.9994328309836332,1.0,0.9985415653864852,0.9997092769630447,1.0,0.9992362771823456,0.01,7
1,2,493.6,497,489,6.4,11,3,0.0,0,0,0.9967104197050721,0.9998379517096094,0.9918975854804731,0.9984266820769341,0.9999390281080422,0.9961196826279655,0.01,7
2,3,487.4,497,478,12.1,22,3,0.5,2,0,0.9881218603143737,0.9993518068384378,0.9719656457624372,0.9940819096548417,0.9997317534615923,0.9856193104253159,0.01,7
3,4,477.8,494,465,21.0,32,6,1.2,4,0,0.9698752228163994,0.997893372224923,0.9458758710095608,0.9843868395180735,0.9989409385962136,0.9715236072707115,0.01,7
4,5,462.6,490,443,34.7,54,10,2.7,5,0,0.9339977313239345,0.9915734888996921,0.8800842651110031,0.9641857188306713,0.9959264239815072,0.9331485886826826,0.01,7
5,6,445.0,485,419,50.2,73,15,4.8,12,0,0.889758548047318,0.9808783017339167,0.8202884459568952,0.9372447114912388,0.9904995799076026,0.8934385376283142,0.01,7
6,7,427.9,476,395,65.4,95,23,6.7,13,1,0.8485172581429266,0.9651596175660346,0.761626964835521,0.9095774466357367,0.9821212671995566,0.850152015458852,0.01,7
7,8,405.9,453,366,84.4,122,41,9.7,17,6,0.7994490358126722,0.9176794684816075,0.7006968076486793,0.8745617088046103,0.9555208701940877,0.79528941497288,0.01,7
8,9,385.9,439,346,100.7,139,52,13.4,19,9,0.7603143736833576,0.8771673958839734,0.6763895640900989,0.8422804686537468,0.9302863707453782,0.7659918839061802,0.01,7
9,10,365.4,416,332,115.8,143,73,18.8,26,11,0.728698752228164,0.8198023010857235,0.6755793226381461,0.8125190716403898,0.8925143417774605,0.7565005797350395,0.01,7
10,11,346.6,394,307,129.1,162,90,24.3,34,16,0.706968076486793,0.7828552908766813,0.6490034030140982,0.7861910411982859,0.8621685614249728,0.714706730923756,0.01,7
11,12,330.3,376,291,139.8,170,101,29.9,43,18,0.6908442715929347,0.7604926268027873,0.6417112299465241,0.763956332889526,0.8415759413573416,0.692120138850097,0.01,7
12,13,311.4,357,273,152.6,183,116,36.0,49,21,0.6758061902446929,0.7295414033381947,0.6374979743963701,0.737677232608142,0.8110798794729758,0.6727412447552374,0.01,7
13,14,293.4,336,256,164.3,195,132,42.3,56,27,0.6686274509803922,0.7112299465240641,0.6258304974882515,0.7160336446237909,0.7812388712280603,0.6531778664500464,0.01,7
14,15,277.3,319,242,172.6,201,141,50.1,66,32,0.6688057040998218,0.6982660832928212,0.6250202560362988,0.6998651851018554,0.7598077288348881,0.6444024420084243,0.01,7
15,16,262.8,302,228,178.8,205,148,58.4,71,37,0.672224923027062,0.7006968076486793,0.6282612218441096,0.6857255057879003,0.748470803530571,0.6352081474220996,0.01,7
16,17,250.0,291,218,184.6,205,153,65.4,78,44,0.6770539620807001,0.708151029006644,0.6332847188462162,0.6747113759850853,0.7299992367442956,0.6266302957449364,0.01,7
17,18,237.7,276,210,189.5,212,161,72.8,92,52,0.6842489061740399,0.7071787392643007,0.6433317128504294,0.6659217148780345,0.7224306442309909,0.6119488711695069,0.01,7
18,19,226.2,263,194,193.0,215,164,80.8,101,61,0.6931129476584023,0.721438988818668,0.6574299141144061,0.6591399829102553,0.7161163874480739,0.6065951289410004,0.01,7
19,20,214.3,252,183,196.1,215,167,89.6,110,70,0.7048614487117161,0.7389402041808459,0.6690973910225247,0.6544203849078003,0.7088326967670991,0.6062239193035844,0.01,7
20,21,202.9,240,174,200.0,221,177,97.1,120,79,0.7126235618214227,0.7496353913466213,0.6776859504132231,0.6449801719174006,0.6908036072581534,0.6047574210076538,0.01,7
21,22,193.8,229,163,200.2,224,181,106.0,128,86,0.7241451952681899,0.7600064819316156,0.6908118619348566,0.6443293651357618,0.6816587267478048,0.6016645531263315,0.01,7
22,23,184.4,222,153,200.6,224,180,115.0,139,95,0.7362664073894021,0.7723221520012964,0.7047480149084427,0.6435165950864341,0.6813966667636981,0.6012171591175153,0.01,7
23,24,173.5,206,142,202.0,231,185,124.5,149,101,0.7482255712202236,0.7862583049748825,0.7152811537838276,0.6389317159035739,0.6753079099791989,0.5856961760571956,0.01,7
24,25,164.8,196,138,202.9,226,186,132.3,153,115,0.7602981688543186,0.7979257818830011,0.7345649003403014,0.6379312742270715,0.6642673942615199,0.5933386723286009,0.01,7
25,26,157.8,188,131,200.8,220,188,141.4,161,124,0.7733106465726787,0.8112137416950251,0.7455841840868579,0.6421762872096315,0.6652730062796045,0.600041441699546,0.01,7
26,27,151.5,183,122,198.1,220,182,150.4,171,134,0.7857721601037109,0.8227191703127532,0.7559552746718522,0.6479078198103749,0.679765923810851,0.5934530598833713,0.01,7
27,28,144.0,174,119,199.2,218,184,156.8,180,142,0.7949116836817371,0.8363312267055583,0.7687570896127046,0.6456163022745802,0.6735654424028276,0.5994097186164388,0.01,7
28,29,137.2,160,115,197.1,212,187,165.7,193,151,0.8074542213579647,0.8507535245503159,0.783989628909415,0.6512288347617341,0.6832846924382066,0.6149211536174831,0.01,7
29,30,131.0,152,109,194.4,210,184,174.6,203,161,0.8193647707016691,0.8633932912007778,0.7966293955598769,0.6573444888283362,0.6854656769737411,0.6188322040596772,0.01,7
30,31,122.8,140,101,195.3,208,179,181.9,212,165,0.829606222654351,0.8661481121374169,0.801814940852374,0.6556246677715363,0.6914072624476372,0.6331402345434912,0.01,7
31,32,116.9,137,93,193.6,206,186,189.5,221,169,0.8397990601199158,0.8784637822070978,0.8071625344352618,0.6599730766263752,0.6907366040467392,0.6319832145193615,0.01,7
32,33,111.0,131,89,192.4,207,183,196.6,227,178,0.8482741857073408,0.8841354723707665,0.8160751904067413,0.6600131091655018,0.6924673732364981,0.6378675891518958,0.01,7
33,34,104.2,123,83,191.6,205,182,204.2,235,182,0.8584346135148275,0.893048128342246,0.828714957057203,0.6620991577892601,0.6855844263682698,0.6368264157394276,0.01,7
34,35,98.5,118,80,190.4,201,178,211.1,241,187,0.867039377734565,0.8993680116674769,0.8363312267055583,0.6649802289516468,0.682485938066856,0.6378589376175998,0.01,7
35,36,94.0,115,77,187.5,197,171,218.5,250,192,0.8760006481931615,0.9102252471236428,0.8452438826770378,0.6726941505157221,0.70851687961515,0.636133878717991,0.01,7
36,37,90.0,111,74,184.5,198,168,225.5,258,198,0.8832604116026577,0.917517420191217,0.8512396694214877,0.6780056011024665,0.7138358971863399,0.6379205735075405,0.01,7
37,38,86.0,103,69,181.5,195,163,232.5,262,204,0.8907146329606223,0.9228650137741047,0.859828228812186,0.6845746172397972,0.7199230950517237,0.6432473157929852,0.01,7
38,39,81.5,100,65,178.7,191,159,239.8,271,215,0.8985091557284071,0.931129476584022,0.8703613676875709,0.6909966928616968,0.7297089130836557,0.6448771946397495,0.01,7
39,40,77.1,95,61,175.4,192,156,247.5,277,225,0.9059309674282936,0.9363150218765192,0.8763571544320208,0.6973012428433328,0.7407057620104581,0.6477858205459528,0.01,7
40,41,73.6,89,58,169.7,184,151,256.7,285,238,0.9135958515637659,0.9402041808458921,0.8870523415977961,0.7086708297551203,0.7517029621020654,0.6647051745926102,0.01,7
41,42,70.1,86,53,166.1,178,143,263.8,287,242,0.9189596499756927,0.944417436396046,0.8932101766326366,0.7133329121824843,0.7560846026150229,0.6767530197355748,0.01,7
42,43,67.5,81,48,162.1,174,143,270.4,292,251,0.9240965807810728,0.9479824987846378,0.8990439150866958,0.7214811295321395,0.7558704601661188,0.6889733929899028,0.01,7
43,44,64.4,78,47,158.8,174,137,276.8,300,257,0.9297358612866635,0.9515475611732296,0.9055258467023173,0.7303596330485468,0.7752594380200085,0.6912257277387268,0.01,7
44,45,61.1,74,47,156.5,174,139,282.4,302,265,0.9341273699562469,0.9525198509155728,0.9158969372873116,0.7323497065073932,0.7759156115341904,0.688939398448703,0.01,7
45,46,58.3,70,47,151.5,170,137,290.2,308,270,0.9393453249068223,0.9573812996272889,0.9202722411278561,0.7430832965457617,0.7765843245758538,0.6997863431757688,0.01,7
46,47,55.8,69,40,148.4,158,137,295.8,315,278,0.9430886404148436,0.9649975692756442,0.9257818830011343,0.7476761742885663,0.7844492283553923,0.7134538587603381,0.01,7
47,48,53.5,66,40,144.8,157,132,301.7,316,286,0.9471398476746071,0.9656457624372062,0.931129476584022,0.7544168695438455,0.7882863743248912,0.7050851312707335,0.01,7
48,49,50.6,60,39,140.8,153,129,308.6,324,292,0.9523740074542214,0.968562631664236,0.9406903257170637,0.7646981249384572,0.8002980425554723,0.7236367846408085,0.01,7
49,50,48.7,58,37,137.6,149,125,313.7,327,296,0.9554043104845243,0.9700210662777508,0.944093339815265,0.7711960592350195,0.8058124357507993,0.7323996078500332,0.01,7
50,51,47.3,56,35,132.5,146,118,320.2,331,303,0.9586290714632961,0.9739102252471237,0.9470102090422946,0.7821747757580041,0.8106805763665165,0.7426816623022315,0.01,7
51,52,45.6,55,35,129.5,145,113,324.9,336,309,0.96130286825474,0.9753686598606385,0.9497650299789338,0.7880558650310547,0.8210315396429456,0.7449339145544839,0.01,7
52,53,43.5,52,35,126.5,140,116,330.0,340,319,0.9637822070977151,0.9761789013125911,0.9530059957867445,0.7926076193054112,0.8274954837842353,0.7527681111281406,0.01,7
53,54,40.0,48,32,124.9,138,113,335.1,346,325,0.9671528115378383,0.9777993842164965,0.9575433479176795,0.7947026369438992,0.8273978934901963,0.7639822117407049,0.01,7
54,55,38.4,47,29,121.1,138,105,340.5,351,333,0.9696159455517744,0.9803921568627451,0.9606222654350997,0.8014919285083355,0.8363820186589543,0.7578412639450381,0.01,7
55,56,36.5,43,29,118.0,133,100,345.5,358,336,0.9716739588397342,0.982498784637822,0.9612704585966618,0.8059900312153927,0.8495245012758029,0.7680192557572127,0.01,7
56,57,34.5,43,26,115.3,129,100,350.2,362,340,0.9740884783665532,0.9831469777993842,0.9624047966293956,0.8119574594574642,0.850610019345438,0.7693471718256566,0.01,7
57,58,32.8,40,26,112.6,125,95,354.6,367,345,0.9762437206287474,0.9850915572840706,0.9666180521795495,0.8190855839969536,0.8573768900428531,0.7800900607498582,0.01,7
58,59,31.8,38,24,107.9,121,84,360.3,378,349,0.9782207097715119,0.9865499918975855,0.9684005833738454,0.8279793588193781,0.8788517693985564,0.7903126263951158,0.01,7
59,60,30.8,38,24,103.6,114,81,365.6,381,355,0.9798573975044563,0.9880084265111003,0.9724517906336089,0.8364507310101489,0.88566665579602,0.7989154159552826,0.01,7
60,61,29.3,35,22,101.4,111,80,369.3,385,359,0.981267217630854,0.9883325230918814,0.9750445632798574,0.8401214538616122,0.8824009023201567,0.8078974468898378,0.01,7
61,62,28.2,35,21,98.5,109,77,373.3,388,361,0.9826770377572517,0.988818667963053,0.9761789013125911,0.8465598178071723,0.8848498819119934,0.8084617297111792,0.01,7
62,63,26.2,34,20,95.4,106,74,378.4,392,367,0.9845243882677037,0.9896289094150057,0.9799060119915735,0.8519924736671445,0.8894365974232127,0.821222525648978,0.01,7
63,64,24.9,34,19,93.8,106,70,381.3,396,369,0.985512882839086,0.9901150542861773,0.982498784637822,0.8541747719224684,0.8959733939600093,0.8243020288651213,0.01,7
64,65,23.6,31,18,90.7,104,72,385.7,397,372,0.9865499918975855,0.9902771025765679,0.9831469777993842,0.857690463848335,0.898577560626676,0.8271004966912392,0.01,7
65,66,22.0,31,17,88.1,101,71,389.9,402,376,0.9880408361691784,0.9920596337708637,0.9841192675417274,0.8650979753027496,0.9085392980973329,0.8391284127080049,0.01,7
66,67,20.8,29,17,85.0,98,70,394.2,408,380,0.9895640900988495,0.9927078269324259,0.986712040187976,0.8758453095953271,0.9130790204731521,0.8536010699020697,0.01,7
67,68,19.4,27,15,84.1,98,71,396.5,409,382,0.9905525846702318,0.9931939718035975,0.9870361367687571,0.8796724400201643,0.9158163048301432,0.8496052370235307,0.01,7
68,69,18.3,24,14,81.7,97,69,400.0,413,384,0.9914762599254578,0.9935180683843785,0.9886566196726625,0.884908698839903,0.9170857318371407,0.8604796954107954,0.01,7
69,70,17.1,21,14,79.6,94,67,403.3,417,387,0.9923675255226057,0.9944903581267218,0.9899530059957867,0.889828692529864,0.921275679902167,0.8634923422694147,0.01,7
70,71,16.3,21,12,76.5,91,63,407.2,421,391,0.9932587911197537,0.9951385512882839,0.9906011991573489,0.8966567416813662,0.9285904947169819,0.865389875476246,0.01,7
71,72,15.9,20,11,73.0,92,61,411.1,421,392,0.9937449359909254,0.9956246961594555,0.9912493923189111,0.901889415669778,0.9366846958188457,0.8736651246684691,0.01,7
72,73,14.9,19,10,69.6,84,58,415.5,426,401,0.994538972613839,0.9964349376114082,0.9922216820612543,0.9102181247166528,0.9367836496989562,0.8749189149551468,0.01,7
73,74,14.0,18,7,68.5,80,59,417.5,427,406,0.9949278885107763,0.9965969859017987,0.9922216820612543,0.9098983874667231,0.939640792556099,0.8767623068132406,0.01,7
74,75,13.1,17,7,66.6,81,57,420.3,429,410,0.9955436720142602,0.9972451790633609,0.9930319235132069,0.9147723063762478,0.942401437469295,0.8827146877656216,0.01,7
75,76,12.4,17,6,64.8,78,55,422.8,431,413,0.9957381299627288,0.9972451790633609,0.9930319235132069,0.9144266310477052,0.942401437469295,0.8893768131459133,0.01,7
76,77,11.9,16,6,62.4,75,52,425.7,437,416,0.9961756603467833,0.9974072273537514,0.9938421649651596,0.9190849854550567,0.942401437469295,0.8893768131459133,0.01,7
77,78,11.3,16,6,60.3,70,49,428.4,441,419,0.996418732782369,0.9977313239345325,0.9943283098363312,0.9206604049766822,0.9490229120218395,0.8893768131459133,0.01,7
78,79,10.9,15,6,58.4,68,47,430.7,443,422,0.9967104197050721,0.9982174688057041,0.9951385512882839,0.9246264039256531,0.9562585365573568,0.8893768131459133,0.01,7
79,80,10.0,15,6,57.1,67,45,432.9,445,423,0.9971155404310486,0.9988656619672662,0.9953005995786744,0.9276978872796283,0.9657352915153427,0.8893768131459133,0.01,7
80,81,9.4,13,6,55.2,68,42,435.4,449,423,0.9974396370118296,0.9991897585480474,0.9959487927402366,0.9316749752388276,0.9736128364389234,0.8938813176504179,0.01,7
81,82,8.6,12,6,52.7,63,38,438.7,453,430,0.9977799384216496,0.9990277102576568,0.9965969859017987,0.9366048484891805,0.961906733707976,0.9026532474749792,0.01,7
82,83,8.1,12,6,51.5,63,38,440.4,453,430,0.9979419867120403,0.9990277102576568,0.9972451790633609,0.9367659511668343,0.9608608058608058,0.9026532474749792,0.01,7
83,84,7.5,9,5,50.3,60,37,442.2,454,433,0.9981688543185869,0.9993518068384378,0.9972451790633609,0.9402416134266515,0.9673043478260869,0.9026532474749792,0.01,7
84,85,7.2,9,4,48.1,58,33,444.7,458,435,0.9983957219251337,0.9995138551288284,0.997569275644142,0.9447282094634717,0.97,0.9026532474749792,0.01,7
85,86,6.9,9,3,46.2,54,34,446.9,458,438,0.9986063847026413,1.0,0.9977313239345325,0.951698178060755,1.0,0.9080295915610007,0.01,7
86,87,6.6,9,2,44.8,53,34,448.6,458,440,0.9987036136768758,1.0,0.997893372224923,0.952151357825436,1.0,0.897133330274247,0.01,7
87,88,6.1,9,2,42.5,50,33,451.4,459,443,0.9989304812834225,1.0,0.9982174688057041,0.9575502066220072,1.0,0.9130650514691261,0.01,7
88,89,5.6,8,1,40.7,47,31,453.7,461,447,0.999076324744774,1.0,0.9982174688057041,0.9595222245741789,1.0,0.9130650514691261,0.01,7
89,90,5.1,8,1,39.6,46,29,455.3,463,448,0.9992707826932425,1.0,0.9985415653864852,0.962516775028045,1.0,0.911601584606678,0.01,7
90,91,5.0,8,1,38.0,44,28,457.0,464,450,0.9993680116674769,1.0,0.9988656619672662,0.9669745227800416,1.0,0.9347670250896057,0.01,7
91,92,4.8,8,1,36.2,42,24,459.0,468,452,0.9994652406417112,1.0,0.9990277102576568,0.9697777914096111,1.0,0.9455197132616487,0.01,7
92,93,4.8,8,1,34.5,41,23,460.7,469,455,0.9994652406417112,1.0,0.9990277102576568,0.9697777914096111,1.0,0.9455197132616487,0.01,7
93,94,4.6,8,1,33.3,41,21,462.1,471,455,0.9995624696159455,1.0,0.9993518068384378,0.9727278000335058,1.0,0.9455197132616487,0.01,7
94,95,4.4,8,1,32.1,40,20,463.5,472,456,0.9996110841030628,1.0,0.9993518068384378,0.9750293098175813,1.0,0.9455197132616487,0.01,7
95,96,4.3,8,1,30.8,36,20,464.9,472,460,0.9996272889321018,1.0,0.9993518068384378,0.9759052567872784,1.0,0.9455197132616487,0.01,7
96,97,4.3,8,1,29.6,36,19,466.1,473,460,0.99965969859018,1.0,0.9993518068384378,0.9776027876514759,1.0,0.9455197132616487,0.01,7
97,98,4.2,8,1,27.9,34,19,467.9,473,462,0.9997083130772971,1.0,0.9993518068384378,0.9806497212247253,1.0,0.9455197132616487,0.01,7
98,99,4.2,8,1,26.5,33,19,469.3,473,463,0.9997407227353751,1.0,0.9993518068384378,0.9824606186606226,1.0,0.9455197132616487,0.01,7
99,100,4.2,8,1,25.3,31,17,470.5,475,465,0.9997731323934532,1.0,0.9995138551288284,0.9849247763667158,1.0,0.9562724014336917,0.01,7
100,101,4.1,8,1,24.5,30,16,471.4,476,467,0.9997893372224922,1.0,0.9995138551288284,0.9854456097000492,1.0,0.9562724014336917,0.01,7
101,102,4.1,8,1,23.4,29,16,472.5,477,468,0.9997893372224922,1.0,0.9995138551288284,0.9854456097000492,1.0,0.9562724014336917,0.01,7
102,103,3.9,7,1,22.7,29,15,473.4,478,468,0.9998541565386485,1.0,0.999675903419219,0.9894577387545695,1.0,0.9748338081671415,0.01,7
103,104,3.7,7,1,22.3,29,15,474.0,478,468,0.9998541565386485,1.0,0.999675903419219,0.9894577387545695,1.0,0.9748338081671415,0.01,7
104,105,3.7,7,1,21.5,29,14,474.8,479,468,0.9998541565386485,1.0,0.999675903419219,0.9894577387545695,1.0,0.9748338081671415,0.01,7
105,106,3.7,7,1,20.7,29,13,475.6,480,468,0.9998541565386485,1.0,0.999675903419219,0.9894577387545695,1.0,0.9748338081671415,0.01,7
106,107,3.6,7,1,20.2,29,11,476.2,482,468,0.9998703613676876,1.0,0.999675903419219,0.9908466276434584,1.0,0.9748338081671415,0.01,7
107,108,3.5,7,1,19.2,28,11,477.3,482,469,0.9999027710257657,1.0,0.999675903419219,0.992951890801353,1.0,0.9748338081671415,0.01,7
108,109,3.5,7,1,18.7,27,11,477.8,482,470,0.9999027710257657,1.0,0.999675903419219,0.992951890801353,1.0,0.9748338081671415,0.01,7
109,110,3.4,7,1,17.8,24,11,478.8,485,473,0.9999351806838437,1.0,0.999675903419219,0.9946800014004316,1.0,0.9748338081671415,0.01,7
110,111,3.3,7,1,17.0,24,10,479.7,486,473,0.9999351806838437,1.0,0.999675903419219,0.9946800014004316,1.0,0.9748338081671415,0.01,7
111,112,3.3,7,1,16.4,23,10,480.3,487,474,0.9999351806838437,1.0,0.999675903419219,0.9946800014004316,1.0,0.9748338081671415,0.01,7
112,113,3.3,7,1,15.9,21,10,480.8,487,476,0.9999513855128829,1.0,0.999675903419219,0.996292904626238,1.0,0.9748338081671415,0.01,7
113,114,3.3,7,1,15.5,20,9,481.2,487,477,0.9999513855128829,1.0,0.999675903419219,0.996292904626238,1.0,0.9748338081671415,0.01,7
114,115,3.2,7,1,15.3,20,9,481.5,487,477,0.9999513855128829,1.0,0.999675903419219,0.996292904626238,1.0,0.9748338081671415,0.01,7
115,116,3.2,7,1,14.6,20,8,482.2,488,477,0.9999513855128829,1.0,0.999675903419219,0.996292904626238,1.0,0.9748338081671415,0.01,7
116,117,3.1,7,1,14.3,20,8,482.6,489,478,0.9999513855128829,1.0,0.999675903419219,0.9956976665309998,1.0,0.9748338081671415,0.01,7
117,118,3.1,7,1,13.7,19,8,483.2,489,479,0.9999513855128829,1.0,0.999675903419219,0.9956976665309998,1.0,0.9748338081671415,0.01,7
118,119,2.9,6,1,13.6,20,9,483.5,489,479,0.9999675903419218,1.0,0.999675903419219,0.9974833808167141,1.0,0.9748338081671415,0.01,7
119,120,2.9,6,1,13.1,19,8,484.0,490,480,0.9999675903419218,1.0,0.999675903419219,0.9974833808167141,1.0,0.9748338081671415,0.01,7
120,121,2.8,6,1,12.9,19,7,484.3,491,480,0.9999675903419218,1.0,0.999675903419219,0.9974833808167141,1.0,0.9748338081671415,0.01,7
121,122,2.8,6,1,12.6,19,7,484.6,491,480,0.9999675903419218,1.0,0.999675903419219,0.9974833808167141,1.0,0.9748338081671415,0.01,7
122,123,2.8,6,1,12.4,19,6,484.8,492,480,0.9999675903419218,1.0,0.999675903419219,0.9974833808167141,1.0,0.9748338081671415,0.01,7
123,124,2.8,6,1,11.9,19,6,485.3,492,480,1.0,1.0,1.0,1.0,1.0,1.0,0.01,7
124,125,2.8,6,1,11.3,19,6,485.9,492,480,1.0,1.0,1.0,1.0,1.0,1.0,0.01,7
125,126,2.8,6,1,10.8,18,5,486.4,493,481,1.0,1.0,1.0,1.0,1.0,1.0,0.01,7
