day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
1,497.62,499,495,1.0476406924170927,2.34,5,1,1.0022423838165933,0.04,1,0,0.1979486637221574,0.999643368890304,1.0,0.9976118452475721,0.0005182115007905277,0.9998247143672575,1.0,0.9987828005416404,0.0002568583830157152,0.01,5
2,495.02,499,487,2.7810583802368694,4.72,11,1,2.587568396020023,0.26,2,0,0.527218345349884,0.9979780289762776,1.0,0.9899697500398026,0.0023108173112557314,0.9990162395837996,1.0,0.9949344344939614,0.00115096709025618,0.01,5
3,489.78,498,476,5.039800773516213,9.58,23,2,4.729801307471939,0.64,3,0,0.9205144967764005,0.9919598790001593,0.9998407896831715,0.9652921509313803,0.007429654258132063,0.9959938756758678,0.9999196787148595,0.9821923940267318,0.0037721202490484866,0.01,5
4,481.08,496,463,8.544815828970238,17.64,36,4,8.055318942494214,1.28,5,0,1.3708332041023035,0.976662951759274,0.9992039484158574,0.9320171947142175,0.016846813313423557,0.9880576112375504,0.9995263860989668,0.9638597965856441,0.008881792797625269,0.01,5
5,468.28,494,444,12.71836210735791,29.46,54,6,11.873843660134073,2.26,6,0,1.638939428099645,0.9479477790160803,0.9977710555644006,0.8753383219232607,0.030557402858616352,0.9722968301094983,0.9988843288263247,0.9299891279526232,0.017029261665877052,0.01,5
6,450.58,489,410,17.606921180870543,45.52,84,10,16.13367627678458,3.9,10,0,2.418044411401537,0.9040375736347716,0.9920394841585735,0.7982805285782518,0.04488121963007821,0.9465424229673454,0.9960160768048826,0.8780643935375848,0.02696984867546175,0.01,5
7,432.58,478,391,19.529245468564035,61.1,99,19,17.58507019825485,6.32,13,0,3.1521939233829257,0.8604330520617737,0.9732526667728069,0.7560897946186913,0.04923986279109773,0.919014390000565,0.9859303907234231,0.847699260146933,0.03195728839586227,0.01,5
8,412.24,462,371,20.012812222704344,78.28,117,33,17.677427091390552,9.48,20,3,3.9135557192081647,0.8138958764527942,0.9361566629517593,0.7199490526986149,0.04755886748748357,0.8867173170604263,0.9659454636523571,0.8121173129793674,0.03409799177762083,0.01,5
9,392.06,447,352,20.03915554862631,94.72,127,47,17.197579326576093,13.22,26,6,4.6259692861858355,0.7719726158255056,0.895558032160484,0.6903359337685082,0.042340202425901696,0.8540291300909858,0.941972131142869,0.7852065454969466,0.03360353890461425,0.01,5
10,372.76,430,338,19.94437161666603,108.82,143,62,16.490801393875465,18.42,31,8,5.547899032378779,0.7412482088839357,0.851138353765324,0.6699570132144563,0.036394345172570536,0.8259618020325489,0.9138707195600134,0.7576886510930945,0.032777348448021416,0.01,5
