day,s,i,r,edgecount,suscedgecount
1,995,5,0,0.997660991857883,1.0
2,973,27,0,0.9633160621761658,0.9836406000724256
3,927,67,6,0.8962250185048113,0.9447305537590989
4,834,155,11,0.8213471502590673,0.8710379989479058
5,676,303,21,0.8024574389341229,0.7885939704868608
6,414,535,51,0.8925832716506291,0.7840649825353269
7,164,749,87,0.9707772020725388,0.8427637632999221
8,47,836,117,0.9925980754996299,0.8580100655202806
9,12,839,149,0.9978090303478905,0.842023170375621
10,0,817,183,1.0,
11,0,782,218,1.0,
12,0,743,257,1.0,
13,0,713,287,1.0,
14,0,690,310,1.0,
15,0,652,348,1.0,
16,0,618,382,1.0,
17,0,596,404,1.0,
18,0,575,425,1.0,
19,0,551,449,1.0,
20,0,537,463,1.0,
21,0,513,487,1.0,
22,0,502,498,1.0,
23,0,480,520,1.0,
24,0,462,538,1.0,
25,0,437,563,1.0,
26,0,416,584,1.0,
27,0,402,598,1.0,
28,0,384,616,1.0,
29,0,372,628,1.0,
30,0,356,644,1.0,
31,0,338,662,1.0,
32,0,330,670,1.0,
33,0,316,684,1.0,
34,0,307,693,1.0,
35,0,294,706,1.0,
36,0,281,719,1.0,
37,0,270,730,1.0,
38,0,259,741,1.0,
39,0,247,753,1.0,
40,0,239,761,1.0,
41,0,222,778,1.0,
42,0,212,788,1.0,
43,0,200,800,1.0,
44,0,195,805,1.0,
45,0,190,810,1.0,
46,0,181,819,1.0,
47,0,176,824,1.0,
48,0,166,834,1.0,
49,0,161,839,1.0,
50,0,156,844,1.0,
51,0,154,846,1.0,
52,0,148,852,1.0,
53,0,142,858,1.0,
54,0,136,864,1.0,
55,0,134,866,1.0,
56,0,130,870,1.0,
57,0,126,874,1.0,
58,0,122,878,1.0,
59,0,120,880,1.0,
60,0,118,882,1.0,
61,0,113,887,1.0,
62,0,107,893,1.0,
63,0,103,897,1.0,
64,0,99,901,1.0,
65,0,99,901,1.0,
66,0,96,904,1.0,
67,0,93,907,1.0,
68,0,88,912,1.0,
69,0,86,914,1.0,
70,0,83,917,1.0,
71,0,75,925,1.0,
72,0,73,927,1.0,
73,0,71,929,1.0,
74,0,67,933,1.0,
75,0,62,938,1.0,
76,0,59,941,1.0,
77,0,57,943,1.0,
78,0,56,944,1.0,
79,0,53,947,1.0,
80,0,50,950,1.0,
81,0,46,954,1.0,
82,0,45,955,1.0,
83,0,44,956,1.0,
84,0,44,956,1.0,
85,0,38,962,1.0,
86,0,37,963,1.0,
87,0,34,966,1.0,
88,0,33,967,1.0,
89,0,31,969,1.0,
90,0,31,969,1.0,
91,0,30,970,1.0,
92,0,29,971,1.0,
93,0,28,972,1.0,
94,0,26,974,1.0,
95,0,25,975,1.0,
96,0,22,978,1.0,
97,0,21,979,1.0,
98,0,21,979,1.0,
99,0,19,981,1.0,
100,0,19,981,1.0,
101,0,19,981,1.0,
102,0,19,981,1.0,
103,0,18,982,1.0,
104,0,17,983,1.0,
105,0,17,983,1.0,
106,0,17,983,1.0,
107,0,15,985,1.0,
108,0,14,986,1.0,
109,0,14,986,1.0,
110,0,14,986,1.0,
111,0,13,987,1.0,
112,0,13,987,1.0,
113,0,13,987,1.0,
