day,s,i,r,edgecount,suscedgecount
1,498,1,1,1.0,1.0
2,498,1,1,1.0,1.0
3,498,1,1,1.0,1.0
4,498,1,1,1.0,1.0
5,495,4,1,0.999627004848937,0.9998556998556999
6,493,6,1,0.9988810145468109,0.9994268971956599
7,492,5,3,0.9992540096978739,0.9995709123757904
8,490,7,3,0.9988810145468109,0.9993650793650793
9,487,10,3,0.9973890339425587,0.998642482318047
10,480,17,3,0.9936590824319284,0.9970094104561016
11,475,22,3,0.9873181648638568,0.9941845368254036
12,470,25,5,0.9839612085042895,0.9927507986034269
13,455,39,6,0.9623274897426334,0.9819954116712699
14,444,47,9,0.948899664304364,0.9743427126747559
15,427,60,13,0.9317418873554644,0.9634022646449145
16,414,68,18,0.9127191346512495,0.9496785207367611
17,400,77,23,0.8985453189108542,0.9391745637510925
18,383,92,25,0.8750466243938829,0.9204411825899551
19,361,111,28,0.8422230511003357,0.8931162786102196
20,339,129,32,0.8161133905259231,0.8652317498468078
21,323,137,40,0.8220813129429317,0.8644626218390702
22,304,149,47,0.814621409921671,0.8467296955224178
23,287,160,53,0.8108914584110407,0.8336816572788946
24,267,172,61,0.8116374487131667,0.822331325426518
25,245,185,70,0.8112644535621036,0.8046953707153681
26,231,193,76,0.814621409921671,0.7930111456813238
27,218,191,91,0.8328981723237598,0.8030955261455234
28,203,202,95,0.8340171577769488,0.7884904477996106
29,189,209,102,0.8422230511003357,0.7807100423015209
30,181,209,110,0.8466989929130921,0.7779098018230033
31,175,206,119,0.854904886236479,0.7827826346585743
32,165,209,126,0.8638567698619918,0.7819823407143981
33,153,210,137,0.8720626631853786,0.7783072973733448
34,141,214,145,0.8810145468108914,0.7755671162026145
35,126,221,153,0.8881014546810891,0.7616837921662483
36,116,225,159,0.896680343155539,0.7571345270982294
37,110,226,164,0.9056322267810518,0.7635083975036129
38,103,226,171,0.9112271540469974,0.7619450795613288
39,100,221,179,0.9160760910108169,0.7663986700434067
40,95,213,192,0.9242819843342036,0.7723642377936004
41,92,208,200,0.9306229019022753,0.7818373591828968
42,87,200,213,0.938082804923536,0.7908796595956304
43,78,196,226,0.9451697127937336,0.7874992809709408
44,73,193,234,0.9477806788511749,0.7837891860602748
45,64,193,243,0.9559865721745617,0.7914585414585414
46,62,188,250,0.9612085042894443,0.8111921680470068
47,54,186,260,0.9682954121596419,0.8245919718141941
48,53,179,268,0.9701603879149571,0.8329763527876736
49,47,177,276,0.9746363297277135,0.8397402833573048
50,47,168,285,0.9746363297277135,0.8397402833573048
51,46,163,291,0.9768743006340918,0.8489448353578789
52,43,163,294,0.979485266691533,0.8552715372482814
53,39,161,300,0.9824692279000373,0.8707491226721996
54,37,159,304,0.9839612085042895,0.873970173970174
55,33,153,314,0.9880641551659829,0.8968251445524174
56,32,151,317,0.988810145468109,0.9011293394105894
57,29,149,322,0.990675121223424,0.902377698929423
58,28,145,327,0.9921671018276762,0.9150999793856937
59,26,142,332,0.9929130921298023,0.915989565989566
60,26,133,341,0.9929130921298023,0.915989565989566
61,25,127,348,0.9932860872808653,0.9183434343434344
62,24,123,353,0.9947780678851175,0.9288299663299663
63,24,121,355,0.9947780678851175,0.9288299663299663
