day,s,i,r,edgecount,suscedgecount
1,494,6,0,0.9892941176470588,1.0
2,492,7,1,0.9872941176470589,0.9989685524482029
3,484,14,2,0.9772941176470589,0.9937135512332964
4,476,22,2,0.9611764705882353,0.9851212993843711
5,461,37,2,0.9344705882352942,0.9700202813719908
6,440,56,4,0.904,0.9509491144127032
7,412,81,7,0.8728235294117647,0.9283360026468185
8,385,105,10,0.8444705882352941,0.9040165931281884
9,345,138,17,0.8258823529411765,0.8786854557917102
10,305,171,24,0.8028235294117647,0.8431087379397362
11,265,202,33,0.7896470588235294,0.8055923577269245
12,221,237,42,0.7756470588235295,0.7498034085266484
13,181,269,50,0.7954117647058824,0.7201529070217069
14,135,306,59,0.8338823529411765,0.6927233959748151
15,104,324,72,0.8668235294117647,0.680385040893306
16,78,332,90,0.8908235294117647,0.6488634986952416
17,52,346,102,0.922235294117647,0.6236676128824369
18,36,347,117,0.945764705882353,0.618934093490327
19,21,345,134,0.9681176470588235,0.6120320786063286
20,13,342,145,0.9804705882352941,0.616831178852444
21,7,328,165,0.9896470588235294,0.6228088134121078
22,4,321,175,0.9941176470588236,0.6238415365688665
23,2,313,185,0.9969411764705882,0.5969586744139526
24,2,304,194,0.9969411764705882,0.5969586744139526
25,1,288,211,0.9984705882352941,0.5969586744139526
26,1,277,222,0.9984705882352941,0.5969586744139526
27,1,266,233,0.9984705882352941,0.5969586744139526
28,1,260,239,0.9984705882352941,0.5969586744139526
29,1,248,251,0.9984705882352941,0.5969586744139526
30,1,234,265,0.9984705882352941,0.5969586744139526
31,1,226,273,0.9984705882352941,0.5969586744139526
32,1,214,285,0.9984705882352941,0.5969586744139526
33,1,205,294,0.9985882352941177,0.6283775520146869
34,1,197,302,0.9985882352941177,0.6283775520146869
35,0,190,310,1.0,
36,0,180,320,1.0,
37,0,173,327,1.0,
38,0,165,335,1.0,
39,0,158,342,1.0,
40,0,151,349,1.0,
41,0,148,352,1.0,
42,0,143,357,1.0,
43,0,139,361,1.0,
44,0,126,374,1.0,
45,0,122,378,1.0,
46,0,116,384,1.0,
47,0,106,394,1.0,
48,0,102,398,1.0,
49,0,100,400,1.0,
50,0,98,402,1.0,
51,0,96,404,1.0,
52,0,91,409,1.0,
53,0,89,411,1.0,
54,0,89,411,1.0,
55,0,85,415,1.0,
56,0,80,420,1.0,
57,0,75,425,1.0,
58,0,73,427,1.0,
59,0,70,430,1.0,
60,0,67,433,1.0,
61,0,65,435,1.0,
62,0,63,437,1.0,
63,0,60,440,1.0,
64,0,58,442,1.0,
65,0,56,444,1.0,
66,0,55,445,1.0,
67,0,54,446,1.0,
68,0,53,447,1.0,
69,0,49,451,1.0,
70,0,46,454,1.0,
71,0,45,455,1.0,
72,0,42,458,1.0,
73,0,41,459,1.0,
74,0,36,464,1.0,
75,0,33,467,1.0,
76,0,31,469,1.0,
77,0,28,472,1.0,
78,0,26,474,1.0,
79,0,25,475,1.0,
80,0,24,476,1.0,
81,0,21,479,1.0,
82,0,21,479,1.0,
83,0,19,481,1.0,
84,0,19,481,1.0,
85,0,19,481,1.0,
86,0,19,481,1.0,
87,0,18,482,1.0,
88,0,17,483,1.0,
89,0,16,484,1.0,
90,0,15,485,1.0,
91,0,15,485,1.0,
92,0,13,487,1.0,
93,0,13,487,1.0,
94,0,12,488,1.0,
95,0,12,488,1.0,
96,0,12,488,1.0,
97,0,12,488,1.0,
98,0,12,488,1.0,
99,0,11,489,1.0,
100,0,11,489,1.0,
101,0,10,490,1.0,
102,0,10,490,1.0,
103,0,10,490,1.0,
104,0,10,490,1.0,
105,0,9,491,1.0,
106,0,9,491,1.0,
107,0,8,492,1.0,
108,0,8,492,1.0,
109,0,8,492,1.0,
110,0,8,492,1.0,
111,0,8,492,1.0,
112,0,7,493,1.0,
113,0,7,493,1.0,
114,0,6,494,1.0,
115,0,6,494,1.0,
116,0,5,495,1.0,
117,0,5,495,1.0,
118,0,5,495,1.0,
119,0,5,495,1.0,
120,0,5,495,1.0,
121,0,5,495,1.0,
122,0,5,495,1.0,
123,0,4,496,1.0,
124,0,4,496,1.0,
125,0,4,496,1.0,
126,0,4,496,1.0,
127,0,3,497,1.0,
128,0,3,497,1.0,
129,0,3,497,1.0,
130,0,3,497,1.0,
131,0,3,497,1.0,
132,0,3,497,1.0,
133,0,2,498,1.0,
134,0,2,498,1.0,
135,0,2,498,1.0,
136,0,2,498,1.0,
137,0,2,498,1.0,
138,0,2,498,1.0,
139,0,2,498,1.0,
140,0,2,498,1.0,
141,0,1,499,1.0,
142,0,1,499,1.0,
143,0,1,499,1.0,
144,0,1,499,1.0,
145,0,1,499,1.0,
146,0,1,499,1.0,
147,0,1,499,1.0,
148,0,1,499,1.0,
149,0,1,499,1.0,
150,0,1,499,1.0,
151,0,1,499,1.0,
152,0,1,499,1.0,
153,0,1,499,1.0,
154,0,1,499,1.0,
155,0,1,499,1.0,
156,0,1,499,1.0,
157,0,1,499,1.0,
158,0,1,499,1.0,
159,0,1,499,1.0,
160,0,1,499,1.0,
161,0,1,499,1.0,
162,0,1,499,1.0,
163,0,1,499,1.0,
164,0,1,499,1.0,
165,0,1,499,1.0,
166,0,1,499,1.0,
167,0,1,499,1.0,
168,0,1,499,1.0,
169,0,1,499,1.0,
170,0,1,499,1.0,
171,0,1,499,1.0,
172,0,1,499,1.0,
173,0,1,499,1.0,
174,0,1,499,1.0,
175,0,1,499,1.0,
176,0,1,499,1.0,
177,0,1,499,1.0,
178,0,0,500,1.0,
179,0,0,500,1.0,
180,0,0,500,1.0,
181,0,0,500,1.0,
182,0,0,500,1.0,
183,0,0,500,1.0,
184,0,0,500,1.0,
185,0,0,500,1.0,
186,0,0,500,1.0,
187,0,0,500,1.0,
188,0,0,500,1.0,
189,0,0,500,1.0,
190,0,0,500,1.0,
191,0,0,500,1.0,
192,0,0,500,1.0,
193,0,0,500,1.0,
194,0,0,500,1.0,
195,0,0,500,1.0,
196,0,0,500,1.0,
197,0,0,500,1.0,
198,0,0,500,1.0,
199,0,0,500,1.0,
200,0,0,500,1.0,
1,496,4,0,0.9934117647058823,1.0
2,494,6,0,0.9896470588235294,0.9980444939261349
3,488,12,0,0.9775294117647059,0.9917522026449802
4,481,19,0,0.9656470588235294,0.9854434788293733
5,466,33,1,0.938,0.9700820390257086
6,444,53,3,0.9054117647058824,0.9501743735087844
7,416,76,8,0.863764705882353,0.9216073718655291
8,397,91,12,0.8441176470588235,0.9051648788710592
9,368,116,16,0.8198823529411765,0.8810605678409745
10,325,156,19,0.7750588235294118,0.8304651429005787
11,274,201,25,0.76,0.7840786246110162
12,222,239,39,0.7690588235294118,0.7425027821183958
13,181,268,51,0.7987058823529412,0.7243358359073184
14,143,300,57,0.8203529411764706,0.6884624782065529
15,108,319,73,0.8535294117647059,0.662522046164364
16,70,341,89,0.8985882352941177,0.6357598232000975
17,47,352,101,0.9298823529411765,0.6242709549252707
18,27,356,117,0.959764705882353,0.6231982373476221
19,18,348,134,0.9731764705882353,0.6221061970752036
20,8,340,152,0.988,0.6181583060157931
21,5,332,163,0.9927058823529412,0.6296824876454281
22,5,323,172,0.9924705882352941,0.6178786175185013
23,2,313,185,0.9970588235294118,0.6115108573331457
24,1,306,193,0.9984705882352941,0.6080781580538096
25,1,283,216,0.9987058823529412,0.6688859738591906
26,0,268,232,1.0,
27,0,257,243,1.0,
28,0,244,256,1.0,
29,0,238,262,1.0,
30,0,230,270,1.0,
31,0,220,280,1.0,
32,0,215,285,1.0,
33,0,208,292,1.0,
34,0,197,303,1.0,
35,0,191,309,1.0,
36,0,186,314,1.0,
37,0,176,324,1.0,
38,0,171,329,1.0,
39,0,167,333,1.0,
40,0,160,340,1.0,
41,0,153,347,1.0,
42,0,145,355,1.0,
43,0,142,358,1.0,
44,0,135,365,1.0,
45,0,129,371,1.0,
46,0,125,375,1.0,
47,0,119,381,1.0,
48,0,115,385,1.0,
49,0,110,390,1.0,
50,0,104,396,1.0,
51,0,98,402,1.0,
52,0,93,407,1.0,
53,0,90,410,1.0,
54,0,88,412,1.0,
55,0,84,416,1.0,
56,0,82,418,1.0,
57,0,78,422,1.0,
58,0,75,425,1.0,
59,0,73,427,1.0,
60,0,69,431,1.0,
61,0,66,434,1.0,
62,0,63,437,1.0,
63,0,59,441,1.0,
64,0,55,445,1.0,
65,0,53,447,1.0,
66,0,50,450,1.0,
67,0,47,453,1.0,
68,0,45,455,1.0,
69,0,44,456,1.0,
70,0,39,461,1.0,
71,0,37,463,1.0,
72,0,36,464,1.0,
73,0,35,465,1.0,
74,0,34,466,1.0,
75,0,33,467,1.0,
76,0,33,467,1.0,
77,0,31,469,1.0,
78,0,28,472,1.0,
79,0,27,473,1.0,
80,0,25,475,1.0,
81,0,25,475,1.0,
82,0,25,475,1.0,
83,0,24,476,1.0,
84,0,24,476,1.0,
85,0,24,476,1.0,
86,0,24,476,1.0,
87,0,22,478,1.0,
88,0,22,478,1.0,
89,0,20,480,1.0,
90,0,20,480,1.0,
91,0,19,481,1.0,
92,0,19,481,1.0,
93,0,19,481,1.0,
94,0,16,484,1.0,
95,0,16,484,1.0,
96,0,16,484,1.0,
97,0,16,484,1.0,
98,0,16,484,1.0,
99,0,16,484,1.0,
100,0,16,484,1.0,
101,0,16,484,1.0,
102,0,16,484,1.0,
103,0,15,485,1.0,
104,0,12,488,1.0,
105,0,12,488,1.0,
106,0,12,488,1.0,
107,0,11,489,1.0,
108,0,11,489,1.0,
109,0,11,489,1.0,
110,0,11,489,1.0,
111,0,11,489,1.0,
112,0,9,491,1.0,
113,0,9,491,1.0,
114,0,9,491,1.0,
115,0,9,491,1.0,
116,0,9,491,1.0,
117,0,8,492,1.0,
118,0,8,492,1.0,
119,0,7,493,1.0,
120,0,7,493,1.0,
121,0,6,494,1.0,
122,0,6,494,1.0,
123,0,5,495,1.0,
124,0,5,495,1.0,
125,0,5,495,1.0,
126,0,5,495,1.0,
127,0,5,495,1.0,
128,0,5,495,1.0,
129,0,4,496,1.0,
130,0,4,496,1.0,
131,0,4,496,1.0,
132,0,4,496,1.0,
133,0,4,496,1.0,
134,0,4,496,1.0,
135,0,4,496,1.0,
136,0,4,496,1.0,
137,0,4,496,1.0,
138,0,4,496,1.0,
139,0,4,496,1.0,
140,0,4,496,1.0,
141,0,4,496,1.0,
142,0,4,496,1.0,
143,0,3,497,1.0,
144,0,3,497,1.0,
145,0,3,497,1.0,
146,0,2,498,1.0,
147,0,2,498,1.0,
148,0,2,498,1.0,
149,0,2,498,1.0,
150,0,2,498,1.0,
151,0,2,498,1.0,
152,0,2,498,1.0,
153,0,2,498,1.0,
154,0,2,498,1.0,
155,0,2,498,1.0,
156,0,2,498,1.0,
157,0,2,498,1.0,
158,0,2,498,1.0,
159,0,2,498,1.0,
160,0,2,498,1.0,
161,0,2,498,1.0,
162,0,2,498,1.0,
163,0,2,498,1.0,
164,0,2,498,1.0,
165,0,1,499,1.0,
166,0,1,499,1.0,
167,0,1,499,1.0,
168,0,1,499,1.0,
169,0,1,499,1.0,
170,0,1,499,1.0,
171,0,1,499,1.0,
172,0,1,499,1.0,
173,0,1,499,1.0,
174,0,1,499,1.0,
175,0,1,499,1.0,
176,0,1,499,1.0,
177,0,1,499,1.0,
178,0,1,499,1.0,
179,0,1,499,1.0,
180,0,1,499,1.0,
181,0,1,499,1.0,
182,0,1,499,1.0,
183,0,1,499,1.0,
184,0,1,499,1.0,
185,0,1,499,1.0,
186,0,1,499,1.0,
187,0,1,499,1.0,
188,0,1,499,1.0,
189,0,1,499,1.0,
190,0,1,499,1.0,
191,0,1,499,1.0,
192,0,1,499,1.0,
193,0,1,499,1.0,
194,0,1,499,1.0,
195,0,1,499,1.0,
196,0,1,499,1.0,
197,0,1,499,1.0,
198,0,1,499,1.0,
199,0,1,499,1.0,
200,0,1,499,1.0,
1,496,3,1,0.9950588235294118,1.0
2,492,7,1,0.9874117647058823,0.9960934949193582
3,489,9,2,0.9836470588235294,0.9941402386865578
4,485,13,2,0.9790588235294118,0.9916963321179322
5,476,22,2,0.9648235294117647,0.9840977248455699
6,457,37,6,0.9383529411764706,0.9688335099761047
7,440,54,6,0.904235294117647,0.9480992683711088
8,419,72,9,0.8738823529411764,0.9269369702701868
9,394,93,13,0.8482352941176471,0.9059142099403866
10,357,123,20,0.7968235294117647,0.8595199123251235
11,322,153,25,0.762235294117647,0.816924047610477
12,271,192,37,0.7468235294117647,0.7675295066370236
13,236,223,41,0.7485882352941177,0.7341473378532861
14,186,257,57,0.7783529411764706,0.7029945286941411
15,146,283,71,0.8007058823529412,0.6589416966005971
16,98,319,83,0.8545882352941176,0.6267453310912638
17,79,325,96,0.8838823529411765,0.6302728704364052
18,50,344,106,0.9244705882352942,0.6159859713538501
19,29,354,117,0.9565882352941176,0.6185421932216063
20,19,346,135,0.971764705882353,0.616196677410256
21,8,337,155,0.988,0.610609355727294
22,7,326,167,0.9894117647058823,0.6065696301073158
23,7,316,177,0.9895294117647059,0.6111893268461146
24,4,307,189,0.9941176470588236,0.6111889408420421
25,3,289,208,0.995764705882353,0.6272915296167216
26,3,275,222,0.996,0.6485132615105782
27,2,267,231,0.9974117647058823,0.6594967071660807
28,2,260,238,0.9975294117647059,0.6756656457518762
29,1,245,254,0.9984705882352941,0.607560116557162
30,1,234,265,0.9985882352941177,0.63793812238502
31,1,227,272,0.9985882352941177,0.63793812238502
32,0,220,280,1.0,
33,0,211,289,1.0,
34,0,205,295,1.0,
35,0,201,299,1.0,
36,0,193,307,1.0,
37,0,188,312,1.0,
38,0,183,317,1.0,
39,0,176,324,1.0,
40,0,171,329,1.0,
41,0,162,338,1.0,
42,0,158,342,1.0,
43,0,153,347,1.0,
44,0,147,353,1.0,
45,0,139,361,1.0,
46,0,136,364,1.0,
47,0,130,370,1.0,
48,0,126,374,1.0,
49,0,120,380,1.0,
50,0,116,384,1.0,
51,0,110,390,1.0,
52,0,105,395,1.0,
53,0,100,400,1.0,
54,0,96,404,1.0,
55,0,95,405,1.0,
56,0,90,410,1.0,
57,0,87,413,1.0,
58,0,85,415,1.0,
59,0,82,418,1.0,
60,0,80,420,1.0,
61,0,79,421,1.0,
62,0,76,424,1.0,
63,0,73,427,1.0,
64,0,71,429,1.0,
65,0,68,432,1.0,
66,0,63,437,1.0,
67,0,61,439,1.0,
68,0,59,441,1.0,
69,0,58,442,1.0,
70,0,54,446,1.0,
71,0,50,450,1.0,
72,0,50,450,1.0,
73,0,49,451,1.0,
74,0,48,452,1.0,
75,0,45,455,1.0,
76,0,44,456,1.0,
77,0,43,457,1.0,
78,0,43,457,1.0,
79,0,43,457,1.0,
80,0,42,458,1.0,
81,0,42,458,1.0,
82,0,42,458,1.0,
83,0,41,459,1.0,
84,0,41,459,1.0,
85,0,39,461,1.0,
86,0,37,463,1.0,
87,0,34,466,1.0,
88,0,32,468,1.0,
89,0,32,468,1.0,
90,0,30,470,1.0,
91,0,28,472,1.0,
92,0,26,474,1.0,
93,0,25,475,1.0,
94,0,24,476,1.0,
95,0,23,477,1.0,
96,0,22,478,1.0,
97,0,20,480,1.0,
98,0,18,482,1.0,
99,0,17,483,1.0,
100,0,16,484,1.0,
101,0,15,485,1.0,
102,0,12,488,1.0,
103,0,11,489,1.0,
104,0,10,490,1.0,
105,0,10,490,1.0,
106,0,8,492,1.0,
107,0,8,492,1.0,
108,0,7,493,1.0,
109,0,7,493,1.0,
110,0,6,494,1.0,
111,0,6,494,1.0,
112,0,6,494,1.0,
113,0,6,494,1.0,
114,0,5,495,1.0,
115,0,5,495,1.0,
116,0,5,495,1.0,
117,0,5,495,1.0,
118,0,5,495,1.0,
119,0,5,495,1.0,
120,0,5,495,1.0,
121,0,5,495,1.0,
122,0,5,495,1.0,
123,0,5,495,1.0,
124,0,5,495,1.0,
125,0,5,495,1.0,
126,0,5,495,1.0,
127,0,4,496,1.0,
128,0,4,496,1.0,
129,0,4,496,1.0,
130,0,4,496,1.0,
131,0,3,497,1.0,
132,0,3,497,1.0,
133,0,3,497,1.0,
134,0,3,497,1.0,
135,0,3,497,1.0,
136,0,3,497,1.0,
137,0,3,497,1.0,
138,0,3,497,1.0,
139,0,3,497,1.0,
140,0,3,497,1.0,
141,0,3,497,1.0,
142,0,3,497,1.0,
143,0,3,497,1.0,
144,0,3,497,1.0,
145,0,3,497,1.0,
146,0,3,497,1.0,
147,0,3,497,1.0,
148,0,3,497,1.0,
149,0,3,497,1.0,
150,0,2,498,1.0,
151,0,2,498,1.0,
152,0,2,498,1.0,
153,0,2,498,1.0,
154,0,2,498,1.0,
155,0,2,498,1.0,
156,0,2,498,1.0,
157,0,2,498,1.0,
158,0,2,498,1.0,
159,0,0,500,1.0,
160,0,0,500,1.0,
161,0,0,500,1.0,
162,0,0,500,1.0,
163,0,0,500,1.0,
164,0,0,500,1.0,
165,0,0,500,1.0,
166,0,0,500,1.0,
167,0,0,500,1.0,
168,0,0,500,1.0,
169,0,0,500,1.0,
170,0,0,500,1.0,
171,0,0,500,1.0,
172,0,0,500,1.0,
173,0,0,500,1.0,
174,0,0,500,1.0,
175,0,0,500,1.0,
176,0,0,500,1.0,
177,0,0,500,1.0,
178,0,0,500,1.0,
179,0,0,500,1.0,
180,0,0,500,1.0,
181,0,0,500,1.0,
182,0,0,500,1.0,
183,0,0,500,1.0,
184,0,0,500,1.0,
185,0,0,500,1.0,
186,0,0,500,1.0,
187,0,0,500,1.0,
188,0,0,500,1.0,
189,0,0,500,1.0,
190,0,0,500,1.0,
191,0,0,500,1.0,
192,0,0,500,1.0,
193,0,0,500,1.0,
194,0,0,500,1.0,
195,0,0,500,1.0,
196,0,0,500,1.0,
197,0,0,500,1.0,
198,0,0,500,1.0,
199,0,0,500,1.0,
200,0,0,500,1.0,
1,497,3,0,0.9962352941176471,1.0
2,495,5,0,0.992,0.9979002921657133
3,489,11,0,0.9803529411764705,0.9919029868999565
4,479,21,0,0.9612941176470589,0.9818125447592068
5,466,32,2,0.9471764705882353,0.9737101761247232
6,455,43,2,0.9251764705882353,0.960853741989819
7,431,64,5,0.8947058823529411,0.940999991651412
8,391,98,11,0.8474117647058823,0.9041054784093314
9,354,125,21,0.8178823529411765,0.8730998487672657
10,314,164,22,0.788235294117647,0.8330538737897637
11,266,205,29,0.7685882352941177,0.7840481253494083
12,222,239,39,0.7829411764705883,0.7567204706793609
13,170,277,53,0.8031764705882353,0.7109967225095657
14,125,308,67,0.8369411764705882,0.6751649504076953
15,91,328,81,0.8823529411764706,0.6769123574249625
16,63,351,86,0.9165882352941176,0.6680998399126741
17,46,349,105,0.9395294117647058,0.6709139201677523
18,30,349,121,0.9584705882352941,0.6545133220913635
19,23,338,139,0.9663529411764706,0.6323034893482311
20,15,334,151,0.9775294117647059,0.6212700130856019
21,10,330,160,0.9849411764705882,0.6227035746557471
22,10,318,172,0.9850588235294118,0.6257396048573807
23,7,306,187,0.9894117647058823,0.6197476965530191
24,6,296,198,0.9909411764705882,0.6135592736950585
25,4,292,204,0.9938823529411764,0.6039411916723593
26,3,277,220,0.9954117647058823,0.6028529087875826
27,3,265,232,0.9954117647058823,0.6028529087875826
28,3,256,241,0.9955294117647059,0.6132892626056976
29,2,250,248,0.9969411764705882,0.6068432793650971
30,0,243,257,1.0,
31,0,235,265,1.0,
32,0,225,275,1.0,
33,0,211,289,1.0,
34,0,200,300,1.0,
35,0,192,308,1.0,
36,0,185,315,1.0,
37,0,180,320,1.0,
38,0,175,325,1.0,
39,0,171,329,1.0,
40,0,166,334,1.0,
41,0,159,341,1.0,
42,0,151,349,1.0,
43,0,143,357,1.0,
44,0,129,371,1.0,
45,0,126,374,1.0,
46,0,121,379,1.0,
47,0,120,380,1.0,
48,0,118,382,1.0,
49,0,112,388,1.0,
50,0,109,391,1.0,
51,0,105,395,1.0,
52,0,102,398,1.0,
53,0,100,400,1.0,
54,0,99,401,1.0,
55,0,97,403,1.0,
56,0,95,405,1.0,
57,0,91,409,1.0,
58,0,89,411,1.0,
59,0,84,416,1.0,
60,0,83,417,1.0,
61,0,82,418,1.0,
62,0,79,421,1.0,
63,0,75,425,1.0,
64,0,72,428,1.0,
65,0,68,432,1.0,
66,0,66,434,1.0,
67,0,65,435,1.0,
68,0,64,436,1.0,
69,0,61,439,1.0,
70,0,58,442,1.0,
71,0,55,445,1.0,
72,0,54,446,1.0,
73,0,52,448,1.0,
74,0,48,452,1.0,
75,0,48,452,1.0,
76,0,45,455,1.0,
77,0,45,455,1.0,
78,0,43,457,1.0,
79,0,41,459,1.0,
80,0,39,461,1.0,
81,0,38,462,1.0,
82,0,36,464,1.0,
83,0,34,466,1.0,
84,0,33,467,1.0,
85,0,29,471,1.0,
86,0,27,473,1.0,
87,0,27,473,1.0,
88,0,26,474,1.0,
89,0,25,475,1.0,
90,0,24,476,1.0,
91,0,23,477,1.0,
92,0,22,478,1.0,
93,0,21,479,1.0,
94,0,21,479,1.0,
95,0,18,482,1.0,
96,0,17,483,1.0,
97,0,17,483,1.0,
98,0,17,483,1.0,
99,0,16,484,1.0,
100,0,15,485,1.0,
101,0,14,486,1.0,
102,0,14,486,1.0,
103,0,14,486,1.0,
104,0,14,486,1.0,
105,0,14,486,1.0,
106,0,14,486,1.0,
107,0,14,486,1.0,
108,0,14,486,1.0,
109,0,14,486,1.0,
110,0,14,486,1.0,
111,0,14,486,1.0,
112,0,12,488,1.0,
113,0,10,490,1.0,
114,0,10,490,1.0,
115,0,10,490,1.0,
116,0,9,491,1.0,
117,0,8,492,1.0,
118,0,8,492,1.0,
119,0,8,492,1.0,
120,0,8,492,1.0,
121,0,8,492,1.0,
122,0,8,492,1.0,
123,0,5,495,1.0,
124,0,5,495,1.0,
125,0,5,495,1.0,
126,0,5,495,1.0,
127,0,5,495,1.0,
128,0,4,496,1.0,
129,0,4,496,1.0,
130,0,4,496,1.0,
131,0,4,496,1.0,
132,0,4,496,1.0,
133,0,4,496,1.0,
134,0,4,496,1.0,
