day_lags,m
4,5
13,5
7,5
8,5
8,5
11,5
10,5
5,5
6,5
11,5
10,5
3,5
7,5
9,5
8,5
7,5
10,5
15,5
10,5
8,5
12,5
12,5
6,5
7,5
17,5
11,5
4,5
4,5
13,5
6,5
13,5
7,5
12,5
7,5
0,5
8,5
11,5
0,5
8,5
13,5
7,5
7,5
10,5
8,5
5,5
0,5
9,5
7,5
9,5
3,5
13,5
6,5
6,5
13,5
0,5
9,5
12,5
9,5
0,5
0,5
8,5
7,5
6,5
12,5
10,5
12,5
10,5
8,5
16,5
10,5
15,5
8,5
4,5
4,5
6,5
12,5
8,5
5,5
12,5
9,5
16,5
3,5
14,5
9,5
11,5
7,5
15,5
9,5
10,5
7,5
24,5
2,5
12,5
10,5
0,5
13,5
9,5
10,5
3,5
6,5
1,6
14,6
6,6
8,6
9,6
12,6
13,6
7,6
6,6
6,6
9,6
11,6
14,6
7,6
1,6
13,6
7,6
11,6
11,6
5,6
7,6
7,6
9,6
5,6
8,6
11,6
14,6
4,6
13,6
7,6
0,6
9,6
9,6
7,6
12,6
3,6
15,6
16,6
5,6
0,6
4,6
8,6
8,6
12,6
18,6
15,6
0,6
11,6
5,6
6,6
6,6
0,6
8,6
8,6
6,6
9,6
6,6
3,6
15,6
9,6
11,6
2,6
6,6
14,6
9,6
13,6
13,6
7,6
9,6
9,6
4,6
12,6
11,6
4,6
4,6
8,6
9,6
8,6
7,6
6,6
10,6
4,6
6,6
9,6
11,6
11,6
15,6
12,6
10,6
0,6
9,6
7,6
10,6
6,6
0,6
9,6
6,6
6,6
0,6
6,6
10,7
8,7
9,7
9,7
6,7
10,7
7,7
7,7
13,7
4,7
11,7
5,7
7,7
9,7
0,7
8,7
12,7
7,7
10,7
6,7
10,7
9,7
8,7
9,7
12,7
11,7
6,7
7,7
0,7
8,7
6,7
14,7
11,7
7,7
8,7
12,7
4,7
11,7
10,7
12,7
11,7
7,7
6,7
7,7
9,7
6,7
0,7
9,7
7,7
6,7
0,7
6,7
12,7
7,7
10,7
5,7
7,7
0,7
11,7
7,7
0,7
9,7
10,7
6,7
13,7
8,7
7,7
7,7
5,7
8,7
5,7
9,7
9,7
9,7
10,7
7,7
7,7
6,7
9,7
12,7
4,7
11,7
4,7
11,7
6,7
7,7
4,7
7,7
7,7
8,7
8,7
9,7
15,7
10,7
9,7
12,7
10,7
0,7
7,7
5,7
7,8
9,8
8,8
5,8
4,8
4,8
7,8
7,8
6,8
7,8
10,8
10,8
8,8
10,8
4,8
0,8
8,8
11,8
9,8
9,8
5,8
0,8
5,8
7,8
11,8
0,8
9,8
6,8
9,8
0,8
6,8
7,8
8,8
6,8
6,8
9,8
7,8
9,8
9,8
0,8
4,8
6,8
6,8
5,8
6,8
9,8
6,8
12,8
14,8
10,8
0,8
8,8
6,8
7,8
6,8
7,8
12,8
0,8
9,8
9,8
7,8
9,8
6,8
0,8
7,8
10,8
3,8
6,8
7,8
7,8
7,8
0,8
9,8
13,8
10,8
10,8
6,8
10,8
7,8
6,8
12,8
9,8
0,8
6,8
6,8
9,8
10,8
5,8
8,8
5,8
9,8
11,8
3,8
10,8
9,8
0,8
8,8
0,8
11,8
0,8
6,9
7,9
0,9
8,9
6,9
9,9
2,9
8,9
6,9
7,9
12,9
7,9
6,9
6,9
7,9
8,9
7,9
7,9
7,9
8,9
6,9
12,9
10,9
5,9
7,9
7,9
7,9
8,9
8,9
4,9
7,9
4,9
11,9
13,9
9,9
5,9
8,9
5,9
7,9
9,9
5,9
6,9
9,9
10,9
8,9
7,9
3,9
0,9
6,9
9,9
6,9
8,9
12,9
6,9
9,9
9,9
6,9
3,9
6,9
7,9
4,9
12,9
8,9
6,9
11,9
3,9
8,9
5,9
4,9
8,9
6,9
5,9
7,9
11,9
8,9
8,9
5,9
9,9
4,9
8,9
7,9
10,9
9,9
7,9
7,9
5,9
8,9
12,9
7,9
11,9
10,9
11,9
8,9
6,9
7,9
4,9
10,9
6,9
11,9
8,9
8,10
8,10
6,10
5,10
7,10
8,10
