day_lags,m
13,5
8,5
6,5
10,5
7,5
6,5
0,5
8,5
9,5
11,5
4,5
13,5
3,5
5,5
9,5
7,5
12,5
6,5
0,5
7,5
9,5
8,5
10,5
8,5
6,5
8,5
0,5
8,5
10,5
7,5
7,5
12,5
7,5
9,5
6,5
10,5
11,5
0,5
8,5
11,5
0,5
9,5
10,5
13,5
5,5
7,5
8,5
10,5
10,5
7,5
9,6
8,6
8,6
6,6
11,6
5,6
0,6
6,6
5,6
7,6
7,6
8,6
7,6
5,6
10,6
0,6
4,6
8,6
11,6
6,6
8,6
9,6
4,6
12,6
9,6
7,6
0,6
0,6
6,6
4,6
9,6
0,6
6,6
7,6
5,6
12,6
7,6
8,6
0,6
9,6
11,6
0,6
4,6
5,6
9,6
6,6
5,6
8,6
7,6
10,6
6,7
7,7
10,7
0,7
11,7
9,7
10,7
12,7
11,7
8,7
0,7
9,7
8,7
6,7
7,7
9,7
5,7
12,7
10,7
7,7
9,7
6,7
5,7
8,7
5,7
4,7
9,7
5,7
7,7
8,7
5,7
8,7
8,7
10,7
9,7
7,7
6,7
10,7
5,7
7,7
10,7
13,7
6,7
7,7
12,7
6,7
6,7
8,7
6,7
4,7
10,8
7,8
0,8
10,8
5,8
4,8
6,8
6,8
7,8
6,8
7,8
8,8
6,8
9,8
8,8
7,8
8,8
0,8
8,8
9,8
0,8
9,8
10,8
5,8
6,8
9,8
11,8
7,8
0,8
8,8
6,8
7,8
8,8
6,8
7,8
5,8
10,8
7,8
8,8
8,8
6,8
7,8
7,8
4,8
6,8
5,8
12,8
6,8
6,8
9,8
8,9
9,9
5,9
6,9
7,9
9,9
7,9
10,9
9,9
7,9
9,9
11,9
10,9
7,9
5,9
5,9
6,9
11,9
7,9
8,9
5,9
6,9
9,9
8,9
7,9
7,9
8,9
6,9
7,9
10,9
8,9
8,9
6,9
8,9
6,9
9,9
5,9
12,9
13,9
4,9
6,9
8,9
8,9
9,9
7,9
7,9
8,9
8,9
7,9
0,9
