day_lags,ped
"[0, 0, 0, 0, 0, 7, 49, 0, 0, 0, 0, 0, 31, 0, 0, 22, 0, 0, 0, 0]",0.001
"[0, 70, 0, 12, 9, 0, 0, 24, 0, 1, 0, 15, 100, 68, 3, 0, 5, 49, 0, 3]",0.002
"[11, 0, 39, 0, 94, 0, 0, 0, 0, 0, 22, 11, 0, 66, 18, 15, 0, 52, 0, 0]",0.003
"[0, 7, 126, 20, 0, 30, 0, 0, 0, 60, 1, 26, 43, 3, 49, 0, 0, 0, 0, 0]",0.004
"[0, 125, 78, 0, 0, 127, 35, 0, 0, 0, 0, 13, 0, 77, 37, 0, 0, 0, 44, 126]",0.005
"[30, 132, 97, 145, 0, 94, 117, 26, 0, 105, 93, 0, 99, 117, 1, 123, 61, 103, 12, 74]",0.006
"[81, 0, 0, 0, 12, 0, 107, 0, 0, 97, 104, 67, 14, 0, 0, 46, 120, 103, 101, 90]",0.007
"[93, 0, 96, 122, 81, 100, 0, 0, 4, 31, 96, 98, 53, 24, 0, 118, 87, 82, 0, 33]",0.008
"[15, 5, 12, 8, 23, 21, 0, 6, 50, 4, 22, 0, 24, 13, 18, 3, 5, 9, 1, 11]",0.009
"[15, 27, 0, 14, 0, 18, 0, 22, 0, 9, 16, 15, 0, 10, 0, 0, 20, 9, 3, 5]",0.01
"[15, 6, 17, 0, 10, 7, 16, 21, 15, 18, 15, 16, 14, 0, 20, 6, 11, 20, 4, 25]",0.011
"[14, 19, 17, 14, 11, 25, 8, 15, 12, 8, 18, 0, 9, 14, 0, 9, 0, 9, 10, 2]",0.012
"[14, 11, 14, 8, 17, 13, 17, 5, 10, 19, 17, 19, 19, 15, 10, 9, 12, 12, 9, 8]",0.013
"[11, 6, 3, 9, 0, 0, 3, 15, 11, 7, 0, 4, 13, 6, 0, 6, 0, 0, 15, 0]",0.014
"[12, 16, 10, 19, 7, 15, 14, 17, 13, 21, 0, 13, 5, 8, 0, 4, 3, 14, 12, 14]",0.015
"[12, 6, 0, 7, 15, 9, 9, 6, 12, 15, 6, 10, 9, 11, 10, 0, 8, 15, 12, 10]",0.016
"[12, 5, 9, 12, 7, 9, 12, 13, 8, 0, 9, 9, 10, 11, 9, 10, 4, 0, 8, 15]",0.017
"[8, 11, 13, 0, 0, 9, 9, 9, 0, 4, 11, 11, 6, 12, 12, 7, 16, 7, 0, 10]",0.018
"[9, 0, 9, 10, 0, 16, 14, 11, 12, 5, 0, 7, 13, 5, 9, 0, 12, 6, 21, 9]",0.019
"[9, 6, 11, 14, 5, 17, 9, 5, 4, 18, 11, 6, 9, 15, 12, 17, 9, 10, 7, 13]",0.02
"[11, 12, 6, 10, 8, 9, 8, 12, 10, 9, 10, 4, 9, 2, 7, 8, 8, 9, 12, 10]",0.021
"[8, 12, 13, 11, 12, 6, 13, 14, 14, 0, 10, 6, 17, 13, 10, 11, 10, 4, 10, 7]",0.022
"[13, 0, 5, 12, 12, 8, 11, 0, 7, 13, 5, 11, 12, 6, 17, 12, 8, 19, 12, 12]",0.023
"[9, 6, 10, 10, 10, 13, 7, 5, 12, 6, 19, 6, 9, 13, 13, 7, 11, 11, 11, 8]",0.024
"[0, 10, 7, 8, 12, 7, 14, 4, 20, 10, 8, 7, 10, 11, 10, 10, 9, 10, 9, 8]",0.025
"[9, 10, 6, 4, 13, 9, 10, 12, 6, 9, 10, 17, 8, 11, 9, 7, 11, 10, 13, 13]",0.026
"[12, 8, 10, 0, 14, 10, 8, 12, 10, 10, 5, 0, 12, 11, 10, 9, 9, 9, 7, 9]",0.027
"[4, 16, 9, 9, 7, 11, 6, 6, 14, 11, 10, 7, 14, 12, 10, 12, 9, 9, 9, 12]",0.028
"[6, 8, 12, 11, 13, 4, 8, 6, 9, 7, 8, 8, 5, 8, 8, 7, 8, 12, 9, 14]",0.029
"[8, 8, 9, 12, 7, 7, 8, 8, 8, 12, 12, 12, 8, 12, 11, 9, 8, 13, 11, 11]",0.03
"[10, 7, 9, 11, 8, 8, 9, 6, 9, 10, 13, 6, 8, 9, 8, 10, 9, 9, 7, 9]",0.031
"[6, 10, 7, 11, 9, 9, 9, 7, 7, 7, 7, 13, 9, 8, 8, 12, 11, 9, 7, 6]",0.032
"[8, 0, 6, 7, 10, 8, 0, 6, 10, 7, 6, 10, 10, 9, 6, 9, 0, 3, 10, 9]",0.033
"[11, 5, 9, 11, 6, 7, 11, 7, 9, 10, 12, 7, 8, 8, 7, 7, 7, 12, 7, 8]",0.034
"[8, 4, 12, 10, 7, 8, 10, 7, 6, 7, 8, 11, 10, 10, 9, 9, 11, 9, 11, 10]",0.035
"[7, 6, 8, 7, 11, 12, 8, 7, 7, 10, 10, 7, 9, 0, 9, 11, 7, 7, 13, 9]",0.036
"[11, 7, 9, 4, 8, 12, 12, 10, 9, 6, 7, 11, 11, 8, 5, 6, 8, 7, 7, 5]",0.037
"[14, 10, 11, 9, 6, 7, 11, 8, 0, 8, 7, 7, 11, 11, 8, 5, 10, 8, 7, 10]",0.038
"[10, 11, 9, 8, 10, 9, 9, 8, 7, 5, 8, 9, 9, 7, 8, 8, 9, 8, 8, 9]",0.039
"[9, 8, 9, 9, 9, 9, 9, 7, 9, 7, 8, 8, 6, 10, 7, 13, 10, 10, 8, 7]",0.04
"[8, 7, 7, 5, 10, 12, 9, 10, 7, 5, 8, 8, 7, 15, 9, 7, 9, 9, 6, 9]",0.041
"[7, 8, 6, 8, 8, 10, 6, 12, 6, 8, 9, 6, 7, 7, 6, 9, 7, 9, 9, 7]",0.042
"[8, 9, 12, 7, 7, 7, 8, 11, 9, 8, 7, 7, 12, 8, 11, 6, 10, 10, 9, 8]",0.043
"[9, 7, 8, 5, 7, 8, 10, 9, 6, 11, 6, 8, 8, 8, 8, 0, 7, 9, 8, 7]",0.044
