day_lags,ped
11,0.001
10,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
30,0.001
56,0.001
0,0.001
0,0.001
0,0.001
22,0.001
0,0.001
39,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
22,0.001
30,0.001
0,0.001
0,0.001
0,0.001
0,0.001
10,0.001
1,0.001
12,0.001
0,0.001
0,0.001
0,0.001
8,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
34,0.001
0,0.001
19,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
36,0.002
4,0.002
0,0.002
18,0.002
21,0.002
0,0.002
0,0.002
0,0.002
1,0.002
0,0.002
0,0.002
0,0.002
10,0.002
32,0.002
45,0.002
0,0.002
2,0.002
65,0.002
12,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
4,0.002
0,0.002
0,0.002
0,0.002
0,0.002
15,0.002
0,0.002
17,0.002
8,0.002
0,0.002
0,0.002
33,0.002
64,0.003
0,0.003
13,0.003
0,0.003
15,0.003
0,0.003
2,0.003
35,0.003
12,0.003
72,0.003
0,0.003
0,0.003
0,0.003
0,0.003
10,0.003
29,0.003
0,0.003
9,0.003
13,0.003
27,0.003
32,0.003
3,0.003
17,0.003
0,0.003
2,0.003
0,0.003
8,0.003
0,0.003
0,0.003
0,0.003
0,0.003
100,0.003
33,0.003
0,0.003
0,0.003
26,0.003
13,0.003
34,0.003
0,0.003
16,0.003
0,0.003
0,0.003
0,0.003
0,0.003
63,0.003
0,0.003
112,0.003
0,0.003
9,0.003
0,0.003
29,0.004
0,0.004
82,0.004
29,0.004
0,0.004
73,0.004
0,0.004
46,0.004
141,0.004
119,0.004
0,0.004
115,0.004
16,0.004
0,0.004
2,0.004
0,0.004
0,0.004
0,0.004
133,0.004
4,0.004
0,0.004
0,0.004
74,0.004
18,0.004
77,0.004
66,0.004
5,0.004
30,0.004
0,0.004
124,0.004
99,0.004
22,0.004
5,0.004
94,0.004
113,0.004
73,0.004
6,0.004
0,0.004
0,0.004
140,0.004
0,0.004
27,0.004
0,0.004
112,0.004
85,0.004
19,0.004
57,0.004
0,0.004
178,0.004
0,0.004
1,0.005
0,0.005
0,0.005
13,0.005
0,0.005
131,0.005
0,0.005
0,0.005
108,0.005
24,0.005
0,0.005
0,0.005
5,0.005
112,0.005
111,0.005
29,0.005
59,0.005
76,0.005
28,0.005
0,0.005
6,0.005
0,0.005
47,0.005
32,0.005
86,0.005
17,0.005
0,0.005
0,0.005
0,0.005
104,0.005
83,0.005
77,0.005
31,0.005
91,0.005
10,0.005
0,0.005
0,0.005
22,0.005
0,0.005
0,0.005
0,0.005
91,0.005
0,0.005
110,0.005
0,0.005
8,0.005
0,0.005
78,0.005
0,0.005
133,0.005
71,0.006
0,0.006
106,0.006
0,0.006
89,0.006
104,0.006
6,0.006
0,0.006
86,0.006
122,0.006
93,0.006
103,0.006
0,0.006
14,0.006
6,0.006
60,0.006
17,0.006
111,0.006
84,0.006
131,0.006
52,0.006
98,0.006
112,0.006
21,0.006
97,0.006
87,0.006
0,0.006
87,0.006
113,0.006
1,0.006
42,0.006
95,0.006
0,0.006
104,0.006
6,0.006
0,0.006
0,0.006
0,0.006
101,0.006
18,0.006
114,0.006
31,0.006
159,0.006
68,0.006
0,0.006
0,0.006
109,0.006
2,0.006
44,0.006
106,0.006
82,0.007
109,0.007
25,0.007
0,0.007
96,0.007
0,0.007
59,0.007
124,0.007
74,0.007
120,0.007
134,0.007
80,0.007
0,0.007
99,0.007
0,0.007
0,0.007
83,0.007
135,0.007
109,0.007
104,0.007
0,0.007
0,0.007
0,0.007
73,0.007
76,0.007
105,0.007
121,0.007
82,0.007
78,0.007
34,0.007
110,0.007
93,0.007
0,0.007
84,0.007
46,0.007
0,0.007
0,0.007
104,0.007
101,0.007
2,0.007
0,0.007
0,0.007
86,0.007
7,0.007
0,0.007
87,0.007
86,0.007
35,0.007
0,0.007
0,0.007
0,0.008
15,0.008
100,0.008
0,0.008
51,0.008
86,0.008
131,0.008
115,0.008
0,0.008
0,0.008
0,0.008
106,0.008
43,0.008
133,0.008
85,0.008
139,0.008
104,0.008
54,0.008
136,0.008
117,0.008
94,0.008
119,0.008
0,0.008
139,0.008
36,0.008
106,0.008
70,0.008
38,0.008
75,0.008
135,0.008
139,0.008
72,0.008
99,0.008
118,0.008
105,0.008
77,0.008
62,0.008
84,0.008
52,0.008
4,0.008
104,0.008
0,0.008
80,0.008
104,0.008
56,0.008
119,0.008
90,0.008
27,0.008
116,0.008
3,0.008
16,0.009
33,0.009
3,0.009
12,0.009
19,0.009
34,0.009
6,0.009
10,0.009
4,0.009
13,0.009
0,0.009
12,0.009
0,0.009
0,0.009
28,0.009
19,0.009
13,0.009
0,0.009
1,0.009
32,0.009
0,0.009
19,0.009
24,0.009
3,0.009
0,0.009
1,0.009
0,0.009
26,0.009
30,0.009
12,0.009
11,0.009
24,0.009
0,0.009
1,0.009
0,0.009
4,0.009
16,0.009
13,0.009
15,0.009
0,0.009
6,0.009
0,0.009
15,0.009
5,0.009
31,0.009
10,0.009
9,0.009
31,0.009
8,0.009
21,0.009
0,0.01
0,0.01
3,0.01
9,0.01
7,0.01
0,0.01
15,0.01
3,0.01
24,0.01
21,0.01
6,0.01
3,0.01
18,0.01
8,0.01
14,0.01
25,0.01
16,0.01
20,0.01
10,0.01
8,0.01
0,0.01
10,0.01
17,0.01
14,0.01
13,0.01
16,0.01
2,0.01
11,0.01
16,0.01
13,0.01
0,0.01
0,0.01
14,0.01
14,0.01
22,0.01
0,0.01
8,0.01
0,0.01
11,0.01
8,0.01
11,0.01
16,0.01
9,0.01
26,0.01
18,0.01
13,0.01
5,0.01
17,0.01
13,0.01
6,0.01
13,0.011
0,0.011
16,0.011
4,0.011
12,0.011
0,0.011
0,0.011
3,0.011
0,0.011
9,0.011
11,0.011
3,0.011
20,0.011
11,0.011
10,0.011
11,0.011
11,0.011
14,0.011
0,0.011
11,0.011
9,0.011
7,0.011
14,0.011
14,0.011
13,0.011
0,0.011
6,0.011
25,0.011
13,0.011
22,0.011
0,0.011
0,0.011
3,0.011
5,0.011
18,0.011
6,0.011
0,0.011
6,0.011
21,0.011
5,0.011
10,0.011
15,0.011
0,0.011
16,0.011
32,0.011
3,0.011
19,0.011
16,0.011
12,0.011
11,0.011
7,0.012
2,0.012
8,0.012
0,0.012
9,0.012
2,0.012
12,0.012
9,0.012
10,0.012
11,0.012
10,0.012
7,0.012
15,0.012
7,0.012
0,0.012
0,0.012
7,0.012
9,0.012
0,0.012
19,0.012
14,0.012
11,0.012
3,0.012
14,0.012
14,0.012
10,0.012
3,0.012
18,0.012
7,0.012
17,0.012
21,0.012
14,0.012
22,0.012
0,0.012
10,0.012
1,0.012
7,0.012
3,0.012
10,0.012
13,0.012
13,0.012
19,0.012
16,0.012
18,0.012
21,0.012
19,0.012
20,0.012
10,0.012
7,0.012
9,0.012
7,0.013
8,0.013
0,0.013
0,0.013
6,0.013
14,0.013
19,0.013
15,0.013
13,0.013
8,0.013
9,0.013
3,0.013
6,0.013
3,0.013
12,0.013
0,0.013
19,0.013
6,0.013
24,0.013
15,0.013
12,0.013
8,0.013
