day_lags,m,ped
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
2,5,0.001
0,5,0.001
0,5,0.001
51,5,0.001
4,5,0.001
21,5,0.001
25,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
39,5,0.001
4,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
1,5,0.001
0,5,0.001
0,5,0.001
54,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
42,5,0.001
6,5,0.001
4,5,0.001
0,5,0.001
49,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
8,5,0.001
0,5,0.001
9,5,0.001
0,5,0.001
2,5,0.001
0,5,0.001
0,5,0.001
53,5,0.001
0,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
5,5,0.0044
0,5,0.0044
0,5,0.0044
4,5,0.0044
0,5,0.0044
56,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
23,5,0.0044
17,5,0.0044
0,5,0.0044
16,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
7,5,0.0044
9,5,0.0044
0,5,0.0044
0,5,0.0044
13,5,0.0044
0,5,0.0044
0,5,0.0044
56,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
2,5,0.0044
0,5,0.0044
6,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
67,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
1,5,0.0044
20,5,0.0044
1,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0044
0,5,0.0078
0,5,0.0078
0,5,0.0078
8,5,0.0078
25,5,0.0078
0,5,0.0078
0,5,0.0078
3,5,0.0078
16,5,0.0078
0,5,0.0078
0,5,0.0078
64,5,0.0078
0,5,0.0078
15,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
34,5,0.0078
12,5,0.0078
0,5,0.0078
23,5,0.0078
0,5,0.0078
0,5,0.0078
20,5,0.0078
2,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
147,5,0.0078
0,5,0.0078
0,5,0.0078
4,5,0.0078
6,5,0.0078
0,5,0.0078
0,5,0.0078
4,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
85,5,0.0078
0,5,0.0078
63,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
0,5,0.0078
18,5,0.0078
0,5,0.0112
18,5,0.0112
114,5,0.0112
45,5,0.0112
7,5,0.0112
0,5,0.0112
19,5,0.0112
1,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
12,5,0.0112
9,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
3,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
32,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
14,5,0.0112
0,5,0.0112
0,5,0.0112
17,5,0.0112
5,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
2,5,0.0112
0,5,0.0112
0,5,0.0112
1,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
35,5,0.0112
53,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0112
0,5,0.0147
8,5,0.0147
9,5,0.0147
0,5,0.0147
5,5,0.0147
0,5,0.0147
0,5,0.0147
8,5,0.0147
0,5,0.0147
1,5,0.0147
0,5,0.0147
2,5,0.0147
2,5,0.0147
15,5,0.0147
0,5,0.0147
10,5,0.0147
6,5,0.0147
0,5,0.0147
59,5,0.0147
0,5,0.0147
0,5,0.0147
0,5,0.0147
8,5,0.0147
57,5,0.0147
0,5,0.0147
36,5,0.0147
3,5,0.0147
0,5,0.0147
0,5,0.0147
9,5,0.0147
0,5,0.0147
0,5,0.0147
0,5,0.0147
0,5,0.0147
0,5,0.0147
1,5,0.0147
14,5,0.0147
5,5,0.0147
0,5,0.0147
0,5,0.0147
27,5,0.0147
0,5,0.0147
0,5,0.0147
6,5,0.0147
0,5,0.0147
0,5,0.0147
31,5,0.0147
0,5,0.0147
5,5,0.0147
1,5,0.0147
0,5,0.0181
0,5,0.0181
1,5,0.0181
0,5,0.0181
1,5,0.0181
19,5,0.0181
0,5,0.0181
0,5,0.0181
102,5,0.0181
0,5,0.0181
8,5,0.0181
25,5,0.0181
12,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
4,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
70,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
6,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
10,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
39,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
4,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
0,5,0.0181
1,5,0.0181
3,5,0.0181
0,5,0.0181
11,5,0.0181
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
3,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
3,5,0.0215
0,5,0.0215
0,5,0.0215
15,5,0.0215
0,5,0.0215
0,5,0.0215
5,5,0.0215
4,5,0.0215
0,5,0.0215
0,5,0.0215
93,5,0.0215
6,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
180,5,0.0215
0,5,0.0215
0,5,0.0215
2,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
0,5,0.0215
8,5,0.0215
0,5,0.0215
3,5,0.0215
0,5,0.0215
0,5,0.0215
6,5,0.0215
0,5,0.0215
27,5,0.0215
0,5,0.0215
0,5,0.0215
91,5,0.0215
0,5,0.0215
12,5,0.0215
0,5,0.0215
12,5,0.0249
0,5,0.0249
