day_lags,m,ped
3,5,0.001
1,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
1,5,0.001
0,5,0.001
0,5,0.001
15,5,0.001
9,5,0.001
4,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
5,5,0.001
5,5,0.001
14,5,0.001
1,5,0.001
8,5,0.001
0,5,0.001
0,5,0.001
117,5,0.001
6,5,0.001
0,5,0.001
3,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
7,5,0.001
47,5,0.001
0,5,0.001
0,5,0.001
64,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
5,5,0.001
13,5,0.001
50,5,0.001
0,5,0.001
9,5,0.001
0,5,0.001
0,5,0.012
0,5,0.012
3,5,0.012
3,5,0.012
0,5,0.012
0,5,0.012
13,5,0.012
0,5,0.012
0,5,0.012
69,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
2,5,0.012
0,5,0.012
0,5,0.012
10,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
13,5,0.012
0,5,0.012
0,5,0.012
5,5,0.012
0,5,0.012
1,5,0.012
0,5,0.012
0,5,0.012
26,5,0.012
17,5,0.012
49,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
33,5,0.012
12,5,0.012
1,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
27,5,0.012
0,5,0.012
0,5,0.012
10,5,0.012
0,5,0.012
0,5,0.012
3,5,0.012
1,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
54,5,0.023
3,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
17,5,0.023
3,5,0.023
53,5,0.023
0,5,0.023
0,5,0.023
5,5,0.023
0,5,0.023
107,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
5,5,0.023
6,5,0.023
11,5,0.023
1,5,0.023
0,5,0.023
0,5,0.023
82,5,0.023
0,5,0.023
7,5,0.023
3,5,0.023
0,5,0.023
0,5,0.023
22,5,0.023
0,5,0.023
5,5,0.023
7,5,0.023
1,5,0.023
0,5,0.023
79,5,0.023
13,5,0.023
0,5,0.023
4,5,0.023
-4,5,0.034
0,5,0.034
