v,T
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.05,7
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
0.08,16
