,day,s,s,s,i,i,i,r,r,r,V,T
,,mean,max,min,mean,max,min,mean,max,min,,
0,1,498.3,499,497,1.7,3,1,0.0,0,0,0.01,7
1,2,496.4,499,492,3.4,7,1,0.2,1,0,0.01,7
2,3,491.9,499,486,7.6,13,0,0.5,1,0,0.01,7
3,4,483.0,499,465,16.4,33,0,0.6,2,0,0.01,7
4,5,466.0,499,428,32.7,68,0,1.3,4,0,0.01,7
5,6,431.0,499,368,64.9,122,0,4.1,10,0,0.01,7
6,7,374.0,499,280,118.6,209,0,7.4,11,1,0.01,7
7,8,297.4,499,158,188.5,318,0,14.1,24,1,0.01,7
8,9,221.3,499,76,252.5,375,0,26.2,49,1,0.01,7
9,10,158.8,499,33,302.5,410,0,38.7,72,1,0.01,7
10,11,111.9,499,12,335.4,419,0,52.7,92,1,0.01,7
11,12,82.4,499,5,348.3,419,0,69.3,117,1,0.01,7
12,13,64.9,499,1,353.3,429,0,81.8,132,1,0.01,7
13,14,56.3,499,0,347.3,423,0,96.4,147,1,0.01,7
14,15,53.0,499,0,336.5,405,0,110.5,157,1,0.01,7
15,16,51.5,499,0,321.6,400,0,126.9,174,1,0.01,7
16,17,50.8,499,0,309.4,386,0,139.8,184,1,0.01,7
17,18,50.5,499,0,295.8,374,0,153.7,205,1,0.01,7
18,19,50.3,499,0,283.6,357,0,166.1,220,1,0.01,7
19,20,50.3,499,0,272.0,341,0,177.7,232,1,0.01,7
20,21,50.3,499,0,260.6,327,0,189.1,244,1,0.01,7
21,22,50.0,499,0,250.9,317,0,199.1,258,1,0.01,7
22,23,50.0,499,0,241.4,307,0,208.6,267,1,0.01,7
23,24,50.0,499,0,232.7,296,0,217.3,276,1,0.01,7
24,25,50.0,499,0,222.5,285,0,227.5,290,1,0.01,7
25,26,50.0,499,0,213.9,273,0,236.1,296,1,0.01,7
26,27,50.0,499,0,205.5,259,0,244.5,303,1,0.01,7
27,28,50.0,499,0,196.3,249,0,253.7,311,1,0.01,7
28,29,50.0,499,0,189.5,237,0,260.5,320,1,0.01,7
29,30,50.0,499,0,183.6,231,0,266.4,326,1,0.01,7
30,31,50.0,499,0,175.6,225,0,274.4,336,1,0.01,7
31,32,49.9,499,0,169.9,219,0,280.2,343,1,0.01,7
32,33,49.9,499,0,163.8,212,0,286.3,352,1,0.01,7
33,34,49.9,499,0,157.7,202,0,292.4,358,1,0.01,7
34,35,49.9,499,0,151.1,197,0,299.0,364,1,0.01,7
35,36,49.9,499,0,145.2,191,0,304.9,367,1,0.01,7
36,37,49.9,499,0,139.9,180,0,310.2,372,1,0.01,7
37,38,49.9,499,0,133.8,168,0,316.3,378,1,0.01,7
38,39,49.9,499,0,128.3,164,0,321.8,383,1,0.01,7
