,day,s,s,s,i,i,i,r,r,r,pi,pr
,,mean,max,min,mean,max,min,mean,max,min,,
0,1,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
1,2,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
2,3,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
3,4,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
4,5,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
5,6,499.0,499,499,1.0,1,1,0.0,0,0,0.0,0.04
6,7,499.0,499,499,0.8,1,0,0.2,1,0,0.0,0.04
7,8,499.0,499,499,0.8,1,0,0.2,1,0,0.0,0.04
8,9,499.0,499,499,0.8,1,0,0.2,1,0,0.0,0.04
9,10,499.0,499,499,0.8,1,0,0.2,1,0,0.0,0.04
10,11,499.0,499,499,0.8,1,0,0.2,1,0,0.0,0.04
11,12,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
12,13,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
13,14,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
14,15,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
15,16,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
16,17,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
17,18,499.0,499,499,0.7,1,0,0.3,1,0,0.0,0.04
18,19,499.0,499,499,0.6,1,0,0.4,1,0,0.0,0.04
19,20,499.0,499,499,0.6,1,0,0.4,1,0,0.0,0.04
20,21,499.0,499,499,0.6,1,0,0.4,1,0,0.0,0.04
21,22,499.0,499,499,0.5,1,0,0.5,1,0,0.0,0.04
22,23,499.0,499,499,0.5,1,0,0.5,1,0,0.0,0.04
23,24,499.0,499,499,0.5,1,0,0.5,1,0,0.0,0.04
24,25,499.0,499,499,0.5,1,0,0.5,1,0,0.0,0.04
25,26,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
26,27,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
27,28,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
28,29,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
29,30,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
30,31,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
31,32,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
32,33,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
33,34,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
34,35,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
35,36,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
36,37,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
37,38,499.0,499,499,0.4,1,0,0.6,1,0,0.0,0.04
38,39,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
39,40,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
40,41,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
41,42,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
42,43,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
43,44,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
44,45,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
45,46,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
46,47,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
47,48,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
48,49,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
49,50,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
50,51,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
51,52,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
52,53,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
53,54,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
54,55,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
55,56,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
56,57,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
57,58,499.0,499,499,0.3,1,0,0.7,1,0,0.0,0.04
