day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
1,497.68,499,493,1.136003983489954,2.21,7,1,1.1485168301295845,0.11,2,0,0.3450955072018603,0.01,5
2,494.91,499,485,3.018779604911625,4.78,15,1,2.9114195225634587,0.31,2,0,0.5448565745851717,0.01,5
3,489.26,499,467,6.812970398920406,9.95,33,1,6.490669293592756,0.79,5,0,0.9565827225339715,0.01,5
4,478.15,499,426,14.633140055326056,20.28,73,1,13.97189097344155,1.57,9,0,1.5779733838059498,0.01,5
5,455.93,499,347,29.894513195433024,40.91,148,1,28.30394019042278,3.16,16,0,2.6465910988372277,0.01,5
6,415.86,496,249,52.90338439843032,77.8,239,4,49.63991551283314,6.34,19,0,4.257423700509096,0.01,5
7,353.49,491,141,81.75987198293957,134.54,331,9,75.3789644584501,11.97,30,0,7.267549293074848,0.01,5
8,271.07,483,73,106.53896285425634,208.15,383,17,96.15742301039478,20.78,48,0,11.582449279540631,0.01,5
9,186.15,468,23,116.42029180273664,281.29,414,31,102.10811214421976,32.56,70,1,15.971135580076067,0.01,5
10,115.55,437,10,106.90176506371341,337.77,430,56,90.03768627355409,46.68,87,5,19.257363802090367,0.01,5
11,67.55,388,4,84.70082524969752,369.86,428,100,66.48460291106822,62.59,111,9,22.39998872654839,0.01,5
12,36.09,318,1,58.00576338484466,385.69,422,163,41.00940887359407,78.22,124,12,23.71530639852155,0.01,5
13,17.74,215,0,33.63368321288417,387.74,423,253,21.9091881468147,94.52,140,28,24.29718360866401,0.01,5
14,8.37,118,0,17.159180480065906,381.19,422,332,16.751719344894155,110.44,152,45,23.953793904603973,0.01,5
15,3.89,53,0,7.782257728547376,370.62,421,331,19.26570197857511,125.49,166,55,23.82490632964087,0.01,5
16,1.74,23,0,3.3533339357792094,357.13,417,316,21.411624804476574,141.13,184,70,23.68379875003846,0.01,5
17,0.73,11,0,1.503228848079017,343.77,419,303,21.862220076347835,155.5,197,78,22.691830951229825,0.01,5
18,0.46,7,0,0.9579017473497777,329.55,401,287,21.6740663354884,169.99,213,98,22.168544007993464,0.01,5
19,0.24,3,0,0.5340903718028674,316.39,384,275,22.03527704258411,183.37,225,116,22.243217102539525,0.01,5
20,0.12,1,0,0.3265986323710904,303.98,370,264,21.800741345934163,195.9,236,130,21.846803617070123,0.01,5
21,0.09,1,0,0.2876234912646614,291.88,361,254,20.832317550994038,208.03,246,139,20.86244269378625,0.01,5
22,0.04,1,0,0.19694638556693236,279.89,346,242,20.105728114900575,220.07,258,154,20.115954269226606,0.01,5
23,0.02,1,0,0.14070529413628968,269.09,334,235,19.912990024533535,230.89,265,166,19.912888572809603,0.01,5
24,0.02,1,0,0.14070529413628968,258.43,321,224,19.238668447591778,241.55,276,179,19.23978149354072,0.01,5
25,0.02,1,0,0.14070529413628968,248.25,308,211,18.79951374827863,251.73,289,192,18.795472805433704,0.01,5
26,0.02,1,0,0.14070529413628968,238.56,296,205,18.126001191435442,261.42,295,204,18.11700468029576,0.01,5
27,0.02,1,0,0.14070529413628968,229.35,283,200,17.17313793884702,270.63,300,217,17.162712107026877,0.01,5
28,0.01,1,0,0.1,220.49,274,192,16.582511781081205,279.5,308,226,16.580687317454363,0.01,5
29,0.01,1,0,0.1,211.58,266,185,15.789128084114266,288.41,315,234,15.789073705726015,0.01,5
30,0.01,1,0,0.1,203.07,254,176,15.002528406433983,296.92,324,246,14.999447801283697,0.01,5
31,0.01,1,0,0.1,195.22,244,164,15.03234223703389,304.77,336,256,15.029839007988762,0.01,5
32,0.0,0,0,0.0,187.14,231,159,14.229731287879348,312.86,341,269,14.229731287879348,0.01,5
33,0.0,0,0,0.0,179.45,222,151,14.085148708530344,320.55,349,278,14.085148708530353,0.01,5
34,0.0,0,0,0.0,172.21,217,143,13.740962135310628,327.79,357,283,13.740962135310633,0.01,5
35,0.0,0,0,0.0,165.7,206,135,13.32613442022324,334.3,365,294,13.326134420223237,0.01,5
36,0.0,0,0,0.0,158.97,196,128,12.643883018194124,341.03,372,304,12.643883018194131,0.01,5
37,0.0,0,0,0.0,152.7,190,121,12.618328820498464,347.3,379,310,12.618328820498458,0.01,5
38,0.0,0,0,0.0,146.55,179,115,12.431123371716177,353.45,385,321,12.431123371716176,0.01,5
39,0.0,0,0,0.0,140.66,173,113,12.102441526778424,359.34,387,327,12.102441526778426,0.01,5
40,0.0,0,0,0.0,135.08,165,108,11.257033715895504,364.92,392,335,11.257033715895501,0.01,5
41,0.0,0,0,0.0,129.53,157,105,10.567201974778262,370.47,395,343,10.567201974778243,0.01,5
42,0.0,0,0,0.0,124.43,152,100,10.265422002474562,375.57,400,348,10.265422002474562,0.01,5
43,0.0,0,0,0.0,119.57,144,91,10.15063813488859,380.43,409,356,10.150638134888586,0.01,5
44,0.0,0,0,0.0,114.5,140,84,10.147896234185586,385.5,416,360,10.147896234185586,0.01,5
45,0.0,0,0,0.0,110.3,136,82,10.0388135642504,389.7,418,364,10.038813564250397,0.01,5
46,0.0,0,0,0.0,105.7,131,81,9.805687897925122,394.3,419,369,9.80568789792513,0.01,5
47,0.0,0,0,0.0,101.56,126,79,9.547668814845842,398.44,421,374,9.547668814845848,0.01,5
48,0.0,0,0,0.0,97.52,123,75,9.591115417379513,402.48,425,377,9.591115417379509,0.01,5
49,0.0,0,0,0.0,93.23,121,72,9.653444457756512,406.77,428,379,9.65344445775651,0.01,5
50,0.0,0,0,0.0,89.66,118,69,9.398280521865518,410.34,431,382,9.398280521865514,0.01,5
51,0.0,0,0,0.0,86.1,110,66,9.065975909515709,413.9,434,390,9.065975909515714,0.01,5
52,0.0,0,0,0.0,82.81,107,63,8.9167813643147,417.19,437,393,8.916781364314705,0.01,5
53,0.0,0,0,0.0,79.64,103,59,8.59353762363841,420.36,441,397,8.59353762363841,0.01,5
54,0.0,0,0,0.0,76.49,98,57,8.445302322186654,423.51,443,402,8.445302322186656,0.01,5
55,0.0,0,0,0.0,73.52,96,56,8.488233091173983,426.48,444,404,8.488233091173981,0.01,5
56,0.0,0,0,0.0,70.8,93,53,8.302366706505618,429.2,447,407,8.302366706505618,0.01,5
57,0.0,0,0,0.0,68.08,91,49,8.16085755050264,431.92,451,409,8.160857550502634,0.01,5
58,0.0,0,0,0.0,65.09,83,47,7.90230116082421,434.91,453,417,7.902301160824209,0.01,5
59,0.0,0,0,0.0,62.48,81,44,7.797280023032119,437.52,456,419,7.797280023032128,0.01,5
60,0.0,0,0,0.0,59.81,77,43,7.680087068109148,440.19,457,423,7.680087068109156,0.01,5
61,0.0,0,0,0.0,57.33,74,42,7.3910333335314995,442.67,458,426,7.3910333335315,0.01,5
62,0.0,0,0,0.0,54.93,72,39,7.389939926766124,445.07,461,428,7.389939926766124,0.01,5
63,0.0,0,0,0.0,52.89,70,36,7.404469029995438,447.11,464,430,7.404469029995438,0.01,5
