day,s,i,r,edgecount,suscedgecount,edgecount1,suscedgecount1,edgecount2,suscedgecount2,index
1,0.996,0.004,0.0,0.9868421052631579,0.9787459444040048,1.0,1.0,0.978171334431631,0.9538152610441767,0
2,0.994,0.006,0.0,0.9856007944389275,0.9792286449015727,1.0,1.0,0.9761120263591433,0.9537223340040242,0
3,0.99,0.01,0.0,0.9541956305858987,0.9557578369240359,0.9990625,0.9996342510068,0.9246293245469522,0.907070707070707,0
4,0.984,0.016,0.0,0.929617676266137,0.9404956181934543,0.9965625,0.998482713030493,0.8855024711696869,0.8739837398373984,0
5,0.976,0.024,0.0,0.8854270109235353,0.9115254916425238,0.9946875,0.9976221509764942,0.8134266886326195,0.8094262295081968,0
6,0.964,0.034,0.002,0.8373882820258193,0.8809615218918477,0.989375,0.9949749084478291,0.7372322899505767,0.7406639004149378,0
7,0.95,0.048,0.002,0.8180238331678252,0.8723276235353842,0.978125,0.9896323224812397,0.7125205930807249,0.7263157894736842,0
8,0.944,0.054,0.002,0.8176514399205561,0.8717194518506515,0.9746875,0.987946278420433,0.714168039538715,0.7330508474576272,0
9,0.934,0.062,0.004,0.7486345580933466,0.821339906188548,0.9690625,0.9848405332203022,0.6033772652388797,0.6231263383297645,0
10,0.918,0.076,0.006,0.7725918570009931,0.8451377658619289,0.9578125,0.9781128650670224,0.6505354200988468,0.681917211328976,0
11,0.902,0.086,0.012,0.711643495531281,0.7965377010321832,0.9540625,0.9752743093281492,0.5518945634266886,0.5809312638580931,0
12,0.884,0.1,0.016,0.7481380337636544,0.8303296709834407,0.9446875,0.9697289124346338,0.6186161449752883,0.6619909502262442,0
13,0.862,0.11,0.028,0.6910377358490566,0.7805095877849977,0.9375,0.9650532171670644,0.5286243822075782,0.5635730858468676,0
14,0.836,0.122,0.042,0.7163604766633564,0.8079301450287427,0.931875,0.9608113803203757,0.574341021416804,0.6188995215311005,0
15,0.806,0.144,0.05,0.6477159880834161,0.7478239349606342,0.9225,0.9536622185467148,0.4666392092257002,0.5042183622828784,0
16,0.782,0.166,0.052,0.670059582919563,0.7760202283962188,0.9075,0.941487158003117,0.5135914332784185,0.5741687979539642,0
17,0.754,0.194,0.052,0.6187934458788481,0.7329926928660645,0.8925,0.9295472845464222,0.43842668863261947,0.4986737400530504,0
18,0.714,0.224,0.062,0.6267378351539226,0.7484785666996268,0.88125,0.9166696333983064,0.4590197693574959,0.5411764705882353,0
19,0.682,0.246,0.072,0.5841608738828202,0.7011477518883223,0.868125,0.9050739819700397,0.3970345963756178,0.46158357771261,0
20,0.638,0.28,0.082,0.5914846077457795,0.7170545051989552,0.8575,0.889620665095252,0.4161861614497529,0.509090909090909,0
21,0.596,0.312,0.092,0.5590863952333665,0.6772189933264586,0.8471875,0.8726048543796379,0.3692339373970346,0.4533557046979866,0
22,0.552,0.328,0.12,0.5785749751737835,0.695257520359512,0.849375,0.8648602951423822,0.4001235584843493,0.4945652173913043,0
23,0.514,0.344,0.142,0.5686444885799404,0.6719908008350579,0.8540625,0.8591136153001449,0.3805601317957166,0.4536964980544747,0
24,0.47,0.36,0.17,0.5718718967229395,0.6616103494207195,0.8571875,0.8482554264054167,0.38385502471169686,0.4446808510638297,0
25,0.432,0.38,0.188,0.5743545183714002,0.6529421688416278,0.855,0.8298048469036602,0.3894151565074135,0.44999999999999996,0
26,0.39,0.396,0.214,0.5716236345580934,0.6380178677217034,0.8634375,0.8203069678022047,0.37932454695222406,0.41846153846153844,0
27,0.36,0.41,0.23,0.5778301886792453,0.6339916855680146,0.8678125,0.8127327587750706,0.38673805601317957,0.425,0
28,0.338,0.412,0.25,0.5978152929493545,0.653575157378847,0.87375,0.80838192048668,0.4159802306425041,0.4781065088757395,0
29,0.3,0.43,0.27,0.5851539225422046,0.6116585387035511,0.881875,0.7988454737843282,0.3896210873146623,0.38800000000000007,0
30,0.278,0.436,0.286,0.6029046673286991,0.63135751598257,0.8884375,0.7916547761286831,0.41474464579901155,0.44964028776978426,0
31,0.256,0.444,0.3,0.6019116186693148,0.6179935251649231,0.8946875,0.7901496356952409,0.40897858319604613,0.41640625,0
