,day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,cluster_mean,cluster_min,cluster_max,cluster_std,centrality_mean,centrality_min,centrality_max,centrality_std,connectivity_mean,connectivity_min,connectivity_max,connectivity_std
0,1,497.2,494,499,1.3984117975601997,2.8,1,6,1.3984117975602022,0.0,0,0,0.0,0.9996326566393708,0.9985616109956849,1.0,0.0005786267672782707,0.9999133982727976,0.999293003905855,1.0,0.00022363974517714127,0.0504603458169954,0.050397381125733845,0.050512563906167804,4.503944918903198e-05,0.05018036072144284,0.0500841683366733,0.05021242484969935,3.963232324433151e-05,11.0,11,11,0.0
1,2,493.2,485,499,3.881580434135895,6.1,0,13,3.8137179293236207,0.7,0,2,0.6749485577105528,0.9971251051428739,0.9908902029726706,1.0,0.003319463457398221,0.9986479332319803,0.9959887746491771,1.0,0.0015549691101787656,0.050268437667906694,0.04988096208347317,0.05052283536007402,0.00023612881643998216,0.05005450901803603,0.04969939879759513,0.05021242484969935,0.00017659746986644956,11.0,11,11,0.0
2,3,487.9,474,499,7.233410137841089,11.1,0,23,6.967384333050994,1.0,0,3,0.9428090415820634,0.9893951069269044,0.9697938309093815,1.0,0.010474342712274841,0.994712554775236,0.9850927742701804,1.0,0.0052705599021419065,0.05006803087247116,0.04942262034331155,0.05050947043804977,0.0003700916478701268,0.049666533066132224,0.04864128256513023,0.05021242484969935,0.0005351824630228148,10.7,9,11,0.6749485577105531
3,4,477.6,455,499,14.167254889748799,20.9,0,40,13.527338573750896,1.5,0,5,1.4337208778404378,0.970326399598129,0.930957327792872,1.0,0.025857196167233146,0.9843390087687091,0.9630121355423967,1.0,0.013935048895734308,0.049223450880015215,0.04756575591776487,0.05049716274574207,0.0011097913940413668,0.048709418837675315,0.04669338677354702,0.05021242484969935,0.0013062347734029156,9.2,5,11,2.250925735484551
4,5,463.2,432,499,22.463798036445716,33.6,0,60,20.934819480154747,3.2,0,8,2.859681411936962,0.9431301191094599,0.8868467316605402,1.0,0.04240936342868701,0.9686002700639278,0.935323450005827,1.0,0.02417986575877412,0.04809986324321265,0.045031611404261714,0.05049716274574207,0.0017865842330740457,0.04734428857715425,0.04448096192384763,0.05021242484969935,0.0021358937677812837,8.0,4,11,2.449489742783178
5,6,445.9,408,499,30.46108628689689,48.4,0,81,27.12604324670707,5.7,1,12,3.8311588035185618,0.9116719452077813,0.8384418901660281,1.0,0.05621579751804311,0.9487720763988801,0.901121880814202,1.0,0.034404446323014745,0.046908346819569915,0.04330037191009394,0.05049716274574207,0.0023322580716627662,0.04576513026052098,0.04210020040080157,0.05021242484969935,0.002827274698649627,7.2,5,11,2.3475755815545347
6,7,423.2,373,499,39.56092348096372,67.9,0,113,35.43523042898911,8.9,1,15,5.043147165543886,0.8742081592940943,0.7856002554278416,1.0,0.06924594838228525,0.9221708067021239,0.8558249821677656,1.0,0.04671055992603791,0.04565387794190651,0.04199327447995099,0.05049716274574207,0.002621443257495793,0.0438845691382765,0.03944689378757512,0.05021242484969935,0.0034814673053407295,6.3,3,11,2.057506581601462
7,8,396.7,338,499,49.01258341827469,90.7,0,140,43.29498302985642,12.6,1,22,6.569288816573341,0.832943731847883,0.7533524904214559,1.0,0.07871389807404898,0.8884290143705055,0.81664404363004,1.0,0.0588896221542572,0.04402407355813935,0.04046922454136782,0.05049716274574207,0.0032923968810310094,0.04181322645290576,0.03782765531062122,0.05021242484969935,0.003957076968170936,5.9,3,11,2.1317702607092643
8,9,369.4,309,499,57.683427236753005,112.3,0,162,49.670134107149565,18.3,1,30,9.440456674452895,0.7996338875770804,0.730062330190187,1.0,0.08358863291566546,0.8548323783038073,0.785305935145496,1.0,0.06888351791392783,0.042777850971935615,0.038561446768185244,0.05049716274574207,0.0034644142046057202,0.040141082164328615,0.03661723446893783,0.05021242484969935,0.0042010656920975125,6.3,4,11,1.8885620632287057
9,10,341.2,275,499,68.32243815581786,135.3,0,196,58.23715881348151,23.5,1,38,11.266962520770381,0.7754572030731265,0.706249001118747,1.0,0.08785113911968861,0.820568129157232,0.7349644869695753,1.0,0.08151339840329234,0.04190446754481829,0.03852667296757851,0.05049716274574207,0.003493299647935764,0.038927454909819616,0.03542284569138273,0.05021242484969935,0.004414969979090427,6.1,4,11,1.9692073983655904
10,11,309.5,236,499,77.78353153320937,160.5,0,224,65.31334728318045,30.0,1,48,14.015864027752427,0.757589786249299,0.6989144316730523,1.0,0.08795375423174412,0.7822874733399103,0.6919592313207679,1.0,0.09044230543283041,0.04227669964476126,0.04008134711540017,0.05049716274574207,0.003068778108114923,0.03803046092184366,0.03509418837675348,0.05021242484969935,0.004419657611689959,6.7,5,11,1.8287822299126937
11,12,278.8,202,499,87.75192305585104,184.3,0,254,72.55197370774202,36.9,1,58,17.609656441850305,0.7514264044404418,0.6966794380587484,1.0,0.08810870969448238,0.7458630099807235,0.6520136679137191,1.0,0.1000842272297094,0.04193432797221375,0.039815487900707554,0.05049716274574207,0.00310799570808975,0.03772104208416833,0.034981963927855686,0.05021242484969935,0.004427282319193408,7.3,6,11,1.567021236472421
12,13,249.1,169,499,96.53836312863169,206.0,0,277,78.74290091458685,44.9,1,71,21.00502585361682,0.7583746728942191,0.7038633461047255,1.0,0.08672417733691809,0.7153865387706022,0.6224290485813444,1.0,0.10857302374925176,0.04212090285453916,0.04001799877756866,0.05049716274574207,0.0030802624076374085,0.03806973947895789,0.03534268537074147,0.05021242484969935,0.004356934122300012,6.9,6,11,1.5951314818673865
13,14,216.3,129,499,107.00576308467376,229.4,0,303,85.90589166187742,54.3,1,83,24.097256644227734,0.7765973295843583,0.7053001277139208,1.0,0.08399614694262511,0.6832126313078586,0.58973957279609,1.0,0.11777072185347344,0.043232205238988665,0.04060939952223596,0.05049716274574207,0.002908485590705617,0.03898436873747492,0.03541482965931865,0.05021242484969935,0.004218694578450674,6.6,5,11,1.776388345929897
14,15,189.1,100,499,114.73684867750397,246.0,0,319,90.70587387570639,64.9,1,93,26.555811249350132,0.8004405126863074,0.717911877394636,1.0,0.07870833801796513,0.6596720525428211,0.5731994206639467,1.0,0.12460337575489594,0.04450687069751835,0.04210784022890361,0.05049716274574207,0.002487593784194904,0.04018116232464926,0.036048096192384686,0.05021242484969935,0.0039520297279518855,7.0,6,11,1.5634719199411433
15,16,162.6,82,499,121.78779358649481,263.0,0,322,94.41398201537736,74.4,1,102,30.551232017347154,0.8281139958832497,0.7476053639846744,1.0,0.07110255014566846,0.6392913314407334,0.5691069595582932,1.0,0.12883379493497132,0.045569763074178836,0.04287711261429258,0.05049716274574207,0.0021318195309652783,0.041570340681362686,0.037539078156312564,0.05021242484969935,0.0035700951686914143,7.4,6,11,1.5055453054181622
16,17,139.7,61,499,128.61747764419715,272.5,0,334,97.16223546213827,87.8,1,119,35.08022551555537,0.8605953981961454,0.7792145593869731,1.0,0.061239562330325445,0.6301766116607815,0.5529912534951613,1.0,0.13122882135424438,0.04690904021332841,0.04457959302029867,0.05049716274574207,0.0017846689525672552,0.04320080160320638,0.039126252505009985,0.05021242484969935,0.003073834571898586,7.8,6,11,1.3984117975602022
17,18,123.3,50,499,133.6172394066973,277.2,0,342,98.64504267546567,99.5,1,131,38.66738505079787,0.8848831155309929,0.8140166028097062,1.0,0.05227821153776557,0.6236672014841755,0.5496760788798905,1.0,0.13359944384990383,0.047534248445213326,0.04497966387124153,0.05049716274574207,0.0016428316094029799,0.04442004008016028,0.04087374749498998,0.05021242484969935,0.0026241871245404505,7.8,6,11,1.3984117975602022
18,19,107.4,41,499,138.8461978833654,281.5,0,341,99.80341788847826,111.1,1,146,42.20176404949074,0.9091071159507548,0.8467432950191571,1.0,0.044474083986331986,0.6178272343057055,0.5458808448137288,1.0,0.1352925270982485,0.048203357364607284,0.04621717923929976,0.05049716274574207,0.0011872097079718793,0.04563607214428853,0.04251703406813625,0.05021242484969935,0.0022326354619101292,7.8,6,11,1.4757295747452437
19,20,96.4,32,499,142.13780480771314,279.8,0,338,99.05307219420865,123.8,1,157,46.34843878468592,0.9274712994755246,0.8737228607918263,1.0,0.03525170936019034,0.6206337830366303,0.5502762189366496,1.0,0.13466621968327672,0.04871143945099994,0.047417542262874895,0.05049716274574207,0.0009702397265612767,0.046557915831663264,0.04387174348697392,0.05021242484969935,0.0017690948724940856,7.8,6,11,1.3165611772087666
20,21,85.8,22,499,145.65774190813815,279.5,0,339,99.03899344309907,134.7,1,172,49.72379265055668,0.9448769960732625,0.9024584929757343,1.0,0.028285461289518095,0.6211777369803722,0.5469692919989008,1.0,0.13418000390514356,0.04923459912767081,0.04832802374172245,0.05049716274574207,0.000588853796716169,0.04743166332665325,0.04531462925851697,0.05021242484969935,0.0014192147762752563,7.9,6,11,1.2866839377079187
21,22,79.6,20,499,147.66117371273404,273.2,0,326,96.77557083846683,147.2,1,183,53.93576426330368,0.9554639010745009,0.9220945083014048,1.0,0.022712285648622543,0.6258768066931454,0.5438422688693785,1.0,0.13257906547546874,0.049608289189022436,0.04814069051195527,0.05049716274574207,0.0006517762042937384,0.04796312625250497,0.046300601202404784,0.05021242484969935,0.0011398448086324385,7.7,6,11,1.4944341180973262
22,23,75.0,16,499,149.22093984722414,265.3,0,318,94.21612270613655,159.7,1,195,58.00201145937383,0.9641344472673998,0.9405750798722045,1.0,0.019085231380576485,0.6412434951043965,0.5610311098888903,1.0,0.1274274442465591,0.049742498438541435,0.04872526019376381,0.050790003990235436,0.0006340893689086181,0.04839839679358714,0.047198396793587095,0.05021242484969935,0.000958690103713096,8.0,6,11,1.632993161855452
