day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
1,0.9966399999999999,0.998,0.992,0.0016383167070664496,0.0032800000000000025,0.008,0.002,0.0016040764397277946,8e-05,0.002,0.0,0.00039589732744431486,0.9961888937265928,1.0,0.9748332704165094,0.006197038939004755,0.9889967058234234,0.9979005630308235,0.9678349744698708,0.00649261122495026,0.9999553001277138,1.0,0.9993614303959132,0.00012917170460233126,0.9999794889385347,1.0,0.9996769023986765,6.365154243879987e-05,0.9937639486403276,1.0,0.9586092715231788,0.010161613373553358,0.9758995202703682,0.9951903807615231,0.9306451612903225,0.014042183532524224
2,0.9952399999999999,0.998,0.986,0.002882459267460935,0.0046000000000000025,0.014,0.0,0.0029207211857515537,0.00016,0.002,0.0,0.0005480950312357393,0.9885789147919811,1.0,0.9519315464955329,0.012384289681355421,0.9840032254814892,1.0,0.9518030453922437,0.010495860297287442,0.9998212005108555,1.0,0.9980842911877394,0.00037701109870043884,0.999923629403512,1.0,0.9991693978536084,0.00016220115746968635,0.9813518819366093,1.0,0.9212876427829699,0.02020629642037921,0.9649934223938278,1.0,0.8979757085020242,0.022284642987630852
3,0.9930399999999996,0.998,0.98,0.00473355369804177,0.006680000000000003,0.018,0.0,0.0046530218401483955,0.00028000000000000003,0.002,0.0,0.0007010196655077314,0.9790670377015563,1.0,0.9345712861415753,0.019275243786794263,0.9780298579505957,1.0,0.944407304958156,0.01465394585677289,0.9994444444444446,1.0,0.9964878671775224,0.0008816480771239244,0.9997352188858061,1.0,0.9982469061550695,0.0004209878989781324,0.9659688418584834,1.0,0.8945216680294358,0.03121778322097446,0.9518453517966898,1.0,0.879918864097363,0.03171748443543557
4,0.9899999999999998,0.998,0.972,0.00667618368317025,0.009480000000000006,0.028,0.0,0.0067104548341846895,0.0005200000000000002,0.002,0.0,0.0008861749953869042,0.9680875167269343,1.0,0.891405561847238,0.0265698228996334,0.9710223842782689,1.0,0.9152604001217691,0.019600190885814123,0.9988569604086847,1.0,0.9945721583652618,0.0014851489419303884,0.999436336078697,1.0,0.9972650920593902,0.0007309231026246366,0.9483017321359286,1.0,0.8232606438213915,0.04292571434482922,0.9370235478363904,1.0,0.8156378600823044,0.042137000586708974
5,0.9861599999999998,0.998,0.956,0.010010932799205282,0.012840000000000008,0.04,0.0,0.009485456106641386,0.0010000000000000007,0.004,0.0,0.0012936264483053453,0.9517118187188707,1.0,0.8643513275449856,0.03814385620638851,0.9601968861908512,1.0,0.8983093401571359,0.027136959695951594,0.997822477650064,1.0,0.9891443167305236,0.0026765334966637774,0.9989429343256461,1.0,0.9946960893267699,0.0013064644097874624,0.9220580295903327,1.0,0.7823468328141225,0.06125376869996065,0.9140018259399948,1.0,0.7841004184100419,0.05836711784729047
6,0.9807599999999996,0.998,0.938,0.014607183024743947,0.01780000000000001,0.056,0.0,0.013668076914131418,0.0014400000000000005,0.006,0.0,0.0016182631152578625,0.9327226453448606,0.999877029021151,0.798666163332075,0.05036529300718073,0.9480936164863276,1.0,0.8527113935763111,0.03487028249289073,0.9958876117496809,1.0,0.9782886334610472,0.005274322704856459,0.9979578974583139,1.0,0.9886030475103299,0.002665629086164012,0.8921226261614491,0.9998,0.6793354101765317,0.0798250734565843,0.888350213103805,1.0,0.6912579957356076,0.07378872693113674
7,0.9737999999999997,0.998,0.912,0.019808264611994055,0.02408000000000001,0.08,0.0,0.018476504661049827,0.0021200000000000012,0.008,0.0,0.0020368042194996135,0.9112199572162339,1.0,0.7665745856353591,0.06223918801910357,0.9345449087171389,1.0,0.8347553013576627,0.04220452680278206,0.9928607918263093,1.0,0.9642401021711366,0.008509748936721264,0.9964617250282883,1.0,0.9813432084041551,0.004346081711553394,0.8587650040477273,1.0,0.6347268211920529,0.0974805562227134,0.8599420393809336,1.0,0.6561555075593952,0.08832377690949968
8,0.9648399999999998,0.998,0.888,0.02638518446370374,0.03204000000000001,0.096,0.0,0.024181254335217804,0.0031200000000000012,0.016,0.0,0.0032865837358967784,0.8870372430211317,1.0,0.7221593053982635,0.07501432475941237,0.9184749227197591,1.0,0.8040620560435696,0.05095389321520473,0.9888250319284806,1.0,0.9469987228607918,0.012850965387929824,0.9943304300054734,1.0,0.9719040429183955,0.006759783196894368,0.8216313750261941,1.0,0.5759086188992731,0.11584920734715556,0.8284534207988661,1.0,0.6069819819819819,0.10409165548190596
9,0.95404,0.998,0.868,0.03354555842128608,0.041720000000000014,0.126,0.0,0.030888899003244725,0.0042400000000000024,0.022,0.0,0.004152992528138656,0.8627222887430698,1.0,0.6942491210447012,0.08115523984447032,0.9037305662356581,1.0,0.7944312532580055,0.053558597136882914,0.9833269476372927,1.0,0.9272030651340997,0.017901844449412795,0.9913847680495261,1.0,0.9599559572578229,0.009700235773942276,0.7852865736140856,1.0,0.5432533112582781,0.12300989315880848,0.7986252635092262,1.0,0.597926267281106,0.10757461425580002
10,0.9410799999999999,0.998,0.848,0.04052957599842667,0.053160000000000006,0.14,0.0,0.03677197246795002,0.005760000000000002,0.026,0.0,0.005878219916586577,0.8368653437284505,1.0,0.6616522502193807,0.08827489958196766,0.8873670029367996,1.0,0.7657778983132458,0.058690791339152074,0.9765708812260538,1.0,0.9144316730523627,0.022121159871580434,0.9876295379398904,1.0,0.9515284306416194,0.012374849996269513,0.7471746416016335,1.0,0.4885448916408669,0.13215227236412286,0.7674697356357397,1.0,0.5348946135831383,0.1148977435871305
11,0.9265199999999999,0.998,0.808,0.04971725771083633,0.06535999999999999,0.18,0.0,0.044798760915809234,0.008120000000000004,0.028,0.0,0.007311271700432904,0.811820020006717,1.0,0.6284530386740331,0.09755840432694793,0.8710262131051231,1.0,0.7479937371280249,0.06462731279425066,0.9685951468710088,1.0,0.8879310344827587,0.027843180007442316,0.9829233979790615,1.0,0.9318911224028148,0.016320197240381404,0.7111882404360083,1.0,0.4602649006622517,0.14411868078135007,0.7377739446279605,1.0,0.5393120393120394,0.12399182764536182
12,0.9084,0.998,0.766,0.057989443092722325,0.08139999999999999,0.224,0.0,0.05221501856042288,0.010200000000000004,0.032,0.0,0.008263517065131183,0.7806448881845239,1.0,0.5845052737317931,0.10509420269908194,0.8507406312434614,1.0,0.7206228304749865,0.07008923298047286,0.9583908045977018,1.0,0.8633461047254151,0.03259287621169486,0.9767279868863002,1.0,0.9099343960414707,0.020018110056821616,0.6665788631808448,1.0,0.40376655629139074,0.15384071572293814,0.700835045666886,1.0,0.4966057441253265,0.13214353067595863
13,0.8874799999999999,0.998,0.726,0.06824064262682797,0.09936,0.254,0.0,0.060511344863115185,0.013160000000000003,0.038,0.0,0.010004815167238836,0.7532329271602412,0.999877029021151,0.5742089402310396,0.10765498307767708,0.8333790940779977,1.0,0.7135214572128296,0.07109549359082172,0.9467049808429122,1.0,0.8470625798212005,0.038073076569322954,0.9690693941193025,1.0,0.8943209028948381,0.024582192009340646,0.6291256063511879,0.9998,0.3973509933774834,0.15457091328527092,0.6717031716124243,1.0,0.5016528925619835,0.13029193115365625
14,0.8640399999999997,0.998,0.69,0.07874784350788826,0.11884,0.284,0.0,0.06908272473739623,0.01712000000000001,0.052,0.0,0.011684002668920739,0.7271554206491877,1.0,0.5483425414364641,0.11245989023677827,0.8160675625727266,1.0,0.6895213409865948,0.07506257496253596,0.9345210727969347,1.0,0.8330140485312899,0.04304265392753534,0.9604833959966617,1.0,0.8767990261185846,0.029294234398020525,0.5941478947359582,1.0,0.36382450331125826,0.15952301059235405,0.6443613618639664,1.0,0.4730434782608696,0.1335231590660575
15,0.839,0.998,0.65,0.09083310553550664,0.13904,0.316,0.0,0.0784671931966683,0.02196000000000001,0.062,0.002,0.014121860315677612,0.7058533563811855,1.0,0.5483425414364641,0.11742882505881394,0.801432525866185,1.0,0.6887784490601078,0.07972755357739397,0.922388250319285,1.0,0.8250319284802043,0.04738042089088341,0.9511473455679895,1.0,0.8644641806686341,0.03417707407531206,0.5669712003406517,1.0,0.3669255928045789,0.1645701554926695,0.623964963615239,1.0,0.45612535612535626,0.13776975233053582
16,0.8104400000000002,0.998,0.596,0.10062846596895585,0.16276,0.356,0.0,0.08598802954184842,0.026800000000000015,0.066,0.002,0.016081425462251758,0.6766602234511037,1.0,0.48556002009040683,0.11506080753041045,0.7810624339083416,1.0,0.6240452441672024,0.0793545599289657,0.9083844189016601,1.0,0.8106641123882503,0.050472042465418955,0.9397119253795779,1.0,0.840072344628519,0.039180554805123356,0.5280931666211929,1.0,0.27483443708609273,0.15906147506911242,0.5928768631353308,1.0,0.3664429530201343,0.13210167679218662
17,0.77908,0.998,0.542,0.11259840865950574,0.1887599999999999,0.39,0.0,0.09536601028861041,0.032160000000000015,0.076,0.002,0.01859488628409347,0.6520848820936227,1.0,0.5080361627322953,0.11576773257702008,0.7626646695438639,1.0,0.6340426436238314,0.08147251251578498,0.8941890166028099,1.0,0.8061941251596424,0.053069768815720605,0.9267693269368639,1.0,0.8209064571593562,0.04455493684646836,0.49686483210593446,1.0,0.30363447559709245,0.1583701464659406,0.5688410799547904,1.0,0.3851590106007068,0.1307507286145271
18,0.7445600000000002,0.998,0.494,0.12309481329944202,0.21683999999999995,0.424,0.0,0.10368877293445547,0.03860000000000002,0.088,0.002,0.02084050216794799,0.6300841808402684,1.0,0.4858111501757911,0.11754784174043023,0.7461276285736118,1.0,0.6068696555633607,0.08464923776504812,0.8805172413793104,1.0,0.8061941251596424,0.05443978479657822,0.9126278882570621,1.0,0.80333368404087,0.049791562816194186,0.46954807619966027,1.0,0.2781456953642384,0.16037475980819718,0.5496413471348734,1.0,0.3821862348178139,0.13172970166486161
19,0.7121599999999999,0.998,0.464,0.1311492933372389,0.24287999999999996,0.444,0.0,0.10878562329984003,0.04496000000000002,0.1,0.002,0.024378779665093653,0.609865913301912,1.0,0.48285785785785784,0.11523664314108893,0.7290438160922399,1.0,0.60711097157685,0.08560475435810756,0.8687484035759894,1.0,0.79757343550447,0.05411015116661446,0.8990080305604603,1.0,0.7898781740823617,0.05369288095007703,0.4439366396476693,1.0,0.2773662551440329,0.15654772932663155,0.5298016247682926,1.0,0.381496062992126,0.12919955496930474
20,0.6767600000000001,0.998,0.43,0.1402358887367849,0.2696400000000001,0.466,0.0,0.11485052575110888,0.0536,0.112,0.002,0.027523644751525248,0.5918226529859335,1.0,0.46792172405251425,0.11394518671399029,0.7124479795910855,1.0,0.5800802423594109,0.08728989052424001,0.8596424010217109,1.0,0.795338441890166,0.05258358756681396,0.8854819529554075,1.0,0.7696171423835402,0.05761973274886711,0.4201742183047629,1.0,0.2604208822339134,0.15526726936411883,0.5090830936384918,1.0,0.36279069767441874,0.1292556222591675
21,0.6387599999999999,0.998,0.394,0.14842899216219757,0.29904000000000003,0.494,0.0,0.12002737102810494,0.06219999999999999,0.13,0.002,0.030380579188631913,0.5743822573051007,1.0,0.4688434695912263,0.1121336115404179,0.6949980698625451,1.0,0.5739315233465876,0.08897783869351172,0.8500191570881226,1.0,0.7969348659003831,0.050645216244097846,0.8694451888663957,1.0,0.754514577313606,0.06111613804767901,0.39773362228560993,1.0,0.25327064595257565,0.1533565035305881,0.4910732207337088,1.0,0.33766816143497763,0.12883920432523943
