day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
1,0.9971599999999995,0.998,0.992,0.001345589924493333,0.0028000000000000013,0.008,0.002,0.00134011878852098,4e-05,0.002,0.0,0.00028284271247461896,0.9943512868580605,1.0,0.949773413897281,0.00902492074487114,0.986483308867784,0.995342436465091,0.9498226952929216,0.008713489178690966,0.9999616,1.0,0.99968,0.00010504343125098454,0.9999791189493803,1.0,0.9997489959839357,5.8606384325022356e-05,0.9907360822749496,1.0,0.9172027391575015,0.014852778882718675,0.9705332809480965,0.9899799599198397,0.8911290322580645,0.01910400675427261
2,0.9957999999999995,0.998,0.99,0.0025634797778466005,0.004040000000000003,0.01,0.002,0.0024071322594086337,0.00016,0.002,0.0,0.0005480950312357394,0.9884724721208837,1.0,0.9569486404833837,0.011648529854997501,0.9829686558996359,0.9963543628610604,0.9570184861241152,0.009900782996015824,0.9998975999999999,1.0,0.99904,0.00021866533930240778,0.9999418382941078,1.0,0.9995020916233036,0.00012274297043108598,0.9811286806846757,1.0,0.9296534550736667,0.019078993706290244,0.9623106372538315,0.9919839679358717,0.9050505050505051,0.022111460552774954
3,0.9935999999999993,0.998,0.976,0.004444671196029705,0.006080000000000003,0.02,0.002,0.003978718899549534,0.00032,0.004,0.0,0.0008437041748704801,0.977285522950621,1.0,0.9123977344241662,0.02127111314530173,0.9754527541064096,0.9936187180412474,0.9239457617601672,0.01657909571404944,0.9996096000000001,1.0,0.9968,0.0006005472334395108,0.9998138628284251,1.0,0.9984642514253328,0.0002857465364485415,0.9629402544845166,1.0,0.8568464730290456,0.03468360370456129,0.9463949906001524,0.9859719438877755,0.8377281947261663,0.035626700430014945
4,0.9914399999999998,0.998,0.97,0.005869881617552595,0.007920000000000005,0.026,0.002,0.005480354524507125,0.0006400000000000003,0.006,0.0,0.0013055611038623846,0.9657340585106456,1.0,0.8950151057401813,0.027766726394564286,0.9677732270167287,0.9945486579042542,0.9183067497549875,0.02046544519681948,0.9993023999999999,1.0,0.9952,0.0009669192820288413,0.999672015866013,1.0,0.997584816346506,0.00046342029475960597,0.944173960010471,1.0,0.8300477277443453,0.045195479234474485,0.929593165587428,0.9879518072289156,0.8206185567010309,0.044580086487247816
5,0.9880799999999997,0.998,0.958,0.008250763724699442,0.010960000000000003,0.038,0.0,0.007930720429482573,0.0009600000000000003,0.006,0.0,0.0014702491806021264,0.9507115034243351,1.0,0.8324521651560927,0.03966483551419754,0.95782540078204,1.0,0.873356677664091,0.028330548083757134,0.9985279999999999,1.0,0.98976,0.0018591725172720523,0.9993039519623451,1.0,0.9946704254521107,0.0009319952828417131,0.9200110303279401,1.0,0.7304420004150238,0.06419789961815602,0.9083964899376555,1.0,0.7306889352818372,0.06101880752918589
6,0.9835599999999998,0.998,0.946,0.011126654887233266,0.015000000000000008,0.046,0.0,0.010358866851590457,0.0014400000000000005,0.008,0.0,0.0018969363054511812,0.9288357429052726,1.0,0.831570996978852,0.048120485802300654,0.9433374279110011,1.0,0.8756440718749072,0.03390663594610009,0.9971264000000001,1.0,0.98528,0.00330441248598765,0.9986304015092127,1.0,0.9926407834341524,0.0015952325061468202,0.8849967490769547,1.0,0.7287784679089027,0.07736258931201659,0.8771624593726912,1.0,0.7272727272727273,0.07278409385318085
7,0.9781599999999997,0.998,0.928,0.015585655361941779,0.01988000000000001,0.064,0.0,0.014632421368387421,0.001960000000000001,0.008,0.0,0.002079638901151754,0.9123078809433217,1.0,0.7575528700906344,0.06122424168522374,0.9325839937423785,1.0,0.8248403377385545,0.04224131197038602,0.9952064000000002,1.0,0.97632,0.005835510491283329,0.9976653856340324,1.0,0.9875786641347929,0.002934539555543469,0.8590956316398196,1.0,0.6156879020543681,0.09734546106098985,0.8551043767769937,1.0,0.6314655172413793,0.08979302055918927
8,0.9723199999999999,0.998,0.912,0.019278241938644143,0.02492000000000001,0.078,0.0,0.01792141576040082,0.002760000000000001,0.01,0.0,0.0027371965398851404,0.8915803113151939,1.0,0.7302366565961732,0.06878359927599219,0.9188454871607864,1.0,0.8086415570766612,0.04735698496709743,0.9928960000000002,1.0,0.9648,0.008240499291391788,0.9964910356375044,1.0,0.9818318883150717,0.004188650555662313,0.8265387929823322,1.0,0.5781282423739365,0.10840661559499612,0.8263680643131801,1.0,0.6008771929824561,0.09968197091819683
9,0.9633199999999998,0.998,0.884,0.02490343800541997,0.033320000000000016,0.106,0.0,0.023125602032979708,0.0033600000000000014,0.01,0.0,0.0031412983147165153,0.8633908526973701,1.0,0.7183169564121945,0.07782194572518125,0.9008112455906199,1.0,0.7993419458977821,0.05290165923981701,0.9886080000000004,1.0,0.95136,0.011756662028008479,0.9942844400126867,1.0,0.9742859146611806,0.006080832548210982,0.7830568117904383,1.0,0.5630583835445668,0.12132110511598285,0.7887378809734364,1.0,0.5886214442013129,0.10995767872902974
10,0.9526800000000003,0.998,0.856,0.03152869765008068,0.04232000000000002,0.128,0.0,0.028720638955998457,0.005000000000000002,0.016,0.0,0.003901857223927904,0.8428163235794035,0.9998769230769231,0.6576032225579054,0.08599972590316347,0.887071197808966,1.0,0.7577891015943926,0.05883588673805988,0.9832831999999996,1.0,0.93312,0.016427854573180006,0.9913801048645852,1.0,0.9626777666518285,0.00879938483776959,0.7527018207815044,0.9998,0.4789375389084872,0.1317861182098492,0.7636929773113298,1.0,0.5205607476635513,0.11834039450316718
