day,L1_mean,L1_max,L1_min,L1_std,L2_mean,L2_max,L2_min,L2_std
0,22.60884,45,6,4.698935736343096,9.79344,10,0,1.2180773025110552
1,22.5098,41,6,4.715921283963755,9.69252,10,0,1.4741448279320981
2,22.40032,42,6,4.713460784402768,9.58324,10,0,1.7042732422623323
3,22.28852,44,5,4.681939024776091,9.47344,10,0,1.9042057678686604
4,22.1286,42,6,4.664784287456173,9.31532,10,0,2.1478728621390233
5,21.88464,42,6,4.657909393193111,9.07544,10,0,2.455945861211718
6,21.57932,42,7,4.6588084868838155,8.77432,10,0,2.7668781617900184
7,21.29196,43,6,4.652868505106606,8.49552,10,0,3.006889021042075
8,20.91972,42,6,4.672334357677535,8.14148,10,0,3.252858228245751
9,20.51352,42,5,4.654421957166132,7.75876,10,0,3.4654067040024237
10,20.0118,42,5,4.623794539016363,7.30312,10,0,3.6583621485774898
11,19.53888,44,5,4.615285514463332,6.8908,10,0,3.791560417191832
12,19.00788,41,3,4.614484764779882,6.44164,10,0,3.895885166075752
13,18.4682,38,5,4.582312589026032,6.00472,10,0,3.96236870271174
14,17.92608,40,4,4.565760580712383,5.55568,10,0,3.99130266422861
15,17.4012,40,4,4.531942199543601,5.12668,10,0,3.9987387729221666
16,16.94048,42,3,4.506110248405242,4.7414,10,0,3.9840533313747097
17,16.55416,40,3,4.506018071685291,4.39908,10,0,3.9592981947925816
18,16.18184,40,3,4.450227679058209,4.05048,10,0,3.912112467012956
19,15.94468,38,3,4.447157607509708,3.80612,10,0,3.8980018371382017
20,15.72648,42,4,4.452601468354596,3.5582,10,0,3.8759893823058555
21,15.56052,40,3,4.442450533688563,3.35588,10,0,3.866324787740231
22,15.48908,39,3,4.4303618224514185,3.2422,10,0,3.890015995979705
23,15.39348,39,2,4.418858963825583,3.09596,10,0,3.895217399214516
24,15.3882,40,3,4.438140223510934,3.0422,10,0,3.953662152710667
25,15.41784,38,2,4.414615417855956,3.03396,10,0,4.028986972905366
26,15.44716,37,2,4.4207046541909465,3.02228,10,0,4.094988932704739
27,15.53132,44,3,4.420393721471665,3.07816,10,0,4.192225423872165
28,15.59632,40,2,4.427720253794937,3.1338,10,0,4.276099737045255
29,15.70236,39,3,4.417817460561779,3.23396,10,0,4.374140834806498
30,15.79544,41,2,4.40921453927046,3.32596,10,0,4.457652398403914
31,15.9018,42,2,4.408053311537849,3.43824,10,0,4.5370440920453685
32,16.02548,39,3,4.393686714926085,3.56716,10,0,4.614353825277062
33,16.14424,42,3,4.390640719922015,3.698,10,0,4.6782124178853985
34,16.2698,41,3,4.408630785291054,3.8362,10,0,4.736871021875419
35,16.41464,39,3,4.402432160381011,3.98968,10,0,4.793129714633062
36,16.5536,40,4,4.397315146224995,4.13992,10,0,4.838412839263718
37,16.6914,39,2,4.3996250190229,4.29256,10,0,4.876785823470086
38,16.8214,40,3,4.378861612012956,4.4306,10,0,4.905065343768732
39,16.94084,39,4,4.39930383690078,4.56812,10,0,4.926362799024979
40,17.07928,38,4,4.4017552975589105,4.71748,10,0,4.944192578289214
41,17.20264,39,4,4.393471194165882,4.85468,10,0,4.957796414478058
42,17.31944,39,3,4.405225797501527,4.993,10,0,4.965563137519333
43,17.43568,37,5,4.4213668561877,5.12464,10,0,4.96716536665242
44,17.55612,38,5,4.38352588193184,5.25876,10,0,4.967074605399574
45,17.68572,39,3,4.392179382856441,5.40388,10,0,4.9613531971249545
46,17.80728,39,3,4.432638597156038,5.54204,10,0,4.9512032088098294
47,17.92236,40,5,4.396324048225458,5.66816,10,0,4.937373524526256
48,18.02408,47,4,4.392242232080655,5.78288,10,0,4.921973988017151
49,18.1296,40,5,4.429508851096981,5.90344,10,0,4.903455712201025
50,18.22572,39,5,4.42072756397493,6.02256,10,0,4.881209286085139
51,18.32856,40,4,4.435984157390308,6.13804,10,0,4.85718525983373
52,18.44076,41,5,4.427287505616303,6.25204,10,0,4.829311413478027
53,18.52428,40,5,4.451584341077445,6.35332,10,0,4.803378797837516
54,18.61572,40,4,4.455940203562418,6.45524,10,0,4.774728103624154
55,18.71256,40,5,4.470635045439088,6.5594,10,0,4.742177893125357
56,18.79372,39,5,4.478710854212036,6.66156,10,0,4.708416414656341
57,18.88332,43,5,4.46037908443476,6.76836,10,0,4.66966970384478
58,18.97032,38,5,4.479518025510072,6.85592,10,0,4.6368201342771815
59,19.06112,39,5,4.491515478549722,6.957,10,0,4.594883624012768
60,19.13916,47,4,4.507847304633655,7.05084,10,0,4.554809013098786
61,19.2058,39,5,4.471573119009271,7.12336,10,0,4.521344934065597
62,19.29536,42,5,4.512495648206096,7.21768,10,0,4.476871353153273
63,19.34776,38,5,4.506781049198766,7.29732,10,0,4.436524329644209
64,19.4106,41,6,4.53688339859413,7.37588,10,0,4.394806798787835
65,19.47852,38,4,4.5332770303198275,7.45504,10,0,4.352068039248557
66,19.54392,41,5,4.5508174464789395,7.52252,10,0,4.312428171119989
67,19.63568,40,4,4.581112354135836,7.61632,10,0,4.257679505433791
68,19.68836,40,5,4.56099031085405,7.68744,10,0,4.212853685074629
69,19.7542,42,5,4.5461334178796555,7.75384,10,0,4.169472464764024
70,19.79496,41,6,4.5449207749524225,7.8116,10,0,4.131245348260637
71,19.83944,42,5,4.5744002330250675,7.87084,10,0,4.090304012891555
72,19.88916,45,6,4.575643337813637,7.93216,10,0,4.046466692079351
73,19.93808,39,5,4.592059384848568,7.987,10,0,4.006438950255284
74,19.99944,43,5,4.555597636446066,8.04424,10,0,3.9630936232749683
75,20.05916,38,5,4.568143475394825,8.1088,10,0,3.9132461077478884
76,20.11232,39,5,4.603128476294243,8.16568,10,0,3.8669404270987426
77,20.13744,39,5,4.614962855937897,8.21532,10,0,3.8260923743310635
78,20.18484,40,6,4.598086544465502,8.26812,10,0,3.781841318531273
79,20.23708,43,4,4.617138268693247,8.32104,10,0,3.7349446195161193
80,20.28504,41,5,4.60886123272057,8.36856,10,0,3.692596503431904
81,20.327,43,6,4.616765489056518,8.418,10,0,3.6470547076129303
82,20.37132,41,5,4.6159867580995,8.46532,10,0,3.6020044801542137
83,20.40748,39,5,4.609725591876508,8.51124,10,0,3.557726796593343
84,20.44364,42,5,4.642982429627927,8.55392,10,0,3.5147897210887784
85,20.5002,42,5,4.6611918034298006,8.5984,10,0,3.46917841108726
86,20.52308,43,5,4.610214471876452,8.63816,10,0,3.4277021136719545
87,20.5466,41,6,4.637987589154925,8.67932,10,0,3.3831083568940135
