day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
1,0.9974399999999997,0.998,0.994,0.001145710723186485,0.0024800000000000017,0.006,0.0,0.0011109841197270618,8e-05,0.002,0.0,0.00039589732744431475,0.9999967674155488,1.0,0.9998383707774365,2.2857823862502526e-05,0.9999986123638382,1.0,0.9999306181919101,9.812069398271589e-06,0.9999840030554452,1.0,0.9995988768551946,7.916471589011982e-05,0.999995537706381,1.0,0.9997768853190541,3.1553180775825706e-05
2,0.9968,0.998,0.992,0.0016659862556700938,0.003120000000000002,0.008,0.0,0.001673807830385921,8e-05,0.002,0.0,0.00039589732744431475,0.9999870670483578,1.0,0.9996767415548731,5.503676516496684e-05,0.9999942809505272,1.0,0.999860956618465,2.4125420997539266e-05,0.9999598947239946,1.0,0.9992019154030327,0.00014584849391368745,0.9999877142845811,1.0,0.9997053025222039,5.3150499906054965e-05
3,0.9956799999999997,0.998,0.988,0.002436457783466046,0.004160000000000002,0.012,0.0,0.0023849870576810525,0.00016,0.002,0.0,0.0005480950312357394,0.9999774064808293,1.0,0.9993534831097463,9.79668243449673e-05,0.9999902700837522,1.0,0.9997276175807878,4.159991960392431e-05,0.999855614078767,1.0,0.9987966305655837,0.00030056898589796355,0.999935811802342,1.0,0.9994166899408835,0.0001397492060865125
4,0.9943599999999997,0.998,0.982,0.0034920317458874595,0.005360000000000003,0.016,0.0,0.0034390316624756754,0.00028000000000000003,0.004,0.0,0.0008091315576289311,0.9999677468828062,1.0,0.9993534831097463,0.00010810086705757176,0.9999864815177614,1.0,0.9997270650809517,4.5432464792717905e-05,0.9997436955421987,1.0,0.9984051036682615,0.00041074323318880603,0.9998862952999734,1.0,0.9993383560320679,0.00018396931882604765
5,0.9927999999999997,0.998,0.98,0.004462999814803814,0.006720000000000004,0.018,0.0,0.004440261069728551,0.0004800000000000002,0.004,0.0,0.0010349011586442763,0.9999256682331529,1.0,0.998868595442056,0.00019937073959810938,0.9999670216011926,1.0,0.99945855642356,9.119646033153892e-05,0.9995671218741875,1.0,0.9972078181092939,0.0006772390664126878,0.9998084847601512,1.0,0.9988174427198817,0.0002960029011378304
6,0.9911999999999999,0.998,0.972,0.00593845991166471,0.008160000000000004,0.022,0.0,0.005740511247942565,0.0006400000000000003,0.006,0.0,0.001305561103862384,0.9998581617395925,1.0,0.9987069662194925,0.0002933485603567018,0.9999353919209275,1.0,0.9993589614649261,0.00013832281576275348,0.9991894898215541,1.0,0.9940167530913442,0.0013139620691930616,0.999638726363473,1.0,0.9974006346251257,0.0005844947449105664
7,0.9885199999999997,0.998,0.964,0.008425520028763915,0.010520000000000005,0.034,0.0,0.008199651560541199,0.0009600000000000003,0.006,0.0,0.0016283207827171439,0.9996454813659195,1.0,0.9956360109907871,0.0008516312413629889,0.9998294226297579,1.0,0.9977649946621383,0.000422371304634827,0.9984115404428715,1.0,0.9856402074192262,0.002586215990152398,0.9992465728500299,1.0,0.993259382959201,0.0012360684460010866
8,0.9857199999999996,0.998,0.956,0.010721026451010411,0.013080000000000007,0.044,0.0,0.010405728406674345,0.0012000000000000003,0.008,0.0,0.0019378085666072195,0.9991983019026714,1.0,0.9915952804267012,0.0017814752455792243,0.999607111978975,1.0,0.9958303705715126,0.0008843791946477114,0.997852616705902,1.0,0.981651376146789,0.0033152812612446602,0.9989867695781897,1.0,0.9912012300674342,0.0015929923086734435
9,0.9821999999999994,0.998,0.948,0.012944150045799224,0.016400000000000012,0.052,0.0,0.01277114093635829,0.0014000000000000004,0.008,0.0,0.0019483116709979793,0.9985356150375927,1.0,0.9865847745272345,0.00282782830798877,0.9992828664205127,1.0,0.9933386991929548,0.001406270183960106,0.9966394517937427,1.0,0.9740725967291584,0.004672683540034293,0.9984209474871064,1.0,0.9876966389756027,0.002213418226950041
10,0.9772399999999999,0.998,0.934,0.01686387274861955,0.02112000000000001,0.066,0.0,0.01675835460239435,0.0016400000000000004,0.008,0.0,0.0022384396898058163,0.9971604399885595,1.0,0.9756804638428088,0.004836211922125888,0.9985832442107261,1.0,0.9876528422853925,0.0024486248095215318,0.9944530191856756,1.0,0.957718388512166,0.007637790825223948,0.9973983592477343,1.0,0.979031428583026,0.0036982660511024387
